task_file,workload,num_gpus,estimator,yaml_field,peak_memory_mib,estimate_mib,error_mib,abs_error_mib,estimate_to_peak_ratio,underestimates,severe_underestimates,overestimates,severe_overestimates,extreme_overestimates
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,bert_base_wiki_bs32_1gpu.yaml,1,HorusMem,horus_mib,19868.0,17456.9336,-2411.0663999999997,2411.0663999999997,0.878645741896517,True,False,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,bert_base_wiki_bs32_1gpu.yaml,1,FakeTensorMem,faketensor_mib,19868.0,40000.0,20132.0,20132.0,2.01328769881216,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,bert_base_wiki_bs32_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,19868.0,32000.0,12132.0,12132.0,1.6106301590497283,False,False,True,True,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_large_wiki_bs8_1gpu.yaml,bert_large_wiki_bs8_1gpu.yaml,1,HorusMem,horus_mib,12620.0,13349.4346,729.4346000000005,729.4346000000005,1.0577998890649762,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_large_wiki_bs8_1gpu.yaml,bert_large_wiki_bs8_1gpu.yaml,1,FakeTensorMem,faketensor_mib,12620.0,40000.0,27380.0,27380.0,3.1695721077654517,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_large_wiki_bs8_1gpu.yaml,bert_large_wiki_bs8_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,12620.0,24000.0,11380.0,11380.0,1.901743264659271,False,False,True,True,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,dlrm_criteo_bs32768_1gpu.yaml,1,HorusMem,horus_mib,1364.0,40000.0,38636.0,38636.0,29.325513196480937,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,dlrm_criteo_bs32768_1gpu.yaml,1,FakeTensorMem,faketensor_mib,1364.0,40000.0,38636.0,38636.0,29.325513196480937,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,dlrm_criteo_bs32768_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,1364.0,40000.0,38636.0,38636.0,29.325513196480937,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,1,HorusMem,horus_mib,860.0,2948.3796,2088.3796,2088.3796,3.4283483720930237,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,860.0,233.36,-626.64,626.64,0.27134883720930236,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,860.0,8000.0,7140.0,7140.0,9.30232558139535,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,1,HorusMem,horus_mib,860.0,2948.3796,2088.3796,2088.3796,3.4283483720930237,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,860.0,233.36,-626.64,626.64,0.27134883720930236,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,860.0,8000.0,7140.0,7140.0,9.30232558139535,False,False,True,True,True
