kind,trace,estimator,label,root,run_dir,submitted,completed,failed,recovered,completion_rate,makespan_s,mean_jct_s,p50_jct_s,p95_jct_s,mean_queue_wait_s,p95_queue_wait_s,mean_execution_time_s,p95_execution_time_s,normalized_makespan_s,normalized_mean_jct_s,normalized_p50_jct_s,normalized_p95_jct_s,normalized_mean_queue_wait_s,normalized_p95_queue_wait_s,normalized_mean_execution_time_s,normalized_p95_execution_time_s
estimator,philly,peakmem,AEGIS+PeakMem,evaluation/experiments/results/final_representative_evaluation__philly__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__philly__rep01__oracle_upper_bound/20260617-193349/oracle-MAGM,60,60,0,0,1.0,31257.59924,11924.59449575,11207.0330425,21659.9461766,8555.876148016665,16628.41522295,3368.690330616668,7485.579075049995,0.7331694490349889,0.6335061310763348,0.5736333133217708,0.704124133614536,0.505417424111784,0.5711267064083391,1.7778550892953249,2.126467339022393
estimator,philly,horus,AEGIS+HorusMem,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_horus/20260616-102058/EST-MAGM__horus,60,60,1,1,1.0,31379.895394,12300.849791850002,11806.979959,20643.22322015,9498.995931683334,17738.48837205,2801.8252582833325,6887.258923349998,0.7360379931979244,0.6534950738461914,0.6043416672834278,0.6710723815464826,0.5611299149710828,0.6092537565822367,1.4786872065629588,1.9564994249688679
estimator,philly,faketensor,AEGIS+FakeTensorMem,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_faketensor,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_faketensor/20260624-090144/EST-MAGM__faketensor,60,60,0,0,1.0,33296.57344,12737.763429616669,12773.9971585,22741.98977535,9688.1964821,18940.2097776,3049.540213150001,6930.029531299995,0.7809950539169382,0.6767065523056641,0.6538385571457764,0.7392993369733559,0.5723064740023037,0.6505285972191793,1.609420889383739,1.968649493783042
estimator,philly,gpumemnet,AEGIS+GPUMemNet,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_gpumemnet,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_gpumemnet/20260624-182158/EST-MAGM__GPUMemNet,60,60,0,0,1.0,30982.096148,12424.488611483335,12540.3987495,22559.417658799997,9535.031279016664,17064.311819849998,2889.4302055666662,6914.997510599998,0.7267073260607271,0.6600635110626245,0.6418817949203772,0.7333642606652336,0.5632586148389984,0.5860981985429896,1.5249214656041015,1.964379269564238
estimator,philly,estimator_free,AEGIS-EstimatorFree,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,60,60,3,3,1.0,30208.227242,11915.943266683336,11665.0885075,20698.911821899997,8686.463268366668,15885.16814425,3229.4512844333326,7443.161986849997,0.7085556748388615,0.633046525791054,0.597078936536823,0.672882713305376,0.5131315383471536,0.5455988223367599,1.7043704936244743,2.1144176964003063
baseline,philly,exclusive,Exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,60,60,0,0,1.0,42633.526644,18823.171411916668,19536.928526,30761.54493585,16928.3363411,29115.10709685,1894.8059101666663,3520.1947086999985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
estimator,saturn,peakmem,AEGIS+PeakMem,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM,60,60,0,0,1.0,32342.829011,9963.53444838333,8276.094092,22467.158829799988,5922.936589433334,20841.6243042,4040.5712137,8024.737497199995,0.682245384713466,0.5790220515089782,0.5796023591066282,0.5491064679638219,0.3886079271176802,0.5662067512152897,2.0551469649534897,2.240881470971287
estimator,saturn,horus,AEGIS+HorusMem,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/20260618-133928/EST-MAGM__horus,60,60,2,2,1.0,33852.00443,10764.859562283333,8852.7644535,26126.27320659999,7884.1484305,24489.19435895,2880.683842283333,7015.04642555,0.7140801992865998,0.6255903565396624,0.6199884999886369,0.6385367064083586,0.5172843795307024,0.6653006970798633,1.4651959691703895,1.9589285703742165
estimator,saturn,faketensor,AEGIS+FakeTensorMem,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_faketensor,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_faketensor/20260625-134030/EST-MAGM__faketensor,60,60,0,0,1.0,39076.495797,11604.9771299,8442.838633,28181.169451899987,8954.229685650002,26571.76848915,2650.721214483333,6107.5921316,0.8242865489351983,0.6744130509389441,0.5912800331709157,0.6887592035134296,0.5874931437361474,0.7218782226707033,1.3482305770066594,1.7055249526514664
estimator,saturn,gpumemnet,AEGIS+GPUMemNet,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_gpumemnet,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_gpumemnet/20260626-003704/EST-MAGM__GPUMemNet,60,60,1,1,1.0,34973.464285,10566.601475116668,9089.3418475,24156.502457449988,7431.171355133333,22899.51239625,3135.4030110000003,6870.84321795,0.737736472828873,0.614068761973578,0.6365568007050636,0.5903947109314058,0.48756424330568987,0.6221136284316425,1.5947532269978473,1.9186603004054832
