trace_name,repetition,configuration_label,experiment_name,run_label,policy,estimator,trace_csv,run_dir,git_commit,return_code,timed_out,expected_tasks,submitted_job_count,completed_job_count,incomplete_job_count,completion_fraction,makespan_s,total_attempt_count,failed_attempt_count,recovered_attempt_count,recovery_stopped_job_count,total_recovery_queue_wait_s,total_failed_attempt_runtime_s,risk_smact_threshold,risk_smocc_threshold,risk_drama_threshold,initial_queue_wait_mean_s,initial_queue_wait_p50_s,initial_queue_wait_p95_s,initial_queue_wait_p99_s,total_queue_wait_mean_s,total_queue_wait_p50_s,total_queue_wait_p95_s,total_queue_wait_p99_s,jct_mean_s,jct_p50_s,jct_p95_s,jct_p99_s,execution_span_mean_s,execution_span_p50_s,execution_span_p95_s,execution_span_p99_s,total_execution_time_mean_s,total_execution_time_p50_s,total_execution_time_p95_s,total_execution_time_p99_s,successful_attempt_runtime_mean_s,successful_attempt_runtime_p50_s,successful_attempt_runtime_p95_s,successful_attempt_runtime_p99_s,recovery_queue_wait_mean_s,recovery_queue_wait_p50_s,recovery_queue_wait_p95_s,recovery_queue_wait_p99_s,recovery_gap_mean_s,recovery_gap_p50_s,recovery_gap_p95_s,recovery_gap_p99_s
philly,1,aegis_estimator_free,final_representative_evaluation__philly__rep01__aegis_estimator_free,OR-MAGM,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,7460bc2c489efe261674c06431075d6d7600dfca,0,False,60,60,60,0,1.0,30208.227242,63,3,3,0,7824.864166,30.435317999999995,0.65,0.35,0.5,8556.0488656,9864.1332585,15291.224977249998,16545.56930807,8686.463268366668,9864.1332585,15885.16814425,16837.369447,11915.943266683336,11665.0885075,20698.911821899997,24869.468377379995,3359.8671307166665,2692.075204,8545.584152649997,12990.82629594998,3229.4512844333326,2662.057146,7443.161986849997,12465.055938539976,3228.944029133333,2662.057146,7443.161986849997,12465.055938539976,130.41440276666668,0.0,53.54199854999696,3051.7347743899877,130.41584628333334,0.0,53.54348094999696,3051.762528959988
philly,1,aegis_horus,final_representative_evaluation__philly__rep01__aegis_horus,EST-MAGM__horus,EST-MAGM,horus,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_horus/20260616-102058/EST-MAGM__horus,7d7584274a4bbc77bff941c5ea181fcce4ac4498,0,False,60,60,60,0,1.0,31379.895394,61,1,1,0,4108.159017,27.593599,0.65,0.35,0.5,9430.526614733331,11030.830557,17554.148923650002,17907.50138449,9498.995931683334,11030.830557,17738.48837205,18232.25225933,12300.849791850002,11806.979959,20643.22322015,25995.422757779997,2870.295140366666,2432.333576,7416.971652749997,13002.279269039984,2801.8252582833325,2432.333576,6887.258923349998,11537.272911469974,2801.365364966666,2432.333576,6861.045004299998,11537.272911469974,68.46931694999999,0.0,0.0,1684.345196969986,68.46988208333333,0.0,0.0,1684.359099249986
philly,1,exclusive,final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,a62fbb1e8093b1e90604047328734a0678428251,0,False,60,60,60,0,1.0,42633.526644,60,0,0,0,0.0,0.0,0.65,0.35,0.5,16928.3363411,17441.126776999998,29115.10709685,29785.56325528,16928.3363411,17441.126776999998,29115.10709685,29785.56325528,18823.171411916668,19536.928526,30761.54493585,33958.35794894998,1894.8059101666663,1626.6446274999998,3520.1947086999985,10129.129640599973,1894.8059101666663,1626.6446274999998,3520.1947086999985,10129.129640599973,1894.8059101666663,1626.6446274999998,3520.1947086999985,10129.129640599973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
philly,1,horus_baseline,final_representative_evaluation__philly__rep01__horus_baseline,HORUS__horus,HORUS,horus,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__horus_baseline/20260612-045006/HORUS__horus,99632528e7b6744f44a85fe58b85d88a210a362c,0,False,60,60,60,0,1.0,39040.792424,60,0,0,0,0.0,0.0,0.65,0.35,0.5,14325.231645833332,13670.6139405,24965.26738935,26107.04267554,14325.231645833332,13670.6139405,24965.26738935,26107.04267554,16280.508426749995,16953.9693395,26776.376099,30357.283303679986,1955.2489479666667,1645.642627,4073.200217399997,10134.304912949972,1955.2489479666667,1645.642627,4073.200217399997,10134.304912949972,1955.2489479666667,1645.642627,4073.200217399997,10134.304912949972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
philly,1,lucid_baseline,final_representative_evaluation__philly__rep01__lucid_baseline,LUCID,LUCID,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__lucid_baseline/20260617-093203/LUCID,771cd9bd7db16484e576cb51a1a5d48d0f516f65,0,False,60,60,60,0,1.0,35789.950191,60,0,0,0,0.0,0.0,0.65,0.35,0.5,12018.034470566668,12279.8853065,22176.16287675,22528.26381413,12018.034470566668,12279.8853065,22176.16287675,22528.26381413,14159.891632333332,14604.4145815,24026.05008815,28554.614487099992,2141.8286621,1749.453,4175.815176699996,10457.19515497997,2141.8286621,1749.453,4175.815176699996,10457.19515497997,2141.8286621,1749.453,4175.815176699996,10457.19515497997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
philly,1,oracle_upper_bound,final_representative_evaluation__philly__rep01__oracle_upper_bound,oracle-MAGM,oracle-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__oracle_upper_bound/20260617-193349/oracle-MAGM,771cd9bd7db16484e576cb51a1a5d48d0f516f65,0,False,60,60,60,0,1.0,31257.59924,60,0,0,0,0.0,0.0,0.65,0.35,0.5,8555.876148016665,9154.179511,16628.41522295,17878.62630574,8555.876148016665,9154.179511,16628.41522295,17878.62630574,11924.59449575,11207.0330425,21659.9461766,25750.136106819995,3368.690330616668,2701.151942,7485.579075049995,12347.482105889976,3368.690330616668,2701.151942,7485.579075049995,12347.482105889976,3368.690330616668,2701.151942,7485.579075049995,12347.482105889976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saturn,1,aegis_estimator_free,final_representative_evaluation__saturn__rep01__aegis_estimator_free,OR-MAGM,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,771cd9bd7db16484e576cb51a1a5d48d0f516f65,0,False,60,60,60,0,1.0,33248.588372,63,3,3,0,9107.406326,126.04666,0.65,0.35,0.5,6545.0870768333325,6102.7247515,16766.07312114999,20051.86970513,6696.877182266666,6102.7247515,20007.27915915,20053.40624862,10037.939477550002,8453.5499785,21282.53611709999,28265.418789079984,3492.8255506999994,2716.465265,9147.405206049998,15665.308470959966,3341.034022966667,2620.785529,9147.405206049998,13904.92436484998,3338.9332453,2620.785529,9147.405206049998,13888.02608528998,151.79010543333334,0.0,67.84846629999613,3799.911006659997,151.7915277333333,0.0,67.84973869999614,3799.941606319997
saturn,1,aegis_horus,final_representative_evaluation__saturn__rep01__aegis_horus,EST-MAGM__horus,EST-MAGM,horus,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/20260618-133928/EST-MAGM__horus,771cd9bd7db16484e576cb51a1a5d48d0f516f65,0,False,60,60,60,0,1.0,33852.00443,62,2,2,0,4313.722553,45.345086,0.65,0.35,0.5,7812.253054616667,6382.987196,24489.19435895,24542.64840474,7884.1484305,6382.987196,24489.19435895,24542.64840474,10764.859562283333,8852.7644535,26126.27320659999,31039.4520845,2952.5801914666667,2675.7808525,7156.288433649999,11685.40252873998,2880.683842283333,2650.318841,7015.04642555,11685.40252873998,2879.9280908500004,2650.318841,6985.91880995,11685.40252873998,71.89537588333333,0.0,0.0,1854.8378832099888,71.89634918333333,0.0,0.0,1854.8672818299883
saturn,1,exclusive,final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,15a2c0c35922fdd2f4ec23b374e1a11be34f6aab,0,False,60,60,60,0,1.0,47406.446032,60,0,0,0,0.0,0.0,0.65,0.35,0.5,15241.4198891,13580.08052,36809.21193444999,40683.15768966,15241.4198891,13580.08052,36809.21193444999,40683.15768966,17207.521583016667,14278.9171955,40915.85173475,44439.42749662999,1966.0740971833336,1678.538042,3581.0628991999984,10199.007777339972,1966.0740971833336,1678.538042,3581.0628991999984,10199.007777339972,1966.0740971833336,1678.538042,3581.0628991999984,10199.007777339972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saturn,1,horus_baseline,final_representative_evaluation__saturn__rep01__horus_baseline,HORUS__horus,HORUS,horus,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__horus_baseline/20260618-230855/HORUS__horus,771cd9bd7db16484e576cb51a1a5d48d0f516f65,0,False,60,60,60,0,1.0,43228.082408,61,1,1,0,196.495674,12.90616,0.65,0.35,0.5,12405.583854116669,9268.057966,32507.285443099987,36397.75885669,12408.858782016663,9268.057966,32507.285443099987,36397.75885669,14413.13597355,11335.617981,36628.716509,40196.49326208,2007.5246072333327,1681.995223,3678.641595899999,10055.941198649973,2004.24925765,1681.995223,3678.641595899999,10055.941198649973,2004.034154983333,1681.995223,3678.641595899999,10055.941198649973,3.2749279,0.0,0.0,80.56322633999933,3.275349583333333,0.0,0.0,80.57359974999933
saturn,1,lucid_baseline,final_representative_evaluation__saturn__rep01__lucid_baseline,LUCID,LUCID,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__lucid_baseline/20260619-162854/LUCID,a46cd4e988d23a644c6162b41928c9a998cc257e,0,False,60,60,60,0,1.0,40385.670202,60,0,0,0,0.0,0.0,0.65,0.35,0.5,10669.53395075,8486.533898000001,29630.490788950003,31336.855717669987,10669.53395075,8486.533898000001,29630.490788950003,31336.855717669987,12808.471385783334,10011.114007,31216.517703799997,37312.69495317999,2138.9085635666665,1740.274815,4127.679195799997,10249.415643189974,2138.9085635666665,1740.274815,4127.679195799997,10249.415643189974,2138.9085635666665,1740.274815,4127.679195799997,10249.415643189974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
