trace,policy,raw_label,experiment_name,gpu_uuid,gpu_id,start_time,end_time,energy_start_mj,energy_end_mj,energy_delta_mj,energy_delta_j
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-10T23:09:25.717589,2026-06-11T11:05:10.656974,8811033539.0,17775013461.0,8963979922.0,8963979.922
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-10T23:09:25.717589,2026-06-11T11:05:10.656974,7487071627.0,16650916710.0,9163845083.0,9163845.083
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-10T23:09:25.717589,2026-06-11T11:05:10.656974,8562298032.0,16789325749.0,8227027717.0,8227027.717
philly,Horus,HORUS__horus,final_representative_evaluation__philly__rep01__horus_baseline,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-12T04:50:08.902681,2026-06-12T15:45:59.413249,33288465790.0,42115766549.0,8827300759.0,8827300.759
philly,Horus,HORUS__horus,final_representative_evaluation__philly__rep01__horus_baseline,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-12T04:50:08.902681,2026-06-12T15:45:59.413249,31752996432.0,40059512666.0,8306516234.0,8306516.234
philly,Horus,HORUS__horus,final_representative_evaluation__philly__rep01__horus_baseline,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-12T04:50:08.902681,2026-06-12T15:45:59.413249,32257312240.0,40926291548.0,8668979308.0,8668979.308
philly,Lucid,LUCID,final_representative_evaluation__philly__rep01__lucid_baseline,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-17T09:32:03.816823,2026-06-17T19:33:48.854582,161150726.0,8649156932.0,8488006206.0,8488006.206
philly,Lucid,LUCID,final_representative_evaluation__philly__rep01__lucid_baseline,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-17T09:32:03.816823,2026-06-17T19:33:48.854582,165005508.0,8597055776.0,8432050268.0,8432050.268
philly,Lucid,LUCID,final_representative_evaluation__philly__rep01__lucid_baseline,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-17T09:32:03.816823,2026-06-17T19:33:48.854582,162089427.0,8048217243.0,7886127816.0,7886127.816
philly,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__philly__rep01__aegis_horus,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-16T10:21:00.232863,2026-06-16T19:09:10.629265,17819549013.0,25641752976.0,7822203963.0,7822203.963
philly,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__philly__rep01__aegis_horus,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-16T10:21:00.232863,2026-06-16T19:09:10.629265,17565286849.0,25168508647.0,7603221798.0,7603221.798
philly,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__philly__rep01__aegis_horus,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-16T10:21:00.232863,2026-06-16T19:09:10.629265,16138079155.0,23829503348.0,7691424193.0,7691424.193
