trace,policy,raw_label,experiment_name,dcgmi_csv,window_source,window_start_wall,window_end_wall,window_duration_s,rows_in_window,active_rows,active_row_fraction,used_gpu_memory_trace_mean_gb,used_gpu_memory_trace_p95_gb,gpu_utilization_trace_mean_pct,smact_trace_mean,smocc_trace_mean,drama_trace_mean,power_trace_mean_w,used_gpu_memory_active_mean_gb,used_gpu_memory_active_p95_gb,used_gpu_memory_active_max_gb,gpu_utilization_active_mean_pct,smact_active_mean,smocc_active_mean,drama_active_mean,power_active_mean_w,total_gpu_energy_j,energy_gpu_count,used_gpu_memory_active_mean_gb_vs_exclusive,used_gpu_memory_active_p95_gb_vs_exclusive,gpu_utilization_active_mean_pct_vs_exclusive,smact_active_mean_vs_exclusive,smocc_active_mean_vs_exclusive,drama_active_mean_vs_exclusive,power_active_mean_w_vs_exclusive,total_gpu_energy_j_vs_exclusive
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-10T23:09:25.717588902+00:00,2026-06-11T11:05:10.656974077+00:00,42944.939385175705,114417,105611,0.9230359124955207,12.412962809899861,33.8623046875,69.51959936023493,0.3905372365994563,0.17784873751278218,0.24212225456007413,205.92523216829665,13.436733829661446,33.8623046875,39.1572265625,75.31624546685478,0.42310076601869123,0.1926780070257833,0.26231062105273123,218.0479648616148,26354852.722000003,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
philly,Horus,HORUS__horus,final_representative_evaluation__philly__rep01__horus_baseline,evaluation/experiments/results/final_representative_evaluation__philly__rep01__horus_baseline/20260612-045006/HORUS__horus/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-12T04:50:08.902681112+00:00,2026-06-12T15:45:59.413249016+00:00,39350.51056790352,48009,42954,0.8947072423920515,13.980450910734186,33.8623046875,73.39605074048616,0.46384679955841607,0.20790022704076316,0.2626878085358995,219.71150384302942,15.612264423678528,33.8623046875,39.1572265625,82.0335940773851,0.5184341621269264,0.2323667644456861,0.29360185314522513,238.47356811938351,25802796.301,3,1.1619091828115715,1.0,1.089188575039717,1.2253207835223434,1.2059848865604668,1.1192907552386282,1.0936748172390967,0.9790529498751792
philly,Lucid,LUCID,final_representative_evaluation__philly__rep01__lucid_baseline,evaluation/experiments/results/final_representative_evaluation__philly__rep01__lucid_baseline/20260617-093203/LUCID/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-17T09:32:03.816823006+00:00,2026-06-17T19:33:48.854582071+00:00,36105.03775906563,108012,95062,0.8801059141576861,15.966279417665977,34.8134765625,77.38135577528423,0.6475131096544828,0.29586180239232673,0.28587005147576194,229.236892826723,18.126286763013876,34.8916015625,38.6015625,87.92277671414445,0.7357218026130313,0.33616613368117654,0.3248132376764638,252.40081157560326,24806184.29,3,1.3490098853487962,1.030396539293439,1.1673813022561985,1.7388808097325201,1.7447042289377235,1.238277109683515,1.157547201762652,0.9412378263564631
philly,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__philly__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_horus/20260616-102058/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-16T10:21:00.232862949+00:00,2026-06-16T19:09:10.629265070+00:00,31690.39640212059,57843,53639,0.9273205055062842,21.25776728736623,36.9033203125,85.87644140172536,0.5552372975122314,0.26127036979409785,0.3399047075704926,244.55452761786216,22.914576679573166,36.9033203125,39.357421875,92.60707694028599,0.5987544696955572,0.2817476463021309,0.36654501388914784,259.1032978243442,23116849.954,3,1.7053680581950268,1.089805335255948,1.2295763864256959,1.4151580847506813,1.4622719564689535,1.3973700813870698,1.188285788352968,0.8771382711884007
philly,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__philly__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__philly__rep01__oracle_upper_bound/20260617-193349/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-17T19:33:51.159173965+00:00,2026-06-18T04:20:03.460444927+00:00,31572.30127096176,86793,75932,0.8748631802103857,23.722543711222393,37.8310546875,84.91347228463125,0.5570791999354786,0.26751337089396615,0.3470551887825055,241.1642287050799,27.09336515988401,38.0908203125,38.759765625,97.0591450244956,0.6367615102986882,0.30577737976083863,0.3966965179371016,266.9246865353211,22611402.372,3,2.01636539826931,1.124873828406633,1.2886880436334212,1.5049878455444776,1.5869864157351434,1.5123158808630754,1.2241558260116123,0.8579597317622225
philly,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__philly__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-11T11:05:13.346374035+00:00,2026-06-11T19:33:56.753012896+00:00,30523.406638860703,54585,50725,0.9292846019968856,24.061442535867226,38.6015625,88.38298067234588,0.5925734725657232,0.2808223504625813,0.35534546120729144,248.1113868278831,25.89164797930015,38.7578125,39.4404296875,95.10862493839329,0.6376662986692953,0.3021919763430261,0.3823860423854115,262.63558864465256,22561010.583,3,1.926930183147977,1.1445710165825522,1.2627903096981747,1.5071263157229198,1.5683781507174719,1.4577604248382379,1.2044853929791801,0.8560476820334098
saturn,Exclusive,exclusive,final_representative_evaluation__saturn__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-15T21:07:07.476294041+00:00,2026-06-16T10:18:13.509474993+00:00,47466.03318095207,130503,111859,0.8571373838149314,11.203272625916645,33.8623046875,64.06101775438113,0.3685260415469377,0.16601194608553063,0.21586129820770406,191.3343587733615,13.033442387570513,34.7470703125,34.8251953125,74.73833129207306,0.42994979393701005,0.19368184053138326,0.2518397089192644,212.85529804486,27452478.108000003,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
saturn,Horus,HORUS__horus,final_representative_evaluation__saturn__rep01__horus_baseline,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__horus_baseline/20260618-230855/HORUS__horus/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-18T23:08:57.382249117+00:00,2026-06-19T11:14:34.202959061+00:00,43536.82070994377,56442,47656,0.8443357783211084,12.374315392349668,33.9072265625,68.49287764430743,0.41228576237553594,0.18446525636937033,0.2383264413025761,205.71086097232563,14.608169727283816,33.9072265625,39.2021484375,81.12042554977337,0.48829597532314917,0.2184738123216384,0.28226500335739463,232.03205212355215,26880891.777,3,1.1208220585848492,0.9758297968016638,1.0853925174320451,1.1357046385622578,1.1280035945664093,1.1208121410586767,1.090092914082179,0.9791790624966044
saturn,Lucid,LUCID,final_representative_evaluation__saturn__rep01__lucid_baseline,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__lucid_baseline/20260619-162854/LUCID/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-19T16:28:56.154665947+00:00,2026-06-20T03:47:11.671350956+00:00,40695.516685009,121788,103732,0.8517423719906723,14.220667658977588,34.90234375,72.00236476500147,0.5820956990836537,0.2629974792261963,0.2528703895293461,215.35769035537166,16.6588106381559,34.90234375,39.201171875,84.53537963212895,0.6834175664211621,0.3087758550881117,0.2968859946785948,241.86870256044426,26263038.708,3,1.2781589193997402,1.0044686771029483,1.1310846545632602,1.589528768378213,1.594242672627221,1.1788688763683868,1.136305766321445,0.9566727857747245
saturn,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__saturn__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/20260618-133928/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-18T13:39:30.607846022+00:00,2026-06-18T23:08:52.996222973+00:00,34162.38837695122,54795,48808,0.8907382060406971,19.591143480814857,35.1064453125,82.80080299297381,0.5248395474039602,0.2426988411351401,0.3135936308057304,236.44812271192626,21.98363839640146,35.1064453125,39.3828125,92.95750696607114,0.5892186321914441,0.2724693287985576,0.3520603794459925,258.0953345148336,24174134.003,3,1.6867100603725689,1.0103425985778927,1.2437728453261634,1.3704358985639327,1.4067882050842448,1.3979542025235472,1.2125389261414536,0.8805811230555302
