telemetry_file,gpu_id,energy_column,energy_start_raw,energy_end_raw,energy_delta_raw,energy_delta_j,start_sample_time_s,end_sample_time_s,trace,policy,raw_label,experiment_name,run_dir
evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,0,energy,8811033539.0,17775013461.0,8963979922.0,8963979922.0,41810.630388513,84755.569775537,philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,1,energy,8562298032.0,16789325749.0,8227027717.0,8227027717.0,41810.630388513,84755.569775537,philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,3,energy,7487071627.0,16650916710.0,9163845083.0,9163845083.0,41810.630388513,84755.569775537,philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__philly__rep01__horus_baseline/20260612-045006/HORUS__horus/runtime/telemetry/dcgmi_metrics.csv,0,energy,33288465790.0,42115766549.0,8827300759.0,8827300759.0,148653.815480101,188004.326048657,philly,Horus,HORUS__horus,final_representative_evaluation__philly__rep01__horus_baseline,evaluation/experiments/results/final_representative_evaluation__philly__rep01__horus_baseline
evaluation/experiments/results/final_representative_evaluation__philly__rep01__horus_baseline/20260612-045006/HORUS__horus/runtime/telemetry/dcgmi_metrics.csv,1,energy,32257312240.0,40926291548.0,8668979308.0,8668979308.0,148653.815480101,188004.326048657,philly,Horus,HORUS__horus,final_representative_evaluation__philly__rep01__horus_baseline,evaluation/experiments/results/final_representative_evaluation__philly__rep01__horus_baseline
evaluation/experiments/results/final_representative_evaluation__philly__rep01__horus_baseline/20260612-045006/HORUS__horus/runtime/telemetry/dcgmi_metrics.csv,3,energy,31752996432.0,40059512666.0,8306516234.0,8306516234.0,148653.815480101,188004.326048657,philly,Horus,HORUS__horus,final_representative_evaluation__philly__rep01__horus_baseline,evaluation/experiments/results/final_representative_evaluation__philly__rep01__horus_baseline
evaluation/experiments/results/final_representative_evaluation__philly__rep01__lucid_baseline/20260617-093203/LUCID/runtime/telemetry/dcgmi_metrics.csv,0,energy,161150726.0,8649156932.0,8488006206.0,8488006206.0,2311.730233756,38416.767993116,philly,Lucid,LUCID,final_representative_evaluation__philly__rep01__lucid_baseline,evaluation/experiments/results/final_representative_evaluation__philly__rep01__lucid_baseline
evaluation/experiments/results/final_representative_evaluation__philly__rep01__lucid_baseline/20260617-093203/LUCID/runtime/telemetry/dcgmi_metrics.csv,1,energy,162089427.0,8048217243.0,7886127816.0,7886127816.0,2311.730233756,38416.767993116,philly,Lucid,LUCID,final_representative_evaluation__philly__rep01__lucid_baseline,evaluation/experiments/results/final_representative_evaluation__philly__rep01__lucid_baseline
evaluation/experiments/results/final_representative_evaluation__philly__rep01__lucid_baseline/20260617-093203/LUCID/runtime/telemetry/dcgmi_metrics.csv,3,energy,165005508.0,8597055776.0,8432050268.0,8432050268.0,2311.730233756,38416.767993116,philly,Lucid,LUCID,final_representative_evaluation__philly__rep01__lucid_baseline,evaluation/experiments/results/final_representative_evaluation__philly__rep01__lucid_baseline
evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_horus/20260616-102058/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,0,energy,17819549013.0,25641752976.0,7822203963.0,7822203963.0,84290.142633256,115980.539035975,philly,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__philly__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_horus
evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_horus/20260616-102058/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,1,energy,16138079155.0,23829503348.0,7691424193.0,7691424193.0,84290.142633256,115980.539035975,philly,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__philly__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_horus
evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_horus/20260616-102058/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,3,energy,17565286849.0,25168508647.0,7603221798.0,7603221798.0,84290.142633256,115980.539035975,philly,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__philly__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_horus
evaluation/experiments/results/final_representative_evaluation__philly__rep01__oracle_upper_bound/20260617-193349/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,0,energy,8649286542.0,16780518652.0,8131232110.0,8131232110.0,38419.072585612,69991.373855851,philly,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__philly__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__philly__rep01__oracle_upper_bound
evaluation/experiments/results/final_representative_evaluation__philly__rep01__oracle_upper_bound/20260617-193349/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,1,energy,8048351875.0,15611108254.0,7562756379.0,7562756379.0,38419.072585612,69991.373855851,philly,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__philly__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__philly__rep01__oracle_upper_bound
evaluation/experiments/results/final_representative_evaluation__philly__rep01__oracle_upper_bound/20260617-193349/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,3,energy,8597193698.0,15514607581.0,6917413883.0,6917413883.0,38419.072585612,69991.373855851,philly,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__philly__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__philly__rep01__oracle_upper_bound
evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,0,energy,17775155353.0,25115677773.0,7340522420.0,7340522420.0,84758.259173945,115281.665812513,philly,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__philly__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,1,energy,16789471935.0,24164782251.0,7375310316.0,7375310316.0,84758.259173945,115281.665812513,philly,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__philly__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,3,energy,16651066986.0,24496244833.0,7845177847.0,7845177847.0,84758.259173945,115281.665812513,philly,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__philly__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive/runtime/telemetry/dcgmi_metrics.csv,0,energy,8193301419.0,17810348287.0,9617046868.0,9617046868.0,36657.386064984,84123.419245224,saturn,Exclusive,exclusive,final_representative_evaluation__saturn__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive/runtime/telemetry/dcgmi_metrics.csv,1,energy,7503759499.0,16129027690.0,8625268191.0,8625268191.0,36657.386064984,84123.419245224,saturn,Exclusive,exclusive,final_representative_evaluation__saturn__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive/runtime/telemetry/dcgmi_metrics.csv,3,energy,8345739771.0,17555902820.0,9210163049.0,9210163049.0,36657.386064984,84123.419245224,saturn,Exclusive,exclusive,final_representative_evaluation__saturn__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__horus_baseline/20260618-230855/HORUS__horus/runtime/telemetry/dcgmi_metrics.csv,0,energy,33739649782.0,43318668409.0,9579018627.0,9579018627.0,137725.295661821,181262.116372722,saturn,Horus,HORUS__horus,final_representative_evaluation__saturn__rep01__horus_baseline,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__horus_baseline
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__horus_baseline/20260618-230855/HORUS__horus/runtime/telemetry/dcgmi_metrics.csv,1,energy,30402772706.0,40423400024.0,10020627318.0,10020627318.0,137725.295661821,181262.116372722,saturn,Horus,HORUS__horus,final_representative_evaluation__saturn__rep01__horus_baseline,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__horus_baseline
