trace,raw_label,policy,experiment_name,run_dir,window_source,window_start_s,window_end_s,window_duration_s,telemetry_file_count,gpu_memory_mean_gb,gpu_memory_p50_gb,gpu_memory_p95_gb,gpu_memory_max_gb,smact_mean,smact_p50,smact_p95,smact_max,smocc_mean,smocc_p50,smocc_p95,smocc_max,drama_mean,drama_p50,drama_p95,drama_max,power_mean,power_p50,power_p95,power_max,energy_source_file,energy_source_column,total_gpu_energy_j,energy_gpu_count,normalized_energy_vs_exclusive
philly,exclusive,Exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive,telemetry_minmax,,,,3,5216.047976984487,322.45045,37069.0,40396.0,0.390539504273803,0.208,0.942,0.976,0.17785024209477526,0.12,0.444,0.526,0.24212450838154836,0.242,0.472,0.628,205.92523216829665,250.542,296.63,320.788,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,energy,26354852722.0,3,1.0
philly,HORUS__horus,Horus,final_representative_evaluation__philly__rep01__horus_baseline,evaluation/experiments/results/final_representative_evaluation__philly__rep01__horus_baseline,telemetry_minmax,,,,3,2883.832487287898,318.97325,29464.0,40396.0,0.46385067694230364,0.613,0.956,0.986,0.20790318683607578,0.27,0.461,0.597,0.262692751510102,0.287,0.508,0.687,219.71150384302942,259.966,297.457,314.169,evaluation/experiments/results/final_representative_evaluation__philly__rep01__horus_baseline/20260612-045006/HORUS__horus/runtime/telemetry/dcgmi_metrics.csv,energy,25802796301.0,3,0.9790529498751793
philly,LUCID,Lucid,final_representative_evaluation__philly__rep01__lucid_baseline,evaluation/experiments/results/final_representative_evaluation__philly__rep01__lucid_baseline,telemetry_minmax,,,,3,4853.656848798054,344.61154999999997,34491.0,40396.0,0.6475131326784739,0.737,0.961,0.993,0.29586230361160226,0.32,0.495,0.64,0.28587203392184274,0.305,0.505,0.658,229.236892826723,266.024,297.984,322.623,evaluation/experiments/results/final_representative_evaluation__philly__rep01__lucid_baseline/20260617-093203/LUCID/runtime/telemetry/dcgmi_metrics.csv,energy,24806184290.0,3,0.9412378263564632
philly,EST-MAGM__horus,AEGIS+HorusMem,final_representative_evaluation__philly__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_horus,telemetry_minmax,,,,3,2867.1230427894857,313.163,25360.0,40441.0,0.5552389357582463,0.807,0.971,0.997,0.26127190374109677,0.337,0.529,0.662,0.3399074752783349,0.362,0.574,0.619,244.55452761786216,270.643,296.522,317.946,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_horus/20260616-102058/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,energy,23116849954.0,3,0.8771382711884008
philly,oracle-MAGM,AEGIS+PeakMem,final_representative_evaluation__philly__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__philly__rep01__oracle_upper_bound,telemetry_minmax,,,,3,3236.1158817230635,316.33155,24726.0,40396.0,0.5570802705256124,0.857,0.981,0.999,0.26751432126644703,0.338,0.586,0.654,0.34705695094130934,0.359,0.566,0.629,241.1642287050799,271.037,295.037,316.405,evaluation/experiments/results/final_representative_evaluation__philly__rep01__oracle_upper_bound/20260617-193349/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,energy,22611402372.0,3,0.8579597317622225
philly,OR-MAGM,AEGIS-EstimatorFree,final_representative_evaluation__philly__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free,telemetry_minmax,,,,3,2470.7016752812588,309.08320000000003,22603.0,40396.0,0.5925745246033782,0.884,0.979,0.999,0.28082361777745213,0.346,0.572,0.623,0.35534811123731364,0.375,0.597,0.68,248.1113868278831,271.702,296.097,315.905,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,energy,22561010583.0,3,0.8560476820334098
saturn,exclusive,Exclusive,final_representative_evaluation__saturn__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive,telemetry_minmax,,,,3,5438.950926822438,324.1298,39545.0,40396.0,0.36852819836939865,0.176,0.942,0.976,0.16601335591246247,0.09,0.437,0.522,0.2158634754490284,0.21,0.482,0.622,191.3343587733615,234.713,294.081,320.548,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive/runtime/telemetry/dcgmi_metrics.csv,energy,27452478108.0,3,1.0
saturn,HORUS__horus,Horus,final_representative_evaluation__saturn__rep01__horus_baseline,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__horus_baseline,telemetry_minmax,,,,3,3175.8004739213293,320.59,31424.0,40441.0,0.41228997395602646,0.468,0.948,0.975,0.18446818914657265,0.224,0.45,0.584,0.2383310773700902,0.222,0.494,0.691,205.71086097232563,249.243,294.712,314.937,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__horus_baseline/20260618-230855/HORUS__horus/runtime/telemetry/dcgmi_metrics.csv,energy,26880891777.0,3,0.9791790624966046
saturn,LUCID,Lucid,final_representative_evaluation__saturn__rep01__lucid_baseline,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__lucid_baseline,telemetry_minmax,,,,3,5206.109788180571,339.8139,35644.0,40441.0,0.5820962566405833,0.723,0.958,0.997,0.26299819359712284,0.305,0.494,0.614,0.25287241869134325,0.239,0.509,0.624,215.35769035537166,258.523,296.443,319.247,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__lucid_baseline/20260619-162854/LUCID/runtime/telemetry/dcgmi_metrics.csv,energy,26263038708.0,3,0.9566727857747246
saturn,EST-MAGM__horus,AEGIS+HorusMem,final_representative_evaluation__saturn__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus,telemetry_minmax,,,,3,2833.9164344003348,313.8563,24801.0,40396.0,0.524841831520549,0.771,0.981,0.998,0.24270079932841815,0.317,0.503,0.639,0.31359703263011895,0.303,0.565,0.618,236.44812271192626,269.632,297.029,317.418,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/20260618-133928/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,energy,24174134003.0,3,0.8805811230555303
