experiment_name,run_label,task_file,jct_s,solo_runtime_s,normalized_jct
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2944.85667,2945.98,0.9996186905545863
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,1982.632046,2042.09,0.9708837739766611
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,3067.288059,3038.08,1.0096139861359807
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,1076.003549,1150.33,0.9353868446445803
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,3076.867794,2091.71,1.4709820166275438
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,2376.547046,2359.07,1.0074084473966436
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,3728.048101,2999.0,1.2430970660220073
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,6153.526134,3516.79,1.7497564921419817
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,3479.497683,1951.05,1.7833974951948952
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,3587.002093,1699.31,2.1108579911846572
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,7450.641997,6582.08,1.1319585901417182
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,3045.391162,2673.42,1.1391368217489208
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,7325.680348,3981.23,1.8400545429427588
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,7589.320351,1870.75,4.056833008686356
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,21365.187493,14448.63,1.4786998831723148
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,7380.773886,2191.55,3.3678327603750766
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,7039.624852,1670.26,4.214688043777615
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,9240.087599,2618.8,3.5283670379563157
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_large_wiki_bs8_1gpu.yaml,9025.045589,2725.48,3.3113600499728486
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs64_1gpu.yaml,8882.761625,2809.21,3.16201409826962
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,7331.918901,1880.22,3.8995005377030347
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,7408.523162,1951.05,3.7971980021014327
final_representative_evaluation__venus__rep01__aegis_estimator_free,OR-MAGM,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_50e_1gpu.yaml,10927.784475,1924.56,5.678069000187056
