experiment_name,run_label,task_file,jct_s,solo_runtime_s,normalized_jct
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,9106.200221,2091.71,4.35347166720052
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs64_1gpu.yaml,6629.018032,1951.05,3.397666913713129
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,8557.832261,2091.71,4.091309149451884
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/xception_imagenet_bs32_1gpu.yaml,9163.247703,2999.0,3.055434379126375
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,10097.069287,1670.26,6.045208103528792
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,20300.544687,1670.26,12.154122524038174
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,1703.147405,603.72,2.8210882611144235
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,4222.022262,1005.9,4.1972584372204
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,1807.753452,463.31,3.9018226500615136
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,6993.67783,1005.9,6.952657152798489
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,1001.761729,242.17,4.13660539703514
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,3264.039701,1053.86,3.0972232564097704
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,4959.265235,1053.86,4.705810292638491
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,22701.543696,2191.55,10.35867020875636
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,3037.102302,575.3,5.2791627011993745
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,21795.938337,1150.33,18.94755273443273
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_50e_1gpu.yaml,12539.726164,1374.02,9.12630541331276
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,906.43445,242.17,3.742967543461205
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_20e_1gpu.yaml,1392.141136,128.09,10.868460738543211
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,5433.144492,306.79,17.70965315688256
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__aegis_estimator_free,OR-MAGM,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,2613.104736,418.09,6.250101021311201
