experiment_name,run_label,task_file,jct_s,solo_runtime_s,normalized_jct
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,6021.657457,2091.71,2.8788204182224115
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs64_1gpu.yaml,5672.929904,1951.05,2.907629176084672
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,5859.381985,2091.71,2.8012401264993714
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/xception_imagenet_bs32_1gpu.yaml,8254.083359,2999.0,2.752278545848616
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,5259.692189,1670.26,3.1490260133152925
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,5145.397599,1670.26,3.0805967927149065
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,1121.046182,603.72,1.8568975385940503
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,1723.327029,1005.9,1.7132190366835671
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,1524.788835,463.31,3.291076892361486
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,3312.146362,1005.9,3.2927193180236602
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,2131.883301,242.17,8.803251026138662
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,4294.136348,1053.86,4.074674385592014
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,5368.510378,1053.86,5.0941399977226585
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,9516.08458,2191.55,4.3421708744952205
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,4602.329874,575.3,7.999878105336347
final_representative_evaluation_legacy_zeus__saturn_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,5674.207956,1150.33,4.932678410543062
