experiment_name,run_label,task_file,jct_s,solo_runtime_s,normalized_jct
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/vgg16_imagenet_bs32_1gpu.yaml,8345.447357,3038.08,2.7469478608199913
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,326.16853,192.12,1.6977333437434934
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/vgg16_imagenet_bs32_1gpu.yaml,8327.123086,3038.08,2.7409163307088686
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,737.907721,418.09,1.764949463034275
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,479.024976,306.79,1.561410006845073
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,462.953387,306.79,1.5090237198083378
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,706.636682,463.31,1.5251919492348534
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,827.698118,540.85,1.5303653841175926
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,2329.612109,487.07,4.782910277783481
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,evaluation/workloads/training/specs/yaml_legacy_11gb/mnist_bs32_1gpu.yaml,235.111403,140.45,1.6739864934140265
