experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,trace_name,configuration_label,job_metrics_path,repetition
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,0af129d8-e53f-451a-bc7e-c71117ae15f7,evaluation/workloads/training/specs/yaml_legacy_11gb/vgg16_imagenet_bs32_1gpu.yaml,2026-06-28 13:12:13.459830+00:00,2026-06-28 13:12:14.601315+00:00,2026-06-28 13:12:16.118566+00:00,2026-06-28 13:12:16.118566+00:00,2026-06-28 15:31:18.907187+00:00,1.141485,8345.447357,8342.788621,8342.788621,1,1,0,0,0,True,1,0,0,8342.788621,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,c90ff970-5339-4a98-8bf0-04fd8abb9634,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,2026-06-28 13:12:50.461570+00:00,2026-06-28 13:12:52.899914+00:00,2026-06-28 13:12:54.509392+00:00,2026-06-28 13:12:54.509392+00:00,2026-06-28 13:18:16.630100+00:00,2.438344,326.16853,322.120708,322.120708,1,1,0,0,0,True,1,0,0,322.120708,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,ec263c70-5b64-4652-8e3a-4c855b3efaa9,evaluation/workloads/training/specs/yaml_legacy_11gb/vgg16_imagenet_bs32_1gpu.yaml,2026-06-28 13:14:57.462762+00:00,2026-06-28 13:14:58.014834+00:00,2026-06-28 13:14:59.684453+00:00,2026-06-28 13:14:59.684453+00:00,2026-06-28 15:33:44.585848+00:00,0.552072,8327.123086,8324.901395,8324.901395,1,1,0,0,0,True,1,0,0,8324.901395,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,1d944ea0-84e5-4f6b-9172-0fc525f62502,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,2026-06-28 13:22:51.463962+00:00,2026-06-28 13:22:53.447026+00:00,2026-06-28 13:22:55.135785+00:00,2026-06-28 13:22:55.135785+00:00,2026-06-28 13:35:09.371683+00:00,1.983064,737.907721,734.235898,734.235898,1,1,0,0,0,True,1,0,0,734.235898,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,32bd76eb-e07e-4f98-9456-ee6a0cfa12a7,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,2026-06-28 13:32:50.520714+00:00,2026-06-28 13:32:51.581646+00:00,2026-06-28 13:32:53.358267+00:00,2026-06-28 13:32:53.358267+00:00,2026-06-28 13:40:49.545690+00:00,1.060932,479.024976,476.187423,476.187423,1,1,0,0,0,True,1,0,0,476.187423,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,9b6247b8-5482-4e4b-885f-04c0b9656563,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,2026-06-28 13:42:50.472457+00:00,2026-06-28 13:42:53.142229+00:00,2026-06-28 13:42:54.833184+00:00,2026-06-28 13:42:54.833184+00:00,2026-06-28 13:50:33.425844+00:00,2.669772,462.953387,458.59266,458.59266,1,1,0,0,0,True,1,0,0,458.59266,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,c75a3945-5fc1-4321-80b4-aaa715153189,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,2026-06-28 13:52:50.474367+00:00,2026-06-28 13:52:52.809079+00:00,2026-06-28 13:52:54.483139+00:00,2026-06-28 13:52:54.483139+00:00,2026-06-28 14:04:37.111049+00:00,2.334712,706.636682,702.62791,702.62791,1,1,0,0,0,True,1,0,0,702.62791,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,c9111c29-7df3-494e-ae55-4994e7c8d7c3,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,2026-06-28 13:55:42.476140+00:00,2026-06-28 13:55:44.744631+00:00,2026-06-28 13:55:46.564576+00:00,2026-06-28 13:55:46.564576+00:00,2026-06-28 14:09:30.174258+00:00,2.268491,827.698118,823.609682,823.609682,1,1,0,0,0,True,1,0,0,823.609682,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,3defee1e-d0b0-4add-84c5-18069cf497c0,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,2026-06-28 14:02:51.476812+00:00,2026-06-28 14:02:53.664425+00:00,2026-06-28 14:02:55.532140+00:00,2026-06-28 14:02:55.532140+00:00,2026-06-28 14:41:41.088921+00:00,2.187613,2329.612109,2325.556781,2325.556781,1,1,0,0,0,True,1,0,0,2325.556781,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,38083463-2569-48a3-a92f-70515ac69f61,evaluation/workloads/training/specs/yaml_legacy_11gb/mnist_bs32_1gpu.yaml,2026-06-28 14:09:08.478492+00:00,2026-06-28 14:09:11.363816+00:00,2026-06-28 14:09:13.352323+00:00,2026-06-28 14:09:13.352323+00:00,2026-06-28 14:13:03.589895+00:00,2.885324,235.111403,230.237572,230.237572,1,1,0,0,0,True,1,0,0,230.237572,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,47353a86-773f-4186-8bbb-a822cfaef427,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,2026-06-28 14:12:51.481271+00:00,2026-06-28 14:12:53.973621+00:00,2026-06-28 14:12:55.932170+00:00,2026-06-28 14:12:55.932170+00:00,2026-06-28 14:25:38.697877+00:00,2.49235,767.216606,762.765707,762.765707,1,1,0,0,0,True,1,0,0,762.765707,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,c1bf8c71-b0e8-4e19-85ed-3fbb761ce6ac,evaluation/workloads/training/specs/yaml_legacy_11gb/mnist_bs32_1gpu.yaml,2026-06-28 14:15:12.481630+00:00,2026-06-28 14:15:13.572364+00:00,2026-06-28 14:15:15.640238+00:00,2026-06-28 14:15:15.640238+00:00,2026-06-28 14:19:16.497170+00:00,1.090734,244.01554,240.856932,240.856932,1,1,0,0,0,True,1,0,0,240.856932,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,651e931f-8d26-40bf-ba3e-13e861a91cf2,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,2026-06-28 14:15:17.482470+00:00,2026-06-28 14:15:19.511546+00:00,2026-06-28 14:15:21.497807+00:00,2026-06-28 14:15:21.497807+00:00,2026-06-28 14:30:56.428504+00:00,2.029076,938.946034,934.930697,934.930697,1,1,0,0,0,True,1,0,0,934.930697,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,79aa096e-6683-45c2-aee0-5242c9a52686,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,2026-06-28 14:21:12.483736+00:00,2026-06-28 14:21:14.346378+00:00,2026-06-28 14:21:16.367890+00:00,2026-06-28 14:21:16.367890+00:00,2026-06-28 15:18:02.606321+00:00,1.862642,3410.122585,3406.238431,3406.238431,1,1,0,0,0,True,1,0,0,3406.238431,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,f8b8a8b1-5053-4d13-8e3a-3ff3b9514fb7,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,2026-06-28 14:21:13.485118+00:00,2026-06-28 14:21:20.896615+00:00,2026-06-28 14:21:22.706148+00:00,2026-06-28 14:21:22.706148+00:00,2026-06-28 16:06:09.933647+00:00,7.411497,6296.448529,6287.227499,6287.227499,1,1,0,0,0,True,1,0,0,6287.227499,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
legacy_zeus_philly_legacy_exclusive__philly_legacy__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/legacy_rtx2080ti/mapper_outputs/philly_legacy_rtx2080ti_seed42_60jobs.execution.csv,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/20260628-151203/exclusive,886b9668-d3cb-463d-9ea6-5a6289be4a27,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,2026-06-28 14:22:50.486127+00:00,2026-06-28 14:22:51.886159+00:00,2026-06-28 14:22:53.872045+00:00,2026-06-28 14:22:53.872045+00:00,2026-06-28 14:36:18.129111+00:00,1.400032,807.642984,804.257066,804.257066,1,1,0,0,0,True,1,0,0,804.257066,0.0,0.0,0.0,0.0,0.0,philly_legacy,exclusive,evaluation/experiments/results/legacy_zeus_multitrace_memory_vs_fixed_smi__philly_legacy__rep01__exclusive/analysis/job_metrics.csv,1
