trace_name,repetition,configuration_label,experiment_name,run_label,policy,estimator,trace_csv,run_dir,git_commit,return_code,timed_out,expected_tasks,submitted_job_count,completed_job_count,incomplete_job_count,completion_fraction,makespan_s,total_attempt_count,failed_attempt_count,recovered_attempt_count,recovery_stopped_job_count,total_recovery_queue_wait_s,total_failed_attempt_runtime_s,risk_smact_threshold,risk_smocc_threshold,risk_drama_threshold,initial_queue_wait_mean_s,initial_queue_wait_p50_s,initial_queue_wait_p95_s,initial_queue_wait_p99_s,total_queue_wait_mean_s,total_queue_wait_p50_s,total_queue_wait_p95_s,total_queue_wait_p99_s,jct_mean_s,jct_p50_s,jct_p95_s,jct_p99_s,execution_span_mean_s,execution_span_p50_s,execution_span_p95_s,execution_span_p99_s,total_execution_time_mean_s,total_execution_time_p50_s,total_execution_time_p95_s,total_execution_time_p99_s,successful_attempt_runtime_mean_s,successful_attempt_runtime_p50_s,successful_attempt_runtime_p95_s,successful_attempt_runtime_p99_s,recovery_queue_wait_mean_s,recovery_queue_wait_p50_s,recovery_queue_wait_p95_s,recovery_queue_wait_p99_s,recovery_gap_mean_s,recovery_gap_p50_s,recovery_gap_p95_s,recovery_gap_p99_s
philly,1,exclusive,final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,a62fbb1e8093b1e90604047328734a0678428251,0,False,60,60,60,0,1.0,42633.526644,60,0,0,0,0.0,0.0,0.65,0.35,0.5,16928.3363411,17441.126776999998,29115.10709685,29785.56325528,16928.3363411,17441.126776999998,29115.10709685,29785.56325528,18823.171411916668,19536.928526,30761.54493585,33958.35794894998,1894.8059101666663,1626.6446274999998,3520.1947086999985,10129.129640599973,1894.8059101666663,1626.6446274999998,3520.1947086999985,10129.129640599973,1894.8059101666663,1626.6446274999998,3520.1947086999985,10129.129640599973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
philly,1,or_lug,final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,OR-LUG,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG,19425c6923b4535f1760ad2aa9ab1505aaa242a4,0,False,60,60,60,0,1.0,33560.159135,63,3,3,0,13515.026035,38.028753,0.65,0.35,0.5,8451.78841525,9709.6107315,16359.15517665,17613.39626903,8677.038849166667,9916.1222775,16953.24469015,17904.70774118,11972.05855908333,11838.438799,21465.0252607,26397.538589829997,3520.244402633334,2734.149766,10902.380000249996,13992.450904819989,3294.9926142333343,2734.149766,8089.4102219499955,13992.450904819989,3294.3588016833337,2734.149766,8073.867933149995,13992.450904819989,225.25043391666668,0.0,126.5815017999928,5119.033748049986,225.2517884,0.0,126.5827839499928,5119.062086469986
philly,1,or_magm,final_representative_evaluation__philly__rep01__aegis_estimator_free,OR-MAGM,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,7460bc2c489efe261674c06431075d6d7600dfca,0,False,60,60,60,0,1.0,30208.227242,63,3,3,0,7824.864166,30.435317999999995,0.65,0.35,0.5,8556.0488656,9864.1332585,15291.224977249998,16545.56930807,8686.463268366668,9864.1332585,15885.16814425,16837.369447,11915.943266683336,11665.0885075,20698.911821899997,24869.468377379995,3359.8671307166665,2692.075204,8545.584152649997,12990.82629594998,3229.4512844333326,2662.057146,7443.161986849997,12465.055938539976,3228.944029133333,2662.057146,7443.161986849997,12465.055938539976,130.41440276666668,0.0,53.54199854999696,3051.7347743899877,130.41584628333334,0.0,53.54348094999696,3051.762528959988
philly,1,or_rr,final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_rr,OR-RR,OR-RR,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_rr/20260629-202228/OR-RR,19425c6923b4535f1760ad2aa9ab1505aaa242a4,0,False,60,60,60,0,1.0,33521.772581,68,8,8,0,32474.338447,175.98735699999995,0.65,0.35,0.5,8556.749862050001,8296.2643625,18566.4170917,19936.33857914,9097.988836166664,8327.101525,19721.913055699995,20494.96644464,12528.219089616665,12084.9912155,21231.12264669999,27077.98988108,3971.4424575333337,3452.687714,9569.508033649992,15485.844430179985,3430.199614983334,3330.682772,6576.5505079,11282.375538269973,3427.266492366667,3325.4766535,6574.461328699999,11257.431825279971,541.2389741166667,0.0,4699.189256399997,6238.956818629998,541.24284255,0.0,4699.2203001499975,6238.987030079999
saturn,1,exclusive,final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,15a2c0c35922fdd2f4ec23b374e1a11be34f6aab,0,False,60,60,60,0,1.0,47406.446032,60,0,0,0,0.0,0.0,0.65,0.35,0.5,15241.4198891,13580.08052,36809.21193444999,40683.15768966,15241.4198891,13580.08052,36809.21193444999,40683.15768966,17207.521583016667,14278.9171955,40915.85173475,44439.42749662999,1966.0740971833336,1678.538042,3581.0628991999984,10199.007777339972,1966.0740971833336,1678.538042,3581.0628991999984,10199.007777339972,1966.0740971833336,1678.538042,3581.0628991999984,10199.007777339972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saturn,1,or_lug,final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,OR-LUG,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,19425c6923b4535f1760ad2aa9ab1505aaa242a4,0,False,60,60,60,0,1.0,35073.639877,65,5,5,0,21122.915573,460.286143,0.65,0.35,0.5,6306.988880733335,5403.7398195000005,18338.094069249983,23234.53982721,6659.037473616668,5415.115293,23190.8412819,23236.55311902,9985.667671616664,7986.8693865,24464.19937734999,30876.629283659982,3678.6533480833336,3300.425574,9292.380052249997,15397.791855379965,3326.602401116667,3300.425574,7023.84977925,10796.042507899976,3318.9309654000003,3300.425574,6965.875576099999,10778.850212419977,352.0485928833333,0.0,3103.180406599997,5835.761449629995,352.05094696666663,0.0,3103.209817899997,5835.790070619994
saturn,1,or_magm,final_representative_evaluation__saturn__rep01__aegis_estimator_free,OR-MAGM,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,771cd9bd7db16484e576cb51a1a5d48d0f516f65,0,False,60,60,60,0,1.0,33248.588372,63,3,3,0,9107.406326,126.04666,0.65,0.35,0.5,6545.0870768333325,6102.7247515,16766.07312114999,20051.86970513,6696.877182266666,6102.7247515,20007.27915915,20053.40624862,10037.939477550002,8453.5499785,21282.53611709999,28265.418789079984,3492.8255506999994,2716.465265,9147.405206049998,15665.308470959966,3341.034022966667,2620.785529,9147.405206049998,13904.92436484998,3338.9332453,2620.785529,9147.405206049998,13888.02608528998,151.79010543333334,0.0,67.84846629999613,3799.911006659997,151.7915277333333,0.0,67.84973869999614,3799.941606319997
saturn,1,or_rr,final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_rr,OR-RR,OR-RR,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_rr/20260701-103528/OR-RR,19425c6923b4535f1760ad2aa9ab1505aaa242a4,0,False,60,60,60,0,1.0,34425.303956,67,7,7,0,25708.028569,179.662833,0.65,0.35,0.5,5918.80497505,4367.683686,17309.3641241,20589.96691103,6347.272117866667,4412.5333685000005,17494.51847049999,22250.98050214999,9951.864516883335,8634.1164865,22054.853672899997,29508.351496979987,4033.033382933333,3559.262358,9005.779867950001,12818.326039669972,3604.562742883333,3235.819755,8531.4842495,11439.65333136998,3601.568362333333,3235.819755,8531.4842495,11423.67702413998,428.4671428166666,0.0,3354.5950789999983,4989.1681552099935,428.47064005,0.0,3354.627246499998,4989.1962653999935
venus,1,exclusive,final_representative_evaluation__venus__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive,a46cd4e988d23a644c6162b41928c9a998cc257e,0,False,60,60,60,0,1.0,44446.783741,60,0,0,0,0.0,0.0,0.65,0.35,0.5,14463.681754733336,17226.1565375,23847.17636905,24337.3948459,14463.681754733336,17226.1565375,23847.17636905,24337.3948459,16391.221068383333,19684.235861,24677.87237945,25321.89904221,1927.5101401833333,1612.691582,3593.6759450499985,10064.673550129972,1927.5101401833333,1612.691582,3593.6759450499985,10064.673550129972,1927.5101401833333,1612.691582,3593.6759450499985,10064.673550129972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
venus,1,or_lug,final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,OR-LUG,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG,19425c6923b4535f1760ad2aa9ab1505aaa242a4,0,False,60,60,60,0,1.0,32878.471162,65,5,5,0,13211.832351,111.213364,0.65,0.35,0.5,5628.891811116668,6837.534837,11150.9192959,11232.12304721,5849.089016966667,6918.595151,11158.9948241,11311.21668004,8970.301836566668,9134.038817,14041.8432288,18562.812756609976,3341.38506925,2767.6123255,8030.181672949997,14780.44323523996,3121.1855688333326,2639.092099,8030.181672949997,12742.471006309976,3119.332012766666,2639.092099,8030.181672949997,12722.203272129977,220.19720585,0.0,1221.4385951499962,4426.570004359997,220.19950041666664,0.0,1221.466154149996,4426.595752069997
