trace_name,configuration_label,run_label,completion_fraction,makespan_s,makespan_s_vs_exclusive,makespan_reduction_percent,total_queue_wait_mean_s,total_queue_wait_mean_s_vs_exclusive,total_queue_wait_p95_s,total_queue_wait_p95_s_vs_exclusive,jct_mean_s,jct_mean_s_vs_exclusive,jct_p95_s,jct_p95_s_vs_exclusive,total_execution_time_mean_s,total_execution_time_mean_s_vs_exclusive,total_execution_time_p95_s,total_execution_time_p95_s_vs_exclusive,successful_attempt_runtime_mean_s,successful_attempt_runtime_mean_s_vs_exclusive,failed_attempt_count,recovered_attempt_count
philly,exclusive,exclusive,1.0,42633.526644,1.0,0.0,16928.3363411,1.0,29115.10709685,1.0,18823.171411916668,1.0,30761.54493585,1.0,1894.8059101666663,1.0,3520.1947086999985,1.0,1894.8059101666663,1.0,0,0
philly,or_lug,OR-LUG,1.0,33560.159135,0.7871776457818103,21.28223542181897,8677.038849166667,0.512574813869916,16953.24469015,0.5822834391010774,11972.05855908333,0.6360277073981274,21465.0252607,0.6977876210529437,3294.9926142333343,1.7389604901240296,8089.4102219499955,2.298000790114646,3294.3588016833337,1.7386259901382528,3,3
philly,or_magm,OR-MAGM,1.0,30208.227242,0.7085556748388615,29.14443251611385,8686.463268366668,0.5131315383471536,15885.16814425,0.5455988223367599,11915.943266683336,0.633046525791054,20698.9118219,0.672882713305376,3229.4512844333326,1.7043704936244743,7443.161986849997,2.1144176964003063,3228.944029133333,1.7041027853081356,3,3
philly,or_rr,OR-RR,1.0,33521.772581,0.7862772615766626,21.372273842333744,9097.988836166664,0.5374414031506346,19721.913055699995,0.6773773144675719,12528.219089616665,0.6655742975216832,21231.12264669999,0.690183886764312,3430.199614983334,1.810317139385329,6576.5505079,1.868234871112771,3427.266492366667,1.8087691588766504,8,8
saturn,exclusive,exclusive,1.0,47406.446032,1.0,0.0,15241.4198891,1.0,36809.21193444999,1.0,17207.521583016667,1.0,40915.85173475,1.0,1966.0740971833336,1.0,3581.0628991999984,1.0,1966.0740971833336,1.0,0,0
saturn,or_lug,OR-LUG,1.0,35073.639877,0.7398495945746453,26.015040542535477,6659.037473616668,0.4369040103920318,23190.8412819,0.6300281930294611,9985.667671616664,0.5803083043331605,24464.19937734999,0.5979149483663918,3326.602401116667,1.6920025577278464,7023.84977925,1.9613868778510184,3318.9309654000003,1.6881006520328083,5,5
saturn,or_magm,OR-MAGM,1.0,33248.588372,0.7013516336904214,29.864836630957857,6696.877182266666,0.4393866995985053,20007.27915915,0.5435400028335041,10037.939477550002,0.5833460344142275,21282.53611709999,0.5201538087260357,3341.034022966667,1.6993428822205374,9147.405206049998,2.554382724775236,3338.9332453,1.698274368236412,3,3
saturn,or_rr,OR-RR,1.0,34425.303956,0.7261734814029817,27.382651859701834,6347.272117866667,0.416448871827615,17494.51847049999,0.4752755506326597,9951.864516883335,0.5783438636918835,22054.8536729,0.5390295628177946,3604.562742883333,1.8333809229506437,8531.4842495,2.3823888296979967,3601.568362333333,1.8318578976718451,7,7
venus,exclusive,exclusive,1.0,44446.783741,1.0,0.0,14463.681754733336,1.0,23847.17636905,1.0,16391.221068383333,1.0,24677.87237945,1.0,1927.5101401833333,1.0,3593.6759450499985,1.0,1927.5101401833333,1.0,0,0
venus,or_lug,OR-LUG,1.0,32878.471162,0.7397266662440461,26.027333375595383,5849.089016966667,0.4043983486467762,11158.9948241,0.4679377822937006,8970.301836566668,0.5472625742245212,14041.8432288,0.5690054236804086,3121.1855688333326,1.6192836051884345,8030.181672949997,2.23453138116444,3119.332012766666,1.6183219728587128,5,5
venus,or_magm,OR-MAGM,1.0,34787.744417,0.7826830535076489,21.731694649235116,7725.666799266667,0.5341424770175403,13097.7829876,0.5492383158871138,10202.9449451,0.622463994752669,15059.679750999996,0.61025032950331,2477.2478134666667,1.2852061121873246,5096.019456149998,1.4180520264130545,2475.3380171,1.2842153021641487,6,6
venus,or_rr,OR-RR,1.0,36353.333096,0.8179069448047782,18.20930551952218,8112.863086699999,0.5609127208599575,13966.34343185,0.5856602566153779,10896.256319366665,0.6647617205519981,17068.127180899995,0.6916369012068129,2783.3590175000004,1.4440178339270702,6389.656549199998,1.778028026706537,2780.46064585,1.4425141470776073,13,13
