experiment_name,run_label,task_file,jct_s,solo_runtime_s,normalized_jct
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2974.984368,2945.98,1.0098454056035682
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,928.557062,923.45,1.0055304152904867
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,3075.394324,2983.56,1.0307801163710466
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2010.603002,1150.33,1.7478488798866414
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,4744.276916,2673.42,1.7746096445751134
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,4881.408924,1870.75,2.609332579981291
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,4992.267842,1880.22,2.6551509089361884
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,7658.670586,2857.58,2.6801246460291575
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,7035.759944,2191.55,3.2104035700759734
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,6363.233868,1374.02,4.631107165834559
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,8092.580476,1699.31,4.762274379601132
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,8715.524467,1646.54,5.293235795668492
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,10716.749499,3038.08,3.5274744243074574
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,8867.003134,903.35,9.8156895267615
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,10189.326444,1471.7,6.923507810015628
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_50e_1gpu.yaml,9803.900065,1005.9,9.746396326672631
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,11539.741414,1699.31,6.790839466607035
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,13217.141702,2999.0,4.407182961653885
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,12768.549621,2042.09,6.252687012325608
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,13646.899355,2091.71,6.524278869919826
final_representative_evaluation__philly__rep01__exclusive,exclusive,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,13850.033391,1150.33,12.040052324985005
