trace_name,configuration_label,run_label,task_id,task_file,workload,failed_attempt_count,recovered_attempt_count,recovery_stopped_count,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,successful_attempt_runtime_s,recovery_overhead_s,jct_s
philly,or_lug,OR-LUG,d11899b7-c668-4299-b75b-0caa3de1d3c3,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,xception_imagenet_bs128_1gpu.yaml,1,1,0,10.744087,2531.630036,2531.630036,2531.655679,2531.655679,4026.051594,2542.399766,6724.337843
philly,or_lug,OR-LUG,b86cf455-b755-498a-a58d-5ee915f22663,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_large_cased_wiki_bs4_2gpu.yaml,xlnet_large_cased_wiki_bs4_2gpu.yaml,1,1,0,16.360304,3421.341047,3421.341047,3421.371779,3421.371779,7989.721681,3437.732083,20983.00714
philly,or_lug,OR-LUG,6fe24b9a-8920-462c-8618-ea90825eb1f9,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,inception_imagenet_bs64_1gpu.yaml,1,1,0,10.924362,7562.054952,7562.054952,7562.079846,7562.079846,3301.740331,7573.004207999999,21376.10176
philly,or_magm,OR-MAGM,2880a572-44ba-4082-926b-fb8b31a8c6ac,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,mobilenet_imagenet_bs128_1gpu.yaml,1,1,0,10.133182,1070.839971,1070.839971,1070.869619,1070.869619,1585.611506,1081.002801,12983.885324
philly,or_magm,OR-MAGM,f6c29ab1-686d-470c-a6cd-4707f2095adc,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,resnet50_imagenet_bs64_1gpu.yaml,1,1,0,9.780645,1569.915858,1569.915858,1569.940301,1569.940301,3094.634982,1579.7209460000001,16053.392264
philly,or_magm,OR-MAGM,d28d2fcf-0f64-4391-871b-22ef24d5d0ec,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,inception_imagenet_bs64_1gpu.yaml,1,1,0,10.521491,5184.108337,5184.108337,5184.140857,5184.140857,5388.450471,5194.662348000001,22395.578304
philly,or_rr,OR-RR,cb011abe-3385-4044-b9fd-7c779c1ecfe9,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,xception_imagenet_bs128_1gpu.yaml,1,1,0,10.762474,3419.555346,3419.555346,3419.58246,3419.58246,4842.886894,3430.344934,8351.811055
philly,or_rr,OR-RR,dd86fcbc-ddb2-4311-9a8f-480b389e2be2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,resnet50_imagenet_bs32_1gpu.yaml,1,1,0,11.35273,4655.158691,4655.158691,4655.189857,4655.189857,7833.434164,4666.542587,16148.644898
philly,or_rr,OR-RR,2caf0f3d-c166-456c-8b85-e4dbab05b2a4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,gpt2_xl_wiki_bs2_1gpu.yaml,1,1,0,44.501469,2348.235973,2348.235973,2348.261122,2348.261122,16184.647972,2392.7625909999997,26834.423482
philly,or_rr,OR-RR,fed9d323-8c2d-4ca1-8ec7-f1021b1acd08,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_large_cased_wiki_bs4_2gpu.yaml,xlnet_large_cased_wiki_bs4_2gpu.yaml,1,1,0,17.732283,5535.769999,5535.769999,5535.79872,5535.79872,3486.860776,5553.531003,17177.035904
philly,or_rr,OR-RR,d21b971c-241f-4422-96ce-9bdc1416def6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,gpt2_large_wiki_bs8_2gpu.yaml,1,1,0,28.297439,3411.071865,3411.071865,3411.101636,3411.101636,5128.933566,3439.399075,20712.931288
philly,or_rr,OR-RR,0d5ed855-fd1f-42fd-903a-ebc2186686bd,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,inception_imagenet_bs64_1gpu.yaml,1,1,0,10.412237,6083.90091,6083.90091,6083.93139,6083.93139,3320.929211,6094.343626999999,23785.989105
philly,or_rr,OR-RR,c1d89e46-1dda-4c52-b51d-f9422674f97a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,maskrcnn_coco_bs8_1gpu.yaml,1,1,0,41.783584,6462.086053,6462.086053,6462.115878,6462.115878,6833.568503,6503.899461999999,27428.48787
philly,or_rr,OR-RR,845774aa-2c3f-4159-8dc6-fb8117cbf467,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs64_1gpu.yaml,vgg16_imagenet_bs64_1gpu.yaml,1,1,0,11.145141,558.55961,558.55961,558.58949,558.58949,2862.538792,569.7346309999999,21096.655991
