trace_name,repetition,configuration_label,experiment_name,run_label,policy,estimator,trace_csv,run_dir,git_commit,return_code,timed_out,expected_tasks,submitted_job_count,completed_job_count,incomplete_job_count,completion_fraction,makespan_s,total_attempt_count,failed_attempt_count,recovered_attempt_count,recovery_stopped_job_count,total_recovery_queue_wait_s,total_failed_attempt_runtime_s,risk_smact_threshold,risk_smocc_threshold,risk_drama_threshold,initial_queue_wait_mean_s,initial_queue_wait_p50_s,initial_queue_wait_p95_s,initial_queue_wait_p99_s,total_queue_wait_mean_s,total_queue_wait_p50_s,total_queue_wait_p95_s,total_queue_wait_p99_s,jct_mean_s,jct_p50_s,jct_p95_s,jct_p99_s,execution_span_mean_s,execution_span_p50_s,execution_span_p95_s,execution_span_p99_s,total_execution_time_mean_s,total_execution_time_p50_s,total_execution_time_p95_s,total_execution_time_p99_s,successful_attempt_runtime_mean_s,successful_attempt_runtime_p50_s,successful_attempt_runtime_p95_s,successful_attempt_runtime_p99_s,recovery_queue_wait_mean_s,recovery_queue_wait_p50_s,recovery_queue_wait_p95_s,recovery_queue_wait_p99_s,recovery_gap_mean_s,recovery_gap_p50_s,recovery_gap_p95_s,recovery_gap_p99_s
philly,1,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG,19425c6923b4535f1760ad2aa9ab1505aaa242a4,0,False,60,60,60,0,1.0,33846.890933,67,7,7,0,26140.217184,196.398963,999.0,999.0,999.0,7985.78648325,8354.0092815,16785.82400075,18152.79510756,8421.45676965,8767.887251,17938.3926738,18621.33087409,12293.380020316668,12362.7380155,19860.556847849995,26878.722059169995,4307.566128833333,4133.2971985,9893.6237052,16564.36092188999,3871.89223025,3567.750251,9013.029004149996,12495.56331288998,3868.6189142,3567.750251,8986.141992999997,12476.99870640998,435.6702864,0.0,2677.882495599994,6292.917966369998,435.67389858333337,0.0,2677.907906849994,6292.949863309998
philly,1,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG,19425c6923b4535f1760ad2aa9ab1505aaa242a4,0,False,60,60,60,0,1.0,33560.159135,63,3,3,0,13515.026035,38.028753,0.65,0.35,0.5,8451.78841525,9709.6107315,16359.15517665,17613.39626903,8677.038849166667,9916.1222775,16953.24469015,17904.70774118,11972.05855908333,11838.438799,21465.0252607,26397.538589829997,3520.244402633334,2734.149766,10902.380000249996,13992.450904819989,3294.9926142333343,2734.149766,8089.4102219499955,13992.450904819989,3294.3588016833337,2734.149766,8073.867933149995,13992.450904819989,225.25043391666668,0.0,126.5815017999928,5119.033748049986,225.2517884,0.0,126.5827839499928,5119.062086469986
philly,1,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM,19425c6923b4535f1760ad2aa9ab1505aaa242a4,0,False,60,60,60,0,1.0,31690.982375,66,6,6,0,20010.371097,193.032501,999.0,999.0,999.0,8025.7733036,8385.370769000001,16719.8591862,18052.76714411,8359.279488549999,8782.7931615,17276.2753073,18517.48011052,12528.8825015,12410.805648,22207.6212021,25857.20165004,4503.082180983332,4134.615455,11041.2655261,14967.998083249982,4169.572751683333,3718.762154,9738.5657142,13063.491443349983,4166.355543333333,3718.762154,9738.5657142,13042.781832489984,333.50618495,0.0,2553.2600700000003,5589.400863589997,333.5094293,0.0,2553.2916173,5589.436824059998
philly,1,aegis_magm_thresholded,final_representative_evaluation__philly__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,7460bc2c489efe261674c06431075d6d7600dfca,0,False,60,60,60,0,1.0,30208.227242,63,3,3,0,7824.864166,30.435317999999995,0.65,0.35,0.5,8556.0488656,9864.1332585,15291.224977249998,16545.56930807,8686.463268366668,9864.1332585,15885.16814425,16837.369447,11915.943266683336,11665.0885075,20698.911821899997,24869.468377379995,3359.8671307166665,2692.075204,8545.584152649997,12990.82629594998,3229.4512844333326,2662.057146,7443.161986849997,12465.055938539976,3228.944029133333,2662.057146,7443.161986849997,12465.055938539976,130.41440276666668,0.0,53.54199854999696,3051.7347743899877,130.41584628333334,0.0,53.54348094999696,3051.762528959988
philly,1,exclusive,final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,a62fbb1e8093b1e90604047328734a0678428251,0,False,60,60,60,0,1.0,42633.526644,60,0,0,0,0.0,0.0,0.65,0.35,0.5,16928.3363411,17441.126776999998,29115.10709685,29785.56325528,16928.3363411,17441.126776999998,29115.10709685,29785.56325528,18823.171411916668,19536.928526,30761.54493585,33958.35794894998,1894.8059101666663,1626.6446274999998,3520.1947086999985,10129.129640599973,1894.8059101666663,1626.6446274999998,3520.1947086999985,10129.129640599973,1894.8059101666663,1626.6446274999998,3520.1947086999985,10129.129640599973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saturn,1,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG,19425c6923b4535f1760ad2aa9ab1505aaa242a4,0,False,60,60,60,0,1.0,36005.578222,66,6,6,0,25532.866491000004,208.387521,999.0,999.0,999.0,7174.763563766667,5484.0317555,19266.498257449985,24570.33965725,7600.311338616667,5556.9777825,24526.47897555,24573.61012715,10921.718722566666,9197.009656,25855.92625559999,31971.82526875999,3746.92881665,3482.734653,8647.189689299994,14210.911396169971,3321.3780594666664,3216.4018205,7622.922761649997,11120.770360269978,3317.9049341166665,3209.3728665,7622.922761649997,11103.878954769978,425.54777485000005,0.0,4105.667553899999,5656.807768109999,425.5507571833333,0.0,4105.691296599999,5656.840032759999
saturn,1,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,19425c6923b4535f1760ad2aa9ab1505aaa242a4,0,False,60,60,60,0,1.0,35073.639877,65,5,5,0,21122.915573,460.286143,0.65,0.35,0.5,6306.988880733335,5403.7398195000005,18338.094069249983,23234.53982721,6659.037473616668,5415.115293,23190.8412819,23236.55311902,9985.667671616664,7986.8693865,24464.19937734999,30876.629283659982,3678.6533480833336,3300.425574,9292.380052249997,15397.791855379965,3326.602401116667,3300.425574,7023.84977925,10796.042507899976,3318.9309654000003,3300.425574,6965.875576099999,10778.850212419977,352.0485928833333,0.0,3103.180406599997,5835.761449629995,352.05094696666663,0.0,3103.209817899997,5835.790070619994
saturn,1,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM,19425c6923b4535f1760ad2aa9ab1505aaa242a4,0,False,60,60,60,0,1.0,32691.061447,66,6,6,0,23843.031181,204.652903,999.0,999.0,999.0,6351.434628316666,5865.866365,16396.988945299978,23333.47074043,6748.818481333333,5941.108478,23288.86198145,23334.55989459,10108.296671333335,8599.00792,24554.736802699987,29960.39743512,3756.8348451666666,3433.8648715,7450.094360699984,16414.391969549986,3359.4482046166668,3105.136332,6806.379298749998,12918.813904369988,3356.0373229,3105.136332,6806.379298749998,12882.395606709988,397.38385301666665,0.0,3446.34878555,5404.141725249989,397.3866405500001,0.0,3446.3787379,5404.170567879989
saturn,1,aegis_magm_thresholded,final_representative_evaluation__saturn__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM,771cd9bd7db16484e576cb51a1a5d48d0f516f65,0,False,60,60,60,0,1.0,33248.588372,63,3,3,0,9107.406326,126.04666,0.65,0.35,0.5,6545.0870768333325,6102.7247515,16766.07312114999,20051.86970513,6696.877182266666,6102.7247515,20007.27915915,20053.40624862,10037.939477550002,8453.5499785,21282.53611709999,28265.418789079984,3492.8255506999994,2716.465265,9147.405206049998,15665.308470959966,3341.034022966667,2620.785529,9147.405206049998,13904.92436484998,3338.9332453,2620.785529,9147.405206049998,13888.02608528998,151.79010543333334,0.0,67.84846629999613,3799.911006659997,151.7915277333333,0.0,67.84973869999614,3799.941606319997
saturn,1,exclusive,final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,15a2c0c35922fdd2f4ec23b374e1a11be34f6aab,0,False,60,60,60,0,1.0,47406.446032,60,0,0,0,0.0,0.0,0.65,0.35,0.5,15241.4198891,13580.08052,36809.21193444999,40683.15768966,15241.4198891,13580.08052,36809.21193444999,40683.15768966,17207.521583016667,14278.9171955,40915.85173475,44439.42749662999,1966.0740971833336,1678.538042,3581.0628991999984,10199.007777339972,1966.0740971833336,1678.538042,3581.0628991999984,10199.007777339972,1966.0740971833336,1678.538042,3581.0628991999984,10199.007777339972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
