trace_name,configuration_label,run_label,completion_fraction,makespan_s,makespan_s_vs_exclusive,makespan_reduction_percent,total_queue_wait_mean_s,total_queue_wait_mean_s_vs_exclusive,total_queue_wait_p95_s,total_queue_wait_p95_s_vs_exclusive,jct_mean_s,jct_mean_s_vs_exclusive,jct_p95_s,jct_p95_s_vs_exclusive,total_execution_time_mean_s,total_execution_time_mean_s_vs_exclusive,total_execution_time_p95_s,total_execution_time_p95_s_vs_exclusive,successful_attempt_runtime_mean_s,successful_attempt_runtime_mean_s_vs_exclusive,failed_attempt_count,recovered_attempt_count
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,1.0,33846.890933,0.7939031461232265,20.609685387677345,8421.45676965,0.4974769286219638,17938.3926738,0.6161197557724518,12293.380020316668,0.6530982346861015,19860.556847849995,0.6456293690472023,3871.89223025,2.043424188976395,9013.029004149996,2.560377976216688,3868.6189142,2.0416966684781546,7,7
philly,aegis_lug_thresholded,aegis_lug_thresholded,1.0,33560.159135,0.7871776457818103,21.28223542181897,8677.038849166667,0.512574813869916,16953.24469015,0.5822834391010774,11972.05855908333,0.6360277073981274,21465.0252607,0.6977876210529437,3294.9926142333343,1.7389604901240296,8089.4102219499955,2.298000790114646,3294.3588016833337,1.7386259901382528,3,3
philly,aegis_magm_no_thresholds,aegis_magm_no_thresholds,1.0,31690.982375,0.7433347618560194,25.666523814398055,8359.279488549999,0.4938039580566849,17276.2753073,0.5933783877157416,12528.8825015,0.66560954194829,22207.6212021,0.7219280191684677,4169.572751683333,2.200527626239344,9738.5657142,2.766484958951726,4166.355543333333,2.198829717058916,6,6
philly,aegis_magm_thresholded,aegis_magm_thresholded,1.0,30208.227242,0.7085556748388615,29.14443251611385,8686.463268366668,0.5131315383471536,15885.16814425,0.5455988223367599,11915.943266683336,0.633046525791054,20698.9118219,0.672882713305376,3229.4512844333326,1.7043704936244743,7443.161986849997,2.1144176964003063,3228.944029133333,1.7041027853081356,3,3
philly,exclusive,exclusive,1.0,42633.526644,1.0,0.0,16928.3363411,1.0,29115.10709685,1.0,18823.171411916668,1.0,30761.54493585,1.0,1894.8059101666663,1.0,3520.1947086999985,1.0,1894.8059101666663,1.0,0,0
saturn,aegis_lug_no_thresholds,aegis_lug_no_thresholds,1.0,36005.578222,0.759508067693911,24.0491932306089,7600.311338616667,0.4986616334907274,24526.47897555,0.6663136124518738,10921.718722566666,0.6347060888388535,25855.92625559999,0.6319293173516034,3321.3780594666664,1.6893453121756643,7622.922761649997,2.128676031731512,3317.9049341166665,1.6875787839685257,6,6
saturn,aegis_lug_thresholded,aegis_lug_thresholded,1.0,35073.639877,0.7398495945746453,26.015040542535477,6659.037473616668,0.4369040103920318,23190.8412819,0.6300281930294611,9985.667671616664,0.5803083043331605,24464.19937734999,0.5979149483663918,3326.602401116667,1.6920025577278464,7023.84977925,1.9613868778510184,3318.9309654000003,1.6881006520328083,5,5
saturn,aegis_magm_no_thresholds,aegis_magm_no_thresholds,1.0,32691.061447,0.6895910616234148,31.040893837658523,6748.818481333333,0.4427946038124567,23288.86198145,0.6326911323970454,10108.296671333335,0.5874347809221948,24554.736802699987,0.600127719737667,3359.4482046166668,1.7087088474587655,6806.379298749998,1.9006589636475049,3356.0373229,1.7069739780957272,6,6
saturn,aegis_magm_thresholded,aegis_magm_thresholded,1.0,33248.588372,0.7013516336904214,29.864836630957857,6696.877182266666,0.4393866995985053,20007.27915915,0.5435400028335041,10037.939477550002,0.5833460344142275,21282.53611709999,0.5201538087260357,3341.034022966667,1.6993428822205374,9147.405206049998,2.554382724775236,3338.9332453,1.698274368236412,3,3
saturn,exclusive,exclusive,1.0,47406.446032,1.0,0.0,15241.4198891,1.0,36809.21193444999,1.0,17207.521583016667,1.0,40915.85173475,1.0,1966.0740971833336,1.0,3581.0628991999984,1.0,1966.0740971833336,1.0,0,0
venus,aegis_lug_no_thresholds,aegis_lug_no_thresholds,1.0,33587.57802,0.7556807308200592,24.431926917994083,6289.530252533333,0.4348498784187534,11422.43004945,0.478984592250283,9246.369377483334,0.5641049766157112,14843.409968449998,0.6014866168450789,2956.8083806499994,1.534004059957249,7512.475255649998,2.0904709747126287,2954.6932874833333,1.5329067411299326,6,6
venus,aegis_lug_thresholded,aegis_lug_thresholded,1.0,32878.471162,0.7397266662440461,26.027333375595383,5849.089016966667,0.4043983486467762,11158.9948241,0.4679377822937006,8970.301836566668,0.5472625742245212,14041.8432288,0.5690054236804086,3121.1855688333326,1.6192836051884345,8030.181672949997,2.23453138116444,3119.332012766666,1.6183219728587128,5,5
venus,aegis_magm_no_thresholds,aegis_magm_no_thresholds,1.0,33998.065096,0.7649162039285744,23.50837960714256,7005.606360866665,0.4843584420387316,11813.6978445,0.4953918930138991,10100.942878216663,0.6162410253681558,15380.60467645,0.623254891667966,3095.3058195666667,1.6058570873574027,7946.37642495,2.2112111794318845,3093.3356837500005,1.6048349729852942,6,6
venus,aegis_magm_thresholded,aegis_magm_thresholded,1.0,34787.744417,0.7826830535076489,21.731694649235116,7725.666799266667,0.5341424770175403,13097.7829876,0.5492383158871138,10202.9449451,0.622463994752669,15059.679750999996,0.61025032950331,2477.2478134666667,1.2852061121873246,5096.019456149998,1.4180520264130545,2475.3380171,1.2842153021641487,6,6
venus,exclusive,exclusive,1.0,44446.783741,1.0,0.0,14463.681754733336,1.0,23847.17636905,1.0,16391.221068383333,1.0,24677.87237945,1.0,1927.5101401833333,1.0,3593.6759450499985,1.0,1927.5101401833333,1.0,0,0
