trace,policy,raw_label,experiment_name,gpu_uuid,gpu_id,start_time,end_time,energy_start_mj,energy_end_mj,energy_delta_mj,energy_delta_j
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-10T23:09:25.717589,2026-06-11T11:05:10.656974,8811033539.0,17775013461.0,8963979922.0,8963979.922
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-10T23:09:25.717589,2026-06-11T11:05:10.656974,7487071627.0,16650916710.0,9163845083.0,9163845.083
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-10T23:09:25.717589,2026-06-11T11:05:10.656974,8562298032.0,16789325749.0,8227027717.0,8227027.717
philly,AEGIS-MAGM,aegis_magm_thresholded,final_representative_evaluation__philly__rep01__aegis_estimator_free,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-11T11:05:13.346374,2026-06-11T19:33:56.753013,17775155353.0,25115677773.0,7340522420.0,7340522.42
philly,AEGIS-MAGM,aegis_magm_thresholded,final_representative_evaluation__philly__rep01__aegis_estimator_free,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-11T11:05:13.346374,2026-06-11T19:33:56.753013,16651066986.0,24496244833.0,7845177847.0,7845177.847
philly,AEGIS-MAGM,aegis_magm_thresholded,final_representative_evaluation__philly__rep01__aegis_estimator_free,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-11T11:05:13.346374,2026-06-11T19:33:56.753013,16789471935.0,24164782251.0,7375310316.0,7375310.316
philly,AEGIS-LUG,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-06-30T05:46:34.247059,2026-06-30T15:11:02.082527,117001429087.0,125350769054.0,8349339967.0,8349339.967
philly,AEGIS-LUG,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-06-30T05:46:34.247059,2026-06-30T15:11:02.082527,99728169768.0,107229231642.0,7501061874.0,7501061.874
philly,AEGIS-LUG,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,GPU-2542cdb4-b558-5541-6feb-c4b72b612395,1,2026-06-30T05:46:34.247059,2026-06-30T15:11:02.082527,101882885111.0,109041848223.0,7158963112.0,7158963.112
philly,MAGM no thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,0,2026-07-04T14:55:56.680978,2026-07-04T23:46:21.452925,1258675031.0,8586193734.0,7327518703.0,7327518.703
philly,MAGM no thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,GPU-02bed562-1235-134d-6e37-99f97fd3c1e0,3,2026-07-04T14:55:56.680978,2026-07-04T23:46:21.452925,631211828.0,8055564993.0,7424353165.0,7424353.165
