trace,policy,raw_label,experiment_name,dcgmi_csv,window_source,window_start_wall,window_end_wall,window_duration_s,rows_in_window,active_rows,active_row_fraction,used_gpu_memory_trace_mean_gb,used_gpu_memory_trace_p95_gb,gpu_utilization_trace_mean_pct,smact_trace_mean,smocc_trace_mean,drama_trace_mean,power_trace_mean_w,used_gpu_memory_active_mean_gb,used_gpu_memory_active_p95_gb,used_gpu_memory_active_max_gb,gpu_utilization_active_mean_pct,smact_active_mean,smocc_active_mean,drama_active_mean,power_active_mean_w,total_gpu_energy_j,energy_gpu_count,used_gpu_memory_active_mean_gb_vs_exclusive,used_gpu_memory_active_p95_gb_vs_exclusive,gpu_utilization_active_mean_pct_vs_exclusive,smact_active_mean_vs_exclusive,smocc_active_mean_vs_exclusive,drama_active_mean_vs_exclusive,power_active_mean_w_vs_exclusive,total_gpu_energy_j_vs_exclusive
philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-10T23:09:25.717588902+00:00,2026-06-11T11:05:10.656974077+00:00,42944.939385175705,114417,105611,0.9230359124955207,12.412962809899861,33.8623046875,69.51959936023493,0.3905372365994563,0.17784873751278218,0.24212225456007413,205.92523216829665,13.436733829661446,33.8623046875,39.1572265625,75.31624546685478,0.42310076601869123,0.1926780070257833,0.26231062105273123,218.0479648616148,26354852.722000003,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
philly,AEGIS-MAGM,aegis_magm_thresholded,final_representative_evaluation__philly__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-11T11:05:13.346374035+00:00,2026-06-11T19:33:56.753012896+00:00,30523.406638860703,54585,50725,0.9292846019968856,24.061442535867226,38.6015625,88.38298067234588,0.5925734725657232,0.2808223504625813,0.35534546120729144,248.1113868278831,25.89164797930015,38.7578125,39.4404296875,95.10862493839329,0.6376662986692953,0.3021919763430261,0.3823860423854115,262.63558864465256,22561010.583,3,1.926930183147977,1.1445710165825522,1.2627903096981747,1.5071263157229198,1.5683781507174719,1.4577604248382379,1.2044853929791801,0.8560476820334098
philly,AEGIS-LUG,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-30T05:46:34.247059107+00:00,2026-06-30T15:11:02.082526922+00:00,33867.8354678154,21732,17749,0.8167218847782073,20.972897245062004,37.267578125,78.03575372722253,0.5165022547395545,0.24488859745996686,0.31473739186453153,225.65790470274248,25.670888588793733,37.267578125,39.095703125,95.54752380415798,0.6324089807876501,0.2998433151163446,0.3853665558623021,263.3156253310046,23009364.953,3,1.9105006405742386,1.10056236481615,1.2686177226692292,1.4947006282652588,1.5561885850117856,1.4691229593209398,1.207604141126101,0.873059895105871
philly,MAGM no thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-07-04T14:55:56.680978060+00:00,2026-07-04T23:46:21.452924967+00:00,31824.771946907043,94155,83493,0.8867611916520631,25.00080642250478,37.4853515625,83.86429823163932,0.7546761297859914,0.36231483192607933,0.3397025649195476,238.8450189793425,28.178088528473197,37.4853515625,39.4443359375,94.5737127663397,0.8510477644832501,0.4085821925191332,0.38308234223228305,261.52280938521795,22738597.029,3,2.0970936006985843,1.1069935111751983,1.2556880946483153,2.011454085728726,2.120544004093101,1.4604149107453548,1.1993820238184507,0.8627859646515386
philly,LUG no thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-07-04T23:46:23.483741999+00:00,2026-07-05T09:12:44.498665094+00:00,33981.0149230957,94131,79621,0.8458531195886584,22.67303731800629,38.6015625,79.97734008987474,0.5481613177380459,0.2621181863573106,0.3229853502034399,230.59568346240877,26.79120685075624,38.6015625,39.4375,94.55227892139008,0.6480573341203953,0.30988617324575174,0.381845643737205,261.91662498587056,23193539.91,3,1.9938779163441445,1.1399567411679885,1.2554035100302592,1.5316855609090678,1.6083110783073657,1.4557002770407994,1.2011881200179844,0.8800481700525284
saturn,Exclusive,exclusive,final_representative_evaluation__saturn__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-15T21:07:07.476294041+00:00,2026-06-16T10:18:13.509474993+00:00,47466.03318095207,130503,111859,0.8571373838149314,11.203272625916645,33.8623046875,64.06101775438113,0.3685260415469377,0.16601194608553063,0.21586129820770406,191.3343587733615,13.033442387570513,34.7470703125,34.8251953125,74.73833129207306,0.42994979393701005,0.19368184053138326,0.2518397089192644,212.85529804486,27452478.108000003,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
saturn,AEGIS-MAGM,aegis_magm_thresholded,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-06-18T04:20:06.971630096+00:00,2026-06-18T13:39:27.527750968+00:00,33560.5561208725,68763,61357,0.8922967293457237,21.560088197527193,39.2822265625,84.55505140846094,0.5486481828890536,0.25674938557072846,0.32653828366999693,239.87483677268295,24.16241133473972,39.2822265625,39.443359375,94.76113564874423,0.6148718972570367,0.2877399155760549,0.36595257264859754,261.8869707775804,23892882.708,3,1.8538779407796724,1.1305190972710155,1.2679054243052768,1.430101620997913,1.4856318733166463,1.4531170410696268,1.2303521367947665,0.8703360991311494
saturn,AEGIS-LUG,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-07-01T20:14:38.117264986+00:00,2026-07-02T06:04:20.140583038+00:00,35382.02331805229,20049,16904,0.8431343209137613,20.65629992650818,34.8466796875,78.65629208439324,0.5254794752855504,0.2427015811262407,0.29567190383560277,226.28623721881388,24.482769656959892,34.9228515625,39.4189453125,93.29034548035968,0.6232452673923332,0.2878563653573119,0.3506816138192144,257.2043555963086,24138655.23,3,1.8784576575339877,1.0050588797391866,1.2482262296676978,1.449576848695134,1.4862331159573479,1.3924794279826502,1.2083530828633724,0.8792887525503823
saturn,MAGM no thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-07-05T09:12:47.237330914+00:00,2026-07-05T18:19:50.070844889+00:00,32822.83351397514,70167,65285,0.9304231333817892,22.22369350754272,38.1376953125,86.17197543004546,0.5573124688243761,0.2596695312611341,0.32887888893639466,242.58713120127695,23.881167160096116,38.1376953125,39.4306640625,92.6158995175002,0.598988021750785,0.27908746266370527,0.35347237497127976,256.24119076357505,23810328.846,3,1.8322992844062942,1.0975801691914224,1.2392021325116644,1.3931580621679283,1.4409583360938956,1.403560925670372,1.2038281081900593,0.8673289439419084
saturn,LUG no thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,dcgmi_span,2026-07-05T18:19:53.617299080+00:00,2026-07-06T04:22:12.075355053+00:00,36138.45805597305,57924,48233,0.8326945652924522,19.903399956192597,34.8681640625,77.42731855534839,0.5091873662039914,0.23674098819142325,0.2962824908500794,223.9584796802707,23.865733923577995,34.8681640625,39.4345703125,92.98405655878756,0.6114935624987041,0.2843071133871002,0.3558117264113781,256.26179294259117,24286553.329000004,3,1.8311151585200405,1.0034850060425509,1.2441280792771685,1.4222441111072872,1.4679079494860152,1.4128499748442984,1.203924897789404,0.884676175078074
