telemetry_file,gpu_id,energy_column,energy_start_raw,energy_end_raw,energy_delta_raw,energy_delta_j,start_sample_time_s,end_sample_time_s,trace,policy,raw_label,experiment_name,run_dir
evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,0,energy,8811033539.0,17775013461.0,8963979922.0,8963979922.0,41810.630388513,84755.569775537,philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,1,energy,8562298032.0,16789325749.0,8227027717.0,8227027717.0,41810.630388513,84755.569775537,philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,3,energy,7487071627.0,16650916710.0,9163845083.0,9163845083.0,41810.630388513,84755.569775537,philly,Exclusive,exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,0,energy,8586302368.0,16024051865.0,7437749497.0,7437749497.0,44004.328429882,77985.343353281,philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,1,energy,8598422116.0,16639839784.0,8041417668.0,8041417668.0,44004.328429882,77985.343353281,philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,3,energy,8055675884.0,15770048629.0,7714372745.0,7714372745.0,44004.328429882,77985.343353281,philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds
evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,0,energy,117001429087.0,125350769054.0,8349339967.0,8349339967.0,656468.998074592,690336.833546168,philly,aegis_lug_thresholded,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug
evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,1,energy,101882885111.0,109041848223.0,7158963112.0,7158963112.0,656468.998074592,690336.833546168,philly,aegis_lug_thresholded,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug
evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,3,energy,99728169768.0,107229231642.0,7501061874.0,7501061874.0,656468.998074592,690336.833546168,philly,aegis_lug_thresholded,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,0,energy,1258675031.0,8586193734.0,7327518703.0,7327518703.0,12177.525665396,44002.297613887,philly,aegis_magm_no_thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,1,energy,611588943.0,8598314104.0,7986725161.0,7986725161.0,12177.525665396,44002.297613887,philly,aegis_magm_no_thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,3,energy,631211828.0,8055564993.0,7424353165.0,7424353165.0,12177.525665396,44002.297613887,philly,aegis_magm_no_thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds
evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,0,energy,17775155353.0,25115677773.0,7340522420.0,7340522420.0,84758.259173945,115281.665812513,philly,aegis_magm_thresholded,aegis_magm_thresholded,final_representative_evaluation__philly__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,1,energy,16789471935.0,24164782251.0,7375310316.0,7375310316.0,84758.259173945,115281.665812513,philly,aegis_magm_thresholded,aegis_magm_thresholded,final_representative_evaluation__philly__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,3,energy,16651066986.0,24496244833.0,7845177847.0,7845177847.0,84758.259173945,115281.665812513,philly,aegis_magm_thresholded,aegis_magm_thresholded,final_representative_evaluation__philly__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive/runtime/telemetry/dcgmi_metrics.csv,0,energy,8193301419.0,17810348287.0,9617046868.0,9617046868.0,36657.386064984,84123.419245224,saturn,Exclusive,exclusive,final_representative_evaluation__saturn__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive/runtime/telemetry/dcgmi_metrics.csv,1,energy,7503759499.0,16129027690.0,8625268191.0,8625268191.0,36657.386064984,84123.419245224,saturn,Exclusive,exclusive,final_representative_evaluation__saturn__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive/runtime/telemetry/dcgmi_metrics.csv,3,energy,8345739771.0,17555902820.0,9210163049.0,9210163049.0,36657.386064984,84123.419245224,saturn,Exclusive,exclusive,final_representative_evaluation__saturn__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,0,energy,24278369209.0,33603055202.0,9324685993.0,9324685993.0,110814.461987089,146952.920043592,saturn,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,1,energy,24435321540.0,32971656359.0,8536334819.0,8536334819.0,110814.461987089,146952.920043592,saturn,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds
