trace,raw_label,policy,experiment_name,run_dir,window_source,window_start_s,window_end_s,window_duration_s,telemetry_file_count,gpu_memory_mean_gb,gpu_memory_p50_gb,gpu_memory_p95_gb,gpu_memory_max_gb,smact_mean,smact_p50,smact_p95,smact_max,smocc_mean,smocc_p50,smocc_p95,smocc_max,drama_mean,drama_p50,drama_p95,drama_max,power_mean,power_p50,power_p95,power_max,energy_source_file,energy_source_column,total_gpu_energy_j,energy_gpu_count,normalized_energy_vs_exclusive
philly,exclusive,Exclusive,final_representative_evaluation__philly__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive,telemetry_minmax,,,,3,5216.047976984487,322.45045,37069.0,40396.0,0.390539504273803,0.208,0.942,0.976,0.17785024209477526,0.12,0.444,0.526,0.24212450838154836,0.242,0.472,0.628,205.92523216829665,250.542,296.63,320.788,evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive/runtime/telemetry/dcgmi_metrics.csv,energy,26354852722.0,3,1.0
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,telemetry_minmax,,,,3,3493.7190859904313,313.9128,27860.0,40396.0,0.5587682509667276,0.784,0.994,999.0,0.27272815833085456,0.318,0.589,999.0,0.3335946755619768,0.3125,0.557,999.0,230.59568346240877,269.276,295.224,317.418,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,energy,23193539910.0,3,0.8800481700525286
philly,aegis_lug_thresholded,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,telemetry_minmax,,,,3,1439.3051757345745,297.81825000000003,4956.0,40396.0,0.5165083973680578,0.756,0.98,0.997,0.2448934339483734,0.33,0.57,0.654,0.31474591634841026,0.323,0.559,0.622,225.65790470274248,268.962,295.142,320.26,evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,energy,23009364953.0,3,0.873059895105871
philly,aegis_magm_no_thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,telemetry_minmax,,,,3,3159.7249389166655,330.75335,25845.0,40397.0,0.7652781660223461,0.93,0.995,999.0,0.37292103530311393,0.37,0.597,999.0,0.350309008454055,0.339,0.56,999.0,238.8450189793425,270.51,294.902,318.72,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,energy,22738597029.0,3,0.8627859646515387
philly,aegis_magm_thresholded,aegis_magm_thresholded,final_representative_evaluation__philly__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free,telemetry_minmax,,,,3,2470.7016752812588,309.08320000000003,22603.0,40396.0,0.5925745246033782,0.884,0.979,0.999,0.28082361777745213,0.346,0.572,0.623,0.35534811123731364,0.375,0.597,0.68,248.1113868278831,271.702,296.097,315.905,evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,energy,22561010583.0,3,0.8560476820334098
saturn,exclusive,Exclusive,final_representative_evaluation__saturn__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive,telemetry_minmax,,,,3,5438.950926822438,324.1298,39545.0,40396.0,0.36852819836939865,0.176,0.942,0.976,0.16601335591246247,0.09,0.437,0.522,0.2158634754490284,0.21,0.482,0.622,191.3343587733615,234.713,294.081,320.548,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive/runtime/telemetry/dcgmi_metrics.csv,energy,27452478108.0,3,1.0
saturn,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,telemetry_minmax,,,,3,2843.1134557804526,312.1197,24844.0,40396.0,0.5264250151057401,0.715,0.983,999.0,0.253983340526543,0.291,0.58,999.0,0.3135238152783772,0.298,0.616,999.0,223.9584796802707,267.421,294.902,314.368,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,energy,24286553329.0,3,0.884676175078074
saturn,aegis_lug_thresholded,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,telemetry_minmax,,,,3,1320.5820711170127,296.1317,4880.0,40396.0,0.5254856857855362,0.719,0.985,0.999,0.24270693266832916,0.296,0.545,0.65,0.29568209476309226,0.295,0.6185499999999993,0.637,226.28623721881388,268.334,294.902,316.431,evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,energy,24138655230.0,3,0.8792887525503823
saturn,aegis_magm_no_thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,telemetry_minmax,,,,3,3035.5838738004086,312.71290000000005,26370.0,40396.0,0.5715417854292556,0.778,0.991,999.0,0.2739030897275111,0.307,0.583,999.0,0.34311146106487295,0.31,0.618,999.0,242.58713120127695,270.797,294.902,316.932,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,energy,23810328846.0,3,0.8673289439419084
saturn,aegis_magm_thresholded,aegis_magm_thresholded,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free,telemetry_minmax,,,,3,3017.761648766909,313.1865,23947.0,40396.0,0.5486496567971612,0.787,0.989,0.998,0.25675074166715145,0.327,0.533,0.621,0.3265408062358211,0.364,0.599,0.636,239.87483677268295,270.51,297.288,319.781,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,energy,23892882708.0,3,0.8703360991311495
