experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG,40bf591b-40b4-46d3-8ab7-0574928676e0,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2026-07-04 21:46:32.448850+00:00,2026-07-04 21:46:33.380890+00:00,2026-07-04 21:46:33.405869+00:00,2026-07-04 21:46:33.405869+00:00,2026-07-04 23:23:12.151413+00:00,0.93204,0.93204,5799.702563,5798.745544,5798.745544,1,1,0,0,0,True,1,0,0,5798.745544,5798.745544,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG,e3e4a754-1dda-45e1-bcb3-020d556dd577,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,2026-07-04 21:46:33.450035+00:00,2026-07-04 21:46:35.401758+00:00,2026-07-04 21:46:35.425428+00:00,2026-07-04 21:46:35.425428+00:00,2026-07-04 22:05:01.549453+00:00,1.951723,1.951723,1108.099418,1106.124025,1106.124025,1,1,0,0,0,True,1,0,0,1106.124025,1106.124025,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG,222ec551-9140-4879-a055-4c350659accb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,2026-07-04 21:46:38.450946+00:00,2026-07-04 21:46:40.084378+00:00,2026-07-04 21:46:40.103566+00:00,2026-07-04 21:46:40.103566+00:00,2026-07-04 23:44:21.753222+00:00,1.633432,1.633432,7063.302276,7061.649656,7061.649656,1,1,0,0,0,True,1,0,0,7061.649656,7061.649656,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG,484120a3-0c9b-45d9-9768-d123c22c704b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2026-07-04 21:46:40.452035+00:00,2026-07-04 21:47:14.279147+00:00,2026-07-04 21:47:14.305202+00:00,2026-07-04 21:47:14.305202+00:00,2026-07-04 22:29:24.552134+00:00,33.827112,33.827112,2564.100099,2530.246932,2530.246932,1,1,0,0,0,True,1,0,0,2530.246932,2530.246932,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG,6364f62f-b194-4c78-94a6-d43517c5a59e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,2026-07-04 21:46:40.452614+00:00,2026-07-04 21:47:21.884196+00:00,2026-07-04 21:47:21.905322+00:00,2026-07-04 21:47:21.905322+00:00,2026-07-04 22:42:55.943425+00:00,41.431582,41.431582,3375.490811,3334.038103,3334.038103,1,1,0,0,0,True,1,0,0,3334.038103,3334.038103,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG,4bd5e766-b127-4448-9663-5a5aeb24e22a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,2026-07-04 21:46:43.453701+00:00,2026-07-04 21:47:24.457353+00:00,2026-07-04 21:47:24.477891+00:00,2026-07-04 21:47:24.477891+00:00,2026-07-04 22:31:07.713380+00:00,41.003652,41.003652,2664.259679,2623.235489,2623.235489,1,1,0,0,0,True,1,0,0,2623.235489,2623.235489,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG,0ac9a278-5413-4e51-8da5-7fb515a38579,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,2026-07-04 21:46:45.454480+00:00,2026-07-04 21:47:55.256621+00:00,2026-07-04 21:47:55.281677+00:00,2026-07-04 21:47:55.281677+00:00,2026-07-04 23:27:58.326060+00:00,69.802141,69.802141,6072.87158,6003.044383,6003.044383,1,1,0,0,0,True,1,0,0,6003.044383,6003.044383,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG,d9472c99-22f6-4b5a-9566-681d4c8b0e79,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,2026-07-04 21:46:46.455449+00:00,2026-07-04 21:48:06.279566+00:00,2026-07-04 21:48:06.300963+00:00,2026-07-04 22:31:08.316356+00:00,2026-07-04 23:39:26.246708+00:00,79.824117,2651.1666800000003,6759.791259,6679.945745,4097.930352,2,2,1,1,0,True,2,1,1,4108.57808,4108.57808,10.647728,2571.342563,2571.342563,2571.367665,2571.367665,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG,16b089fa-5d59-4d65-810b-9e9e45217bf3,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,2026-07-04 21:46:50.456359+00:00,2026-07-04 22:31:11.197560+00:00,2026-07-04 22:31:11.219892+00:00,2026-07-04 22:31:11.219892+00:00,2026-07-05 00:26:40.257329+00:00,2660.741201,2660.741201,9589.80097,6929.037437,6929.037437,1,1,0,0,0,True,1,0,0,6929.037437,6929.037437,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG,4f0728ad-fea0-4a22-a70b-3906a88a611b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,2026-07-04 21:46:51.457232+00:00,2026-07-04 22:31:50.641192+00:00,2026-07-04 22:31:50.664078+00:00,2026-07-04 22:31:50.664078+00:00,2026-07-04 23:43:03.048034+00:00,2699.18396,2699.18396,6971.590802,4272.383956,4272.383956,1,1,0,0,0,True,1,0,0,4272.383956,4272.383956,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
