experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG,6ea75424-2662-4595-b25f-5672478429e4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2026-06-30 03:46:39.202056+00:00,2026-06-30 03:46:39.807952+00:00,2026-06-30 03:46:39.828075+00:00,2026-06-30 03:46:39.828075+00:00,2026-06-30 05:34:04.731806+00:00,0.605896,0.605896,6445.52975,6444.903731,6444.903731,1,1,0,0,0,True,1,0,0,6444.903731,6444.903731,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG,956b45c7-8126-4d40-a775-772d33cc2cf4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,2026-06-30 03:46:40.203068+00:00,2026-06-30 03:46:41.711863+00:00,2026-06-30 03:46:41.734251+00:00,2026-06-30 03:46:41.734251+00:00,2026-06-30 04:04:53.671375+00:00,1.508795,1.508795,1093.468307,1091.937124,1091.937124,1,1,0,0,0,True,1,0,0,1091.937124,1091.937124,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG,0d8a5a68-db98-41b6-aa0f-928788f81e23,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,2026-06-30 03:46:45.203769+00:00,2026-06-30 03:46:46.069828+00:00,2026-06-30 03:46:46.088104+00:00,2026-06-30 03:46:46.088104+00:00,2026-06-30 05:02:14.115248+00:00,0.866059,0.866059,4528.911479,4528.027144,4528.027144,1,1,0,0,0,True,1,0,0,4528.027144,4528.027144,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG,ccde3d0e-36ad-46b6-be52-9861d14520bf,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2026-06-30 03:46:47.204692+00:00,2026-06-30 03:48:40.243920+00:00,2026-06-30 03:48:40.266146+00:00,2026-06-30 03:48:40.266146+00:00,2026-06-30 04:20:37.520789+00:00,113.039228,113.039228,2030.316097,1917.254643,1917.254643,1,1,0,0,0,True,1,0,0,1917.254643,1917.254643,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG,336ceb0e-25dc-48f5-941b-822342d3806e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,2026-06-30 03:46:47.204995+00:00,2026-06-30 03:48:42.742666+00:00,2026-06-30 03:48:42.763340+00:00,2026-06-30 03:48:42.763340+00:00,2026-06-30 04:44:42.572006+00:00,115.537671,115.537671,3475.367011,3359.808666,3359.808666,1,1,0,0,0,True,1,0,0,3359.808666,3359.808666,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG,a5539be0-7068-4bac-89a3-a8e73cf7b24d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,2026-06-30 03:46:50.205637+00:00,2026-06-30 03:48:45.517084+00:00,2026-06-30 03:48:45.540509+00:00,2026-06-30 03:48:45.540509+00:00,2026-06-30 04:31:51.057914+00:00,115.311447,115.311447,2700.852277,2585.517405,2585.517405,1,1,0,0,0,True,1,0,0,2585.517405,2585.517405,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG,597764dc-ae80-4618-9ba3-ec7fc16f13c0,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,2026-06-30 03:46:52.206607+00:00,2026-06-30 03:49:20.706520+00:00,2026-06-30 03:49:20.729280+00:00,2026-06-30 03:49:20.729280+00:00,2026-06-30 04:52:05.870562+00:00,148.499913,148.499913,3913.663955,3765.141282,3765.141282,1,1,0,0,0,True,1,0,0,3765.141282,3765.141282,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG,d11899b7-c668-4299-b75b-0caa3de1d3c3,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,2026-06-30 03:46:53.207390+00:00,2026-06-30 03:49:29.070459+00:00,2026-06-30 03:49:29.093873+00:00,2026-06-30 04:31:51.493639+00:00,2026-06-30 05:38:57.545233+00:00,155.863069,2687.493105,6724.337843,6568.45136,4026.051594,2,2,1,1,0,True,2,1,1,4036.795681,4036.795681,10.744087,2531.630036,2531.630036,2531.655679,2531.655679,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG,9f906ef1-ab5f-4f65-b9a2-4e905e09e56b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,2026-06-30 03:46:57.208114+00:00,2026-06-30 04:32:33.257349+00:00,2026-06-30 04:32:33.280922+00:00,2026-06-30 04:32:33.280922+00:00,2026-06-30 06:02:45.312791+00:00,2736.049235,2736.049235,8148.104677,5412.031869,5412.031869,1,1,0,0,0,True,1,0,0,5412.031869,5412.031869,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__philly__rep01__or_lug/20260630-054629/OR-LUG,29451f3a-d182-4cfb-9676-2c9d3c3263df,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,2026-06-30 03:46:58.208939+00:00,2026-06-30 04:33:13.959476+00:00,2026-06-30 04:33:13.986556+00:00,2026-06-30 04:33:13.986556+00:00,2026-06-30 05:44:33.787424+00:00,2775.750537,2775.750537,7055.578485,4279.800868,4279.800868,1,1,0,0,0,True,1,0,0,4279.800868,4279.800868,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
