experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM,7a0cadae-8466-4483-a1ec-5def2037b533,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2026-07-04 12:56:04.971874+00:00,2026-07-04 12:56:05.885170+00:00,2026-07-04 12:56:05.911194+00:00,2026-07-04 12:56:05.911194+00:00,2026-07-04 14:33:15.115583+00:00,0.913296,0.913296,5830.143709,5829.204389,5829.204389,1,1,0,0,0,True,1,0,0,5829.204389,5829.204389,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM,b178ed46-0c32-44e7-a0cb-876059a5fe1e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,2026-07-04 12:56:05.972468+00:00,2026-07-04 12:56:07.915842+00:00,2026-07-04 12:56:07.938643+00:00,2026-07-04 12:56:07.938643+00:00,2026-07-04 13:14:34.495063+00:00,1.943374,1.943374,1108.522595,1106.55642,1106.55642,1,1,0,0,0,True,1,0,0,1106.55642,1106.55642,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM,0438dccf-1e0e-422a-a867-6bbef9e2b704,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,2026-07-04 12:56:10.973415+00:00,2026-07-04 12:56:12.381359+00:00,2026-07-04 12:56:12.400670+00:00,2026-07-04 12:56:12.400670+00:00,2026-07-04 14:54:06.331844+00:00,1.407944,1.407944,7075.358429,7073.931174,7073.931174,1,1,0,0,0,True,1,0,0,7073.931174,7073.931174,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM,d7bfb275-3ea9-44cf-9d29-5d3751863e79,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2026-07-04 12:56:12.974039+00:00,2026-07-04 12:56:46.523222+00:00,2026-07-04 12:56:46.543962+00:00,2026-07-04 12:56:46.543962+00:00,2026-07-04 13:39:03.980369+00:00,33.549183,33.549183,2571.00633,2537.436407,2537.436407,1,1,0,0,0,True,1,0,0,2537.436407,2537.436407,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM,d82cc6af-162e-451f-8ef6-9b42e5ee7d9e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,2026-07-04 12:56:12.974351+00:00,2026-07-04 12:56:54.034789+00:00,2026-07-04 12:56:54.055564+00:00,2026-07-04 12:56:54.055564+00:00,2026-07-04 13:52:03.719827+00:00,41.060438,41.060438,3350.745476,3309.664263,3309.664263,1,1,0,0,0,True,1,0,0,3309.664263,3309.664263,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM,4df8a81c-9450-412e-90ba-27102f58b555,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,2026-07-04 12:56:15.975163+00:00,2026-07-04 12:56:56.651993+00:00,2026-07-04 12:56:56.671088+00:00,2026-07-04 12:56:56.671088+00:00,2026-07-04 13:40:42.216787+00:00,40.67683,40.67683,2666.241624,2625.545699,2625.545699,1,1,0,0,0,True,1,0,0,2625.545699,2625.545699,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM,de281f7c-7d77-478e-a437-5c5ab4b960d6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,2026-07-04 12:56:17.975780+00:00,2026-07-04 12:57:27.428839+00:00,2026-07-04 12:57:27.451287+00:00,2026-07-04 12:57:27.451287+00:00,2026-07-04 14:37:11.411523+00:00,69.453059,69.453059,6053.435743,5983.960236,5983.960236,1,1,0,0,0,True,1,0,0,5983.960236,5983.960236,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM,dbbc658f-7493-4253-98a4-1e1e4835aba4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,2026-07-04 12:56:18.976365+00:00,2026-07-04 12:57:38.688024+00:00,2026-07-04 12:57:38.710566+00:00,2026-07-04 13:40:43.325064+00:00,2026-07-04 14:48:51.891470+00:00,79.711659,2653.7926700000003,6752.915105,6673.180904,4088.566406,2,2,1,1,0,True,2,1,1,4099.074363,4099.074363,10.507957,2574.081011,2574.081011,2574.106541,2574.106541,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM,607eb55e-6598-46f9-ae6d-a0f4c410ff79,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,2026-07-04 12:56:22.977398+00:00,2026-07-04 13:40:46.336037+00:00,2026-07-04 13:40:46.359595+00:00,2026-07-04 13:40:46.359595+00:00,2026-07-04 15:36:10.823970+00:00,2663.358639,2663.358639,9587.846572,6924.464375,6924.464375,1,1,0,0,0,True,1,0,0,6924.464375,6924.464375,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_magm_no_thresholds/20260704-145554/OR-MAGM,5a770cc1-50f2-4b9d-913a-7ccd87b436aa,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,2026-07-04 12:56:23.978381+00:00,2026-07-04 13:41:25.874898+00:00,2026-07-04 13:41:25.897076+00:00,2026-07-04 13:41:25.897076+00:00,2026-07-04 14:52:36.437126+00:00,2701.896517,2701.896517,6972.458745,4270.54005,4270.54005,1,1,0,0,0,True,1,0,0,4270.54005,4270.54005,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
