experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
final_representative_evaluation__philly__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,e8578c20-1bbb-487c-a908-b33e7324c114,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2026-06-11 09:05:21.619699+00:00,2026-06-11 09:05:22.589927+00:00,2026-06-11 09:05:22.614003+00:00,2026-06-11 09:05:22.614003+00:00,2026-06-11 10:00:45.835066+00:00,0.970228,0.970228,3324.215367,3323.221063,3323.221063,1,1,0,0,0,True,1,0,0,3323.221063,3323.221063,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__philly__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,6f4252d0-01cc-4416-9241-95535279aefc,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,2026-06-11 09:05:22.628458+00:00,2026-06-11 09:05:24.685335+00:00,2026-06-11 09:05:24.709806+00:00,2026-06-11 09:05:24.709806+00:00,2026-06-11 09:25:14.041887+00:00,2.056877,2.056877,1191.413429,1189.332081,1189.332081,1,1,0,0,0,True,1,0,0,1189.332081,1189.332081,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__philly__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,8dc4ceee-9c80-4b6c-be63-1fdb6a9cb97a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,2026-06-11 09:05:27.629275+00:00,2026-06-11 09:05:29.170761+00:00,2026-06-11 09:05:29.196242+00:00,2026-06-11 09:05:29.196242+00:00,2026-06-11 10:44:41.364942+00:00,1.541486,1.541486,5953.735667,5952.1687,5952.1687,1,1,0,0,0,True,1,0,0,5952.1687,5952.1687,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__philly__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,fbbd272d-2363-4f69-91d8-babe7297c548,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2026-06-11 09:05:29.630378+00:00,2026-06-11 09:06:04.370508+00:00,2026-06-11 09:06:04.394432+00:00,2026-06-11 09:06:04.394432+00:00,2026-06-11 09:36:39.403316+00:00,34.74013,34.74013,1869.772938,1835.008884,1835.008884,1,1,0,0,0,True,1,0,0,1835.008884,1835.008884,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__philly__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,423982f1-d501-4a0d-b42b-fb080fb81818,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,2026-06-11 09:05:29.630902+00:00,2026-06-11 09:06:12.116704+00:00,2026-06-11 09:06:12.141329+00:00,2026-06-11 09:06:12.141329+00:00,2026-06-11 10:01:26.450153+00:00,42.485802,42.485802,3356.819251,3314.308824,3314.308824,1,1,0,0,0,True,1,0,0,3314.308824,3314.308824,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__philly__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,2417d46c-6fd6-4684-b5fa-35ecb7ee59bb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,2026-06-11 09:05:32.631834+00:00,2026-06-11 09:06:14.726954+00:00,2026-06-11 09:06:14.755877+00:00,2026-06-11 09:06:14.755877+00:00,2026-06-11 10:23:05.499862+00:00,42.09512,42.09512,4652.868028,4610.743985,4610.743985,1,1,0,0,0,True,1,0,0,4610.743985,4610.743985,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__philly__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,7e3890d3-f1fc-44ea-bb50-df3071eadca6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,2026-06-11 09:05:34.632753+00:00,2026-06-11 09:06:57.526207+00:00,2026-06-11 09:06:57.550898+00:00,2026-06-11 09:06:57.550898+00:00,2026-06-11 10:52:56.452846+00:00,82.893454,82.893454,6441.820093,6358.901948,6358.901948,1,1,0,0,0,True,1,0,0,6358.901948,6358.901948,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__philly__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,ab7bfbb5-4791-4eb8-a379-67e670b6a49b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,2026-06-11 09:05:35.633724+00:00,2026-06-11 09:25:17.743307+00:00,2026-06-11 09:25:17.764085+00:00,2026-06-11 09:25:17.764085+00:00,2026-06-11 10:42:16.858573+00:00,1182.109583,1182.109583,5801.224849,4619.094488,4619.094488,1,1,0,0,0,True,1,0,0,4619.094488,4619.094488,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__philly__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,196b6f31-cf1a-42a9-998c-e2cfce824d65,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,2026-06-11 09:05:39.634671+00:00,2026-06-11 09:37:28.507174+00:00,2026-06-11 09:37:28.530993+00:00,2026-06-11 09:37:28.530993+00:00,2026-06-11 11:17:21.069145+00:00,1908.872503,1908.872503,7901.434474,5992.538152,5992.538152,1,1,0,0,0,True,1,0,0,5992.538152,5992.538152,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__philly__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__aegis_estimator_free/20260611-110511/OR-MAGM,e85407b4-41f1-4efd-b676-e7656b520d6d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,2026-06-11 09:05:40.635701+00:00,2026-06-11 10:00:21.411413+00:00,2026-06-11 10:00:21.441885+00:00,2026-06-11 10:00:21.441885+00:00,2026-06-11 11:17:56.593472+00:00,3280.775712,3280.775712,7935.957771,4655.151587,4655.151587,1,1,0,0,0,True,1,0,0,4655.151587,4655.151587,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
