experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,7356959e-d491-47c7-affe-e5c1997e8fad,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2026-06-10 21:09:34.607314+00:00,2026-06-10 21:09:35.419516+00:00,2026-06-10 21:09:35.440435+00:00,2026-06-10 21:09:35.440435+00:00,2026-06-10 21:59:09.591682+00:00,0.812202,0.812202,2974.984368,2974.151247,2974.151247,1,1,0,0,0,True,1,0,0,2974.151247,2974.151247,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,1265bf4c-13fa-473a-a7b3-c84c2375b3ef,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,2026-06-10 21:09:35.608035+00:00,2026-06-10 21:09:37.469628+00:00,2026-06-10 21:09:37.492520+00:00,2026-06-10 21:09:37.492520+00:00,2026-06-10 21:25:04.165097+00:00,1.861593,1.861593,928.557062,926.672577,926.672577,1,1,0,0,0,True,1,0,0,926.672577,926.672577,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,ba3de24b-756b-42f9-8e7b-24df1e381aff,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,2026-06-10 21:09:40.608890+00:00,2026-06-10 21:09:41.972040+00:00,2026-06-10 21:09:41.996323+00:00,2026-06-10 21:09:41.996323+00:00,2026-06-10 22:00:56.003214+00:00,1.36315,1.36315,3075.394324,3074.006891,3074.006891,1,1,0,0,0,True,1,0,0,3074.006891,3074.006891,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,8645291f-ba80-430f-8769-14494a01997e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2026-06-10 21:09:42.610005+00:00,2026-06-10 21:25:05.317166+00:00,2026-06-10 21:25:05.341181+00:00,2026-06-10 21:25:05.341181+00:00,2026-06-10 21:43:13.213007+00:00,922.707161,922.707161,2010.603002,1087.871826,1087.871826,1,1,0,0,0,True,1,0,0,1087.871826,1087.871826,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,8d52f233-1c5c-4705-9cb9-01ed29c50bdb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,2026-06-10 21:09:42.610558+00:00,2026-06-10 21:43:13.538139+00:00,2026-06-10 21:43:13.563461+00:00,2026-06-10 21:43:13.563461+00:00,2026-06-10 22:28:46.887474+00:00,2010.927581,2010.927581,4744.276916,2733.324013,2733.324013,1,1,0,0,0,True,1,0,0,2733.324013,2733.324013,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,49413164-ebe2-4f99-bf6f-46ce337f5632,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,2026-06-10 21:09:45.611507+00:00,2026-06-10 21:59:09.317657+00:00,2026-06-10 21:59:09.344610+00:00,2026-06-10 21:59:09.344610+00:00,2026-06-10 22:31:07.020431+00:00,2963.70615,2963.70615,4881.408924,1917.675821,1917.675821,1,1,0,0,0,True,1,0,0,1917.675821,1917.675821,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,39ada91f-d4e8-4459-858f-0874ed610417,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,2026-06-10 21:09:47.612313+00:00,2026-06-10 22:00:56.107350+00:00,2026-06-10 22:00:56.129079+00:00,2026-06-10 22:00:56.129079+00:00,2026-06-10 22:32:59.880155+00:00,3068.495037,3068.495037,4992.267842,1923.751076,1923.751076,1,1,0,0,0,True,1,0,0,1923.751076,1923.751076,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,3282f2d7-04d5-4b4a-8dd0-b808b8a87aaf,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,2026-06-10 21:09:48.613535+00:00,2026-06-10 22:28:47.286081+00:00,2026-06-10 22:28:47.313584+00:00,2026-06-10 22:28:47.313584+00:00,2026-06-10 23:17:27.284121+00:00,4738.672546,4738.672546,7658.670586,2919.970537,2919.970537,1,1,0,0,0,True,1,0,0,2919.970537,2919.970537,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,627727ad-512e-4d44-93b7-386fb832a2d6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,2026-06-10 21:09:52.614588+00:00,2026-06-10 22:31:06.999302+00:00,2026-06-10 22:31:07.027077+00:00,2026-06-10 22:31:07.027077+00:00,2026-06-10 23:07:08.374532+00:00,4874.384714,4874.384714,7035.759944,2161.347455,2161.347455,1,1,0,0,0,True,1,0,0,2161.347455,2161.347455,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__philly__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/philly_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__philly__rep01__exclusive/20260610-230924/exclusive,e3d8ca6f-9f72-48f5-a5ba-9d0b90c5a42d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,2026-06-10 21:09:53.615379+00:00,2026-06-10 22:33:00.318212+00:00,2026-06-10 22:33:00.344939+00:00,2026-06-10 22:33:00.344939+00:00,2026-06-10 22:55:56.849247+00:00,4986.702833,4986.702833,6363.233868,1376.504308,1376.504308,1,1,0,0,0,True,1,0,0,1376.504308,1376.504308,0,0,0.0,0,0.0,exclusive
