experiment_name,run_label,task_file,jct_s,solo_runtime_s,normalized_jct
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,5799.702563,2945.98,1.9686836173361666
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,1108.099418,923.45,1.199956053928204
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,7063.302276,2983.56,2.3674074850178983
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2564.100099,1150.33,2.2290126302887
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,3375.490811,2673.42,1.2626114905252448
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,2664.259679,1870.75,1.4241666064412668
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,6072.87158,1880.22,3.2298728765782725
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,6759.791259,2857.58,2.365565009203592
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,9589.80097,2191.55,4.375807519791928
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,6971.590802,1374.02,5.073864137348801
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,8750.139197,1699.31,5.149230685984311
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,6396.780085,1646.54,3.8849831070001337
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,8423.546255,3038.08,2.7726545235806825
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,4948.878199,903.35,5.478361874135163
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,4420.451227,1471.7,3.003636085479377
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_50e_1gpu.yaml,7857.188313,1005.9,7.811102806441992
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,8315.685995,1699.31,4.893566209226098
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,13506.993128,2999.0,4.503832320106702
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,12130.055504,2042.09,5.9400200304589905
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,13326.451178,2091.71,6.371079728069378
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,8854.679304,1150.33,7.697512282562395
runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_50e_1gpu.yaml,8485.621347,969.78,8.750047791251625
