experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG,77ec5264-3297-4900-9ff6-964bba2f3e30,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,2026-07-05 16:20:01.789764+00:00,2026-07-05 16:20:02.593177+00:00,2026-07-05 16:20:02.613464+00:00,2026-07-05 16:20:02.613464+00:00,2026-07-05 16:23:09.989065+00:00,0.803413,0.803413,188.199301,187.375601,187.375601,1,1,0,0,0,True,1,0,0,187.375601,187.375601,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG,a03b14b1-e410-4bdf-9db5-0672c6a60a9b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,2026-07-05 16:20:03.790733+00:00,2026-07-05 16:20:04.657430+00:00,2026-07-05 16:20:04.678198+00:00,2026-07-05 16:20:04.678198+00:00,2026-07-05 16:33:08.289895+00:00,0.866697,0.866697,784.499162,783.611697,783.611697,1,1,0,0,0,True,1,0,0,783.611697,783.611697,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG,a0214f63-5d2f-421e-95a7-1c8e33054749,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,2026-07-05 16:20:12.791217+00:00,2026-07-05 16:20:13.074752+00:00,2026-07-05 16:20:13.094434+00:00,2026-07-05 16:20:13.094434+00:00,2026-07-05 17:29:38.919751+00:00,0.283535,0.283535,4166.128534,4165.825317,4165.825317,1,1,0,0,0,True,1,0,0,4165.825317,4165.825317,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG,facaa729-bf31-42fd-8d21-9e94b566cb69,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,2026-07-05 16:24:01.792749+00:00,2026-07-05 16:24:02.948774+00:00,2026-07-05 16:24:02.976123+00:00,2026-07-05 16:24:02.976123+00:00,2026-07-05 17:05:34.002956+00:00,1.156025,1.156025,2492.210207,2491.026833,2491.026833,1,1,0,0,0,True,1,0,0,2491.026833,2491.026833,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG,f42db424-cfe8-4491-ab4c-3c9422d4db9e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,2026-07-05 16:25:52.793685+00:00,2026-07-05 16:25:54.731597+00:00,2026-07-05 16:25:54.753168+00:00,2026-07-05 16:25:54.753168+00:00,2026-07-05 16:55:25.432435+00:00,1.937912,1.937912,1772.63875,1770.679267,1770.679267,1,1,0,0,0,True,1,0,0,1770.679267,1770.679267,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG,5239f7ae-2ed8-489b-859c-7f5159e539e6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,2026-07-05 16:25:52.794229+00:00,2026-07-05 16:25:57.201655+00:00,2026-07-05 16:25:57.222538+00:00,2026-07-05 16:25:57.222538+00:00,2026-07-05 17:20:44.642606+00:00,4.407426,4.407426,3291.848377,3287.420068,3287.420068,1,1,0,0,0,True,1,0,0,3287.420068,3287.420068,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG,d3b530d4-4256-424a-88ed-5835541e3ca3,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,2026-07-05 16:25:52.794717+00:00,2026-07-05 16:26:00.173156+00:00,2026-07-05 16:26:00.193908+00:00,2026-07-05 16:26:00.193908+00:00,2026-07-05 17:17:34.910088+00:00,7.378439,7.378439,3102.115371,3094.71618,3094.71618,1,1,0,0,0,True,1,0,0,3094.71618,3094.71618,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG,14903b9c-8c35-4c23-bcb9-80b9ab617e29,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,2026-07-05 16:25:52.795185+00:00,2026-07-05 16:26:33.311550+00:00,2026-07-05 16:26:33.333788+00:00,2026-07-05 16:26:33.333788+00:00,2026-07-05 17:24:26.730630+00:00,40.516365,40.516365,3513.935445,3473.396842,3473.396842,1,1,0,0,0,True,1,0,0,3473.396842,3473.396842,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG,bb38ff2d-8c50-4a89-abd8-1f1eb4febc31,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,2026-07-05 16:25:52.795662+00:00,2026-07-05 16:26:39.166149+00:00,2026-07-05 16:26:39.188816+00:00,2026-07-05 16:26:39.188816+00:00,2026-07-05 17:32:46.551568+00:00,46.370487,46.370487,4013.755906,3967.362752,3967.362752,1,1,0,0,0,True,1,0,0,3967.362752,3967.362752,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds/20260705-181951/OR-LUG,d8d72e67-e635-4180-89d5-bb61df104d61,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,2026-07-05 16:25:52.796103+00:00,2026-07-05 16:26:42.644210+00:00,2026-07-05 16:26:42.667438+00:00,2026-07-05 16:26:42.667438+00:00,2026-07-05 17:38:04.229819+00:00,49.848107,49.848107,4331.433716,4281.562381,4281.562381,1,1,0,0,0,True,1,0,0,4281.562381,4281.562381,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
