experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,92283a99-0b06-4fcf-93c3-224c98a98f97,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,2026-07-01 18:14:42.973237+00:00,2026-07-01 18:14:43.585327+00:00,2026-07-01 18:14:43.605078+00:00,2026-07-01 18:14:43.605078+00:00,2026-07-01 18:17:43.653102+00:00,0.61209,0.61209,180.679865,180.048024,180.048024,1,1,0,0,0,True,1,0,0,180.048024,180.048024,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,6e0dd09a-3802-49fc-99a4-2139b73e729e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,2026-07-01 18:14:44.974315+00:00,2026-07-01 18:14:45.491184+00:00,2026-07-01 18:14:45.512974+00:00,2026-07-01 18:14:45.512974+00:00,2026-07-01 18:31:43.294341+00:00,0.516869,0.516869,1018.320026,1017.781367,1017.781367,1,1,0,0,0,True,1,0,0,1017.781367,1017.781367,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,60fa073d-7ae0-44d2-82e4-b32d3c018862,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,2026-07-01 18:14:53.975324+00:00,2026-07-01 18:14:55.035177+00:00,2026-07-01 18:14:55.054382+00:00,2026-07-01 18:14:55.054382+00:00,2026-07-01 19:14:08.951836+00:00,1.059853,1.059853,3554.976512,3553.897454,3553.897454,1,1,0,0,0,True,1,0,0,3553.897454,3553.897454,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,d9c6fb44-ab58-4b23-b542-e60c6324b30f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,2026-07-01 18:18:42.977096+00:00,2026-07-01 18:18:43.565966+00:00,2026-07-01 18:18:43.588654+00:00,2026-07-01 18:18:43.588654+00:00,2026-07-01 18:57:58.210185+00:00,0.58887,0.58887,2355.233089,2354.621531,2354.621531,1,1,0,0,0,True,1,0,0,2354.621531,2354.621531,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,2b0e3582-c46d-4c56-ae5d-8ba7fd400d03,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,2026-07-01 18:20:33.977459+00:00,2026-07-01 18:20:35.008038+00:00,2026-07-01 18:20:35.027933+00:00,2026-07-01 18:20:35.027933+00:00,2026-07-01 18:49:20.758613+00:00,1.030579,1.030579,1726.781154,1725.73068,1725.73068,1,1,0,0,0,True,1,0,0,1725.73068,1725.73068,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,d280b0e9-4ba0-47b1-aa1a-462f9aeede40,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,2026-07-01 18:20:33.977977+00:00,2026-07-01 18:20:37.475247+00:00,2026-07-01 18:20:37.493371+00:00,2026-07-01 18:20:37.493371+00:00,2026-07-01 19:27:33.056570+00:00,3.49727,3.49727,4019.078593,4015.563199,4015.563199,1,1,0,0,0,True,1,0,0,4015.563199,4015.563199,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,0cca6741-6bdf-4f00-9621-a4a6ba07f899,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,2026-07-01 18:20:33.978454+00:00,2026-07-01 18:21:13.621291+00:00,2026-07-01 18:21:13.645384+00:00,2026-07-01 18:21:13.645384+00:00,2026-07-01 19:09:33.334017+00:00,39.642837,39.642837,2939.355563,2899.688633,2899.688633,1,1,0,0,0,True,1,0,0,2899.688633,2899.688633,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,29afaadf-b470-4ec1-863e-54d93151ccc7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,2026-07-01 18:20:33.978911+00:00,2026-07-01 18:21:18.984852+00:00,2026-07-01 18:21:19.006231+00:00,2026-07-01 18:21:19.006231+00:00,2026-07-01 19:24:48.572891+00:00,45.005941,45.005941,3854.59398,3809.56666,3809.56666,1,1,0,0,0,True,1,0,0,3809.56666,3809.56666,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,6735e115-6ea9-423c-bfb9-5edf5b7e5515,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,2026-07-01 18:20:33.979374+00:00,2026-07-01 18:21:56.828189+00:00,2026-07-01 18:21:56.847639+00:00,2026-07-01 18:21:56.847639+00:00,2026-07-01 19:35:12.014024+00:00,82.848815,82.848815,4478.03465,4395.166385,4395.166385,1,1,0,0,0,True,1,0,0,4395.166385,4395.166385,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__saturn__rep01__or_lug/20260701-201432/OR-LUG,2d19f9c3-efd7-43fa-8f24-c868687c34dc,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,2026-07-01 18:20:33.979802+00:00,2026-07-01 18:22:02.806486+00:00,2026-07-01 18:22:02.828746+00:00,2026-07-01 18:22:02.828746+00:00,2026-07-01 19:40:12.833424+00:00,88.826684,88.826684,4778.853622,4690.004678,4690.004678,1,1,0,0,0,True,1,0,0,4690.004678,4690.004678,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
