experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM,6748a845-cb29-428c-b3e0-132b942dc405,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,2026-07-05 07:12:55.794779+00:00,2026-07-05 07:12:56.565042+00:00,2026-07-05 07:12:56.590906+00:00,2026-07-05 07:12:56.590906+00:00,2026-07-05 07:16:06.168722+00:00,0.770263,0.770263,190.373943,189.577816,189.577816,1,1,0,0,0,True,1,0,0,189.577816,189.577816,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM,fca3a71e-c4d6-4d2e-a3e2-80efea6cd2ac,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,2026-07-05 07:12:57.795721+00:00,2026-07-05 07:12:58.648469+00:00,2026-07-05 07:12:58.671788+00:00,2026-07-05 07:12:58.671788+00:00,2026-07-05 07:26:56.058176+00:00,0.852748,0.852748,838.262455,837.386388,837.386388,1,1,0,0,0,True,1,0,0,837.386388,837.386388,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM,87c3d8ec-8a66-4706-b0c4-85164d230fa9,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,2026-07-05 07:13:06.796700+00:00,2026-07-05 07:13:07.266260+00:00,2026-07-05 07:13:07.289756+00:00,2026-07-05 07:13:07.289756+00:00,2026-07-05 08:22:59.396761+00:00,0.46956,0.46956,4192.600061,4192.107005,4192.107005,1,1,0,0,0,True,1,0,0,4192.107005,4192.107005,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM,5f8c4005-bc22-4a3f-b53d-afc3010ce0b4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,2026-07-05 07:16:55.797633+00:00,2026-07-05 07:16:57.085140+00:00,2026-07-05 07:16:57.116349+00:00,2026-07-05 07:16:57.116349+00:00,2026-07-05 07:57:32.995899+00:00,1.287507,1.287507,2437.198266,2435.87955,2435.87955,1,1,0,0,0,True,1,0,0,2435.87955,2435.87955,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM,a4c38742-b41f-4436-91da-5324ac96f0fd,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,2026-07-05 07:18:46.798718+00:00,2026-07-05 07:18:48.624988+00:00,2026-07-05 07:18:48.645359+00:00,2026-07-05 07:18:48.645359+00:00,2026-07-05 07:48:04.983156+00:00,1.82627,1.82627,1758.184438,1756.337797,1756.337797,1,1,0,0,0,True,1,0,0,1756.337797,1756.337797,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM,5046669c-560e-4ebd-b30d-be152855f523,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,2026-07-05 07:18:46.799269+00:00,2026-07-05 07:18:51.105053+00:00,2026-07-05 07:18:51.126952+00:00,2026-07-05 07:18:51.126952+00:00,2026-07-05 08:13:56.872722+00:00,4.305784,4.305784,3310.073453,3305.74577,3305.74577,1,1,0,0,0,True,1,0,0,3305.74577,3305.74577,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM,6bc14391-69b2-47ae-bd90-85bf48fe6705,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,2026-07-05 07:18:46.799726+00:00,2026-07-05 07:18:54.133397+00:00,2026-07-05 07:18:54.154077+00:00,2026-07-05 07:18:54.154077+00:00,2026-07-05 08:09:25.379241+00:00,7.333671,7.333671,3038.579515,3031.225164,3031.225164,1,1,0,0,0,True,1,0,0,3031.225164,3031.225164,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM,f1f85311-98d7-4687-9cc3-296d24bd11e2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,2026-07-05 07:18:46.800172+00:00,2026-07-05 07:19:27.816807+00:00,2026-07-05 07:19:27.841241+00:00,2026-07-05 07:19:27.841241+00:00,2026-07-05 08:17:28.418444+00:00,41.016635,41.016635,3521.618272,3480.577203,3480.577203,1,1,0,0,0,True,1,0,0,3480.577203,3480.577203,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM,2d8f9543-0b39-463b-a9a4-63aa2d3db6ec,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,2026-07-05 07:18:46.800624+00:00,2026-07-05 07:19:33.601814+00:00,2026-07-05 07:19:33.628812+00:00,2026-07-05 07:19:33.628812+00:00,2026-07-05 08:25:45.588820+00:00,46.80119,46.80119,4018.788196,3971.960008,3971.960008,1,1,0,0,0,True,1,0,0,3971.960008,3971.960008,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM,d45ff9ec-d802-4748-9017-b3f8b1e962b4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,2026-07-05 07:18:46.801102+00:00,2026-07-05 07:19:37.142933+00:00,2026-07-05 07:19:37.166559+00:00,2026-07-05 07:19:37.166559+00:00,2026-07-05 08:30:59.289632+00:00,50.341831,50.341831,4332.48853,4282.123073,4282.123073,1,1,0,0,0,True,1,0,0,4282.123073,4282.123073,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
