experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,76e22970-f27f-429f-b4c9-8b07f1a4b83e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,2026-06-15 19:07:16.377693+00:00,2026-06-15 19:07:17.230012+00:00,2026-06-15 19:07:17.253707+00:00,2026-06-15 19:07:17.253707+00:00,2026-06-15 19:10:26.757384+00:00,0.852319,0.852319,190.379691,189.503677,189.503677,1,1,0,0,0,True,1,0,0,189.503677,189.503677,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,ee856379-f1e6-4334-911c-4b4ec736dc98,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,2026-06-15 19:07:18.378660+00:00,2026-06-15 19:07:19.249481+00:00,2026-06-15 19:07:19.273218+00:00,2026-06-15 19:07:19.273218+00:00,2026-06-15 19:16:07.644309+00:00,0.870821,0.870821,529.265649,528.371091,528.371091,1,1,0,0,0,True,1,0,0,528.371091,528.371091,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,bb5a9edf-ed9e-4064-9182-71d51d37f9b7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,2026-06-15 19:07:27.379640+00:00,2026-06-15 19:07:28.940925+00:00,2026-06-15 19:07:28.963137+00:00,2026-06-15 19:07:28.963137+00:00,2026-06-15 19:56:05.320537+00:00,1.561285,1.561285,2917.940897,2916.3574,2916.3574,1,1,0,0,0,True,1,0,0,2916.3574,2916.3574,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,e7b08d06-9427-4862-ab63-8e642a90b984,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,2026-06-15 19:11:16.380739+00:00,2026-06-15 19:11:17.152067+00:00,2026-06-15 19:11:17.171853+00:00,2026-06-15 19:11:17.171853+00:00,2026-06-15 19:24:53.182654+00:00,0.771328,0.771328,816.801915,816.010801,816.010801,1,1,0,0,0,True,1,0,0,816.010801,816.010801,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,7fae1dc6-9a82-4b5c-891a-060c8d952087,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,2026-06-15 19:13:07.381838+00:00,2026-06-15 19:16:07.943015+00:00,2026-06-15 19:16:07.969115+00:00,2026-06-15 19:16:07.969115+00:00,2026-06-15 19:41:12.203695+00:00,180.561177,180.561177,1684.821857,1504.23458,1504.23458,1,1,0,0,0,True,1,0,0,1504.23458,1504.23458,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,d2d5e9b8-e2ed-4a79-b19c-b25525373c02,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,2026-06-15 19:13:07.382628+00:00,2026-06-15 19:24:53.200355+00:00,2026-06-15 19:24:53.225409+00:00,2026-06-15 19:24:53.225409+00:00,2026-06-15 19:52:07.666993+00:00,705.817727,705.817727,2340.284365,1634.441584,1634.441584,1,1,0,0,0,True,1,0,0,1634.441584,1634.441584,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,663d1069-953d-4ebd-8a66-c347bbbec28c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,2026-06-15 19:13:07.386263+00:00,2026-06-15 19:41:12.629926+00:00,2026-06-15 19:41:12.654115+00:00,2026-06-15 19:41:12.654115+00:00,2026-06-15 20:07:19.924611+00:00,1685.243663,1685.243663,3252.538348,1567.270496,1567.270496,1,1,0,0,0,True,1,0,0,1567.270496,1567.270496,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,294bc94b-4301-4aad-9ad6-42f20594fc34,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,2026-06-15 19:13:07.386847+00:00,2026-06-15 19:52:08.062100+00:00,2026-06-15 19:52:08.084675+00:00,2026-06-15 19:52:08.084675+00:00,2026-06-15 20:19:57.748629+00:00,2340.675253,2340.675253,4010.361782,1669.663954,1669.663954,1,1,0,0,0,True,1,0,0,1669.663954,1669.663954,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,182971a5-6dc3-455c-9138-3bb911d1d501,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,2026-06-15 19:13:07.387307+00:00,2026-06-15 19:56:05.103098+00:00,2026-06-15 19:56:05.129961+00:00,2026-06-15 19:56:05.129961+00:00,2026-06-15 20:24:12.542091+00:00,2577.715791,2577.715791,4265.154784,1687.41213,1687.41213,1,1,0,0,0,True,1,0,0,1687.41213,1687.41213,0,0,0.0,0,0.0,exclusive
final_representative_evaluation__saturn__rep01__exclusive,exclusive,exclusive,,evaluation/experiments/traces/representative/saturn_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__saturn__rep01__exclusive/20260615-210706/exclusive,7b0e75f1-ee5e-4830-8150-b508470e4463,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,2026-06-15 19:13:07.387867+00:00,2026-06-15 20:07:20.469473+00:00,2026-06-15 20:07:20.491774+00:00,2026-06-15 20:07:20.491774+00:00,2026-06-15 20:36:02.373851+00:00,3253.081606,3253.081606,4974.985984,1721.882077,1721.882077,1,1,0,0,0,True,1,0,0,1721.882077,1721.882077,0,0,0.0,0,0.0,exclusive
