experiment_name,run_label,task_file,jct_s,solo_runtime_s,normalized_jct
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,188.199301,192.12,0.9795924474286903
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,784.499162,540.85,1.4504930424332068
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,4166.128534,2857.58,1.4579219248454989
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,2492.210207,903.35,2.758853386837881
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,1772.63875,1471.7,1.2044837602772305
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,3291.848377,1540.34,2.1370920556500512
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,3102.115371,1552.79,1.9977687716948203
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,3513.935445,1646.54,2.134133057806066
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,4013.755906,1670.26,2.4030725192485
runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,4331.433716,1699.31,2.548936754329698
