trace_name,configuration_label,run_label,task_id,task_file,workload,failed_attempt_count,recovered_attempt_count,recovery_stopped_count,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,successful_attempt_runtime_s,recovery_overhead_s,jct_s
saturn,aegis_lug_no_thresholds,aegis_lug_no_thresholds,44ce8b39-163c-464b-9cad-e7a79372d608,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,llama3_width_8layer_wiki_bs1_1gpu.yaml,1,1,0,64.04028,4090.576501,4090.576501,4090.59993,4090.59993,2650.240356,4154.64021,6982.00524
saturn,aegis_lug_no_thresholds,aegis_lug_no_thresholds,efa792c7-b04e-46bd-bbad-a479f283eb0b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,vgg16_imagenet_bs128_1gpu.yaml,1,1,0,14.057908,1844.382313,1844.382313,1844.412378,1844.412378,3227.340279,1858.470286,9365.419629
saturn,aegis_lug_no_thresholds,aegis_lug_no_thresholds,43759739-f4ae-4338-a94c-7fbd6e076400,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,bert_base_wiki_bs32_1gpu.yaml,1,1,0,14.766464,5761.081991,5761.081991,5761.113114,5761.113114,958.092476,5775.879578,12148.192413
saturn,aegis_lug_no_thresholds,aegis_lug_no_thresholds,6da0ea33-b507-4e26-8ba8-2db7025ae329,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,maskrcnn_coco_bs8_1gpu.yaml,1,1,0,48.328643,3860.082107,3860.082107,3860.113669,3860.113669,6710.34932,3908.4423119999997,21645.056756
saturn,aegis_lug_no_thresholds,aegis_lug_no_thresholds,77fc4935-1c23-4da3-80a3-975d72650f24,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,gpt2_xl_wiki_bs2_1gpu.yaml,1,1,0,41.19855,4392.397559,4392.397559,4392.427262,4392.427262,14788.440163,4433.625812,33775.491044
saturn,aegis_lug_no_thresholds,aegis_lug_no_thresholds,5852ee12-c5de-4e5e-9448-45224d27d659,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,gpt2_large_wiki_bs8_2gpu.yaml,1,1,0,25.995676,5584.34602,5584.34602,5584.379078,5584.379078,5118.208884,5610.3747539999995,29718.383276
saturn,aegis_lug_thresholded,aegis_lug_thresholded,c97cf9e8-9db3-4b99-a109-a711979f3f6e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,bert_base_wiki_bs32_1gpu.yaml,1,1,0,15.511741,2048.397998,2048.397998,2048.425596,2048.425596,1032.669241,2063.937337,8454.02641
saturn,aegis_lug_thresholded,aegis_lug_thresholded,242b09bd-61bc-41b0-b79a-374ffc39171f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_large_cased_wiki_bs4_2gpu.yaml,xlnet_large_cased_wiki_bs4_2gpu.yaml,1,1,0,313.117612,3053.350858,3053.350858,3053.3804,3053.3804,5867.204656,3366.498012,16580.089736
saturn,aegis_lug_thresholded,aegis_lug_thresholded,6ddde0f4-6508-4bca-ab1f-5af50b4a3a55,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,maskrcnn_coco_bs8_1gpu.yaml,1,1,0,61.025477,4049.94183,4049.94183,4049.968758,4049.968758,6957.259441,4110.994235,18506.96513
saturn,aegis_lug_thresholded,aegis_lug_thresholded,7281fce6-1a0c-4c90-b22c-b8c7a39cbba0,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,gpt2_xl_wiki_bs2_1gpu.yaml,1,1,0,41.932428,6818.117965,6818.117965,6818.146373,6818.146373,14768.024093,6860.078801,32843.576727
saturn,aegis_lug_thresholded,aegis_lug_thresholded,8dfaa6f7-b003-4a62-b965-26cf7e589e82,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,gpt2_large_wiki_bs8_2gpu.yaml,1,1,0,28.698885,5153.106922,5153.106922,5153.135691,5153.135691,5225.415777,5181.834576,28490.079231
saturn,aegis_magm_no_thresholds,aegis_magm_no_thresholds,5ddd227f-7032-46d7-b32b-b99e71e1abdf,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,llama3_width_8layer_wiki_bs1_1gpu.yaml,1,1,0,66.811341,4087.420114,4087.420114,4087.450989,4087.450989,2477.749123,4154.26233,6812.323656
saturn,aegis_magm_no_thresholds,aegis_magm_no_thresholds,533290fb-6a5d-40cf-aa8c-f53019742a99,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_large_wiki_bs8_1gpu.yaml,bert_large_wiki_bs8_1gpu.yaml,1,1,0,17.596693,2279.533967,2279.533967,2279.559759,2279.559759,2906.854449,2297.156452,9362.353939
saturn,aegis_magm_no_thresholds,aegis_magm_no_thresholds,b310be67-779e-403d-9b3d-373e8e43cf5a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,bert_base_wiki_bs32_1gpu.yaml,1,1,0,15.726332,3161.440604,3161.440604,3161.469734,3161.469734,1046.221637,3177.196066,10091.06164
saturn,aegis_magm_no_thresholds,aegis_magm_no_thresholds,12978636-f3de-4251-a053-9f16dad379ec,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,maskrcnn_coco_bs8_1gpu.yaml,1,1,0,30.273043,3439.515303,3439.515303,3439.545498,3439.545498,11528.162847,3469.818541,23879.872622
saturn,aegis_magm_no_thresholds,aegis_magm_no_thresholds,ed30e0cd-2f5a-4c0f-b789-3f6a0ee647fa,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,gpt2_xl_wiki_bs2_1gpu.yaml,1,1,0,45.261469,3576.184954,3576.184954,3576.210296,3576.210296,14831.169578,3621.4717650000002,30460.989208
saturn,aegis_magm_no_thresholds,aegis_magm_no_thresholds,1644f57a-a1b4-4418-9d78-08f9366bf603,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,gpt2_large_wiki_bs8_2gpu.yaml,1,1,0,28.984025,7298.936239,7298.936239,7298.962157,7298.962157,5224.677175,7327.946182,28587.027472
saturn,aegis_magm_thresholded,aegis_magm_thresholded,dbc7c721-70a2-409c-835a-85df6b689b16,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,llama3_width_8layer_wiki_bs1_1gpu.yaml,1,1,0,56.460847,1356.969326,1356.969326,1356.994774,1356.994774,2395.833694,1413.455621,6757.293543
saturn,aegis_magm_thresholded,aegis_magm_thresholded,6a1bf6e0-9a48-48a0-b6d8-12462b86954a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,gpt2_xl_wiki_bs2_1gpu.yaml,1,1,0,41.215316,4293.593463,4293.593463,4293.619771,4293.619771,17295.742639,4334.8350869999995,31018.540856
saturn,aegis_magm_thresholded,aegis_magm_thresholded,b0e5b8cb-a010-4623-a524-cc46106dae14,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,gpt2_large_wiki_bs8_2gpu.yaml,1,1,0,28.370497,3456.843537,3456.843537,3456.877119,3456.877119,5223.295715,3485.247616,25304.172259
