experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,b232b8d2-dcc8-4cd0-8abb-59af18457739,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2026-07-06 11:51:15.162797+00:00,2026-07-06 11:51:15.871924+00:00,2026-07-06 11:51:15.895946+00:00,2026-07-06 11:51:15.895946+00:00,2026-07-06 12:40:31.156329+00:00,0.709127,0.709127,2955.993532,2955.260383,2955.260383,1,1,0,0,0,True,1,0,0,2955.260383,2955.260383,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,004460cb-2665-43f4-8e57-ee43ff28bd4b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,2026-07-06 12:01:10.163909+00:00,2026-07-06 12:01:10.621238+00:00,2026-07-06 12:01:10.646165+00:00,2026-07-06 12:01:10.646165+00:00,2026-07-06 12:34:40.123886+00:00,0.457329,0.457329,2009.959977,2009.477721,2009.477721,1,1,0,0,0,True,1,0,0,2009.477721,2009.477721,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,87ca1bd2-c8d9-44da-b4ba-2ee1803c0652,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,2026-07-06 12:02:17.165401+00:00,2026-07-06 12:02:18.810527+00:00,2026-07-06 12:02:18.836126+00:00,2026-07-06 12:02:18.836126+00:00,2026-07-06 12:54:22.801799+00:00,1.645126,1.645126,3125.636398,3123.965673,3123.965673,1,1,0,0,0,True,1,0,0,3123.965673,3123.965673,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,b1730c7d-a9ad-497f-8cc5-88685126fea1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2026-07-06 12:02:17.165882+00:00,2026-07-06 12:02:21.234385+00:00,2026-07-06 12:02:21.254261+00:00,2026-07-06 12:02:21.254261+00:00,2026-07-06 12:20:44.757456+00:00,4.068503,4.068503,1107.591574,1103.503195,1103.503195,1,1,0,0,0,True,1,0,0,1103.503195,1103.503195,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,01b94d81-a3b8-414a-a2d6-221004569551,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,2026-07-06 12:28:55.167463+00:00,2026-07-06 12:28:55.667324+00:00,2026-07-06 12:28:55.689374+00:00,2026-07-06 12:28:55.689374+00:00,2026-07-06 13:20:34.530259+00:00,0.499861,0.499861,3099.362796,3098.840885,3098.840885,1,1,0,0,0,True,1,0,0,3098.840885,3098.840885,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,ba56e11a-53fd-4fa1-9f4a-729a6d681c88,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,2026-07-06 12:40:50.168670+00:00,2026-07-06 12:40:51.766978+00:00,2026-07-06 12:40:51.796696+00:00,2026-07-06 12:40:51.796696+00:00,2026-07-06 13:24:16.146925+00:00,1.598308,1.598308,2605.978255,2604.350229,2604.350229,1,1,0,0,0,True,1,0,0,2604.350229,2604.350229,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,a5dcdeda-76fc-431b-be5b-cd558a97857f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,2026-07-06 12:44:05.281689+00:00,2026-07-06 12:44:06.374154+00:00,2026-07-06 12:44:06.396740+00:00,2026-07-06 12:44:06.396740+00:00,2026-07-06 14:00:16.026463+00:00,1.092465,1.092465,4570.744774,4569.629723,4569.629723,1,1,0,0,0,True,1,0,0,4569.629723,4569.629723,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,aa595496-39d4-470c-afc7-6cd30da2344c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,2026-07-06 12:52:00.240530+00:00,2026-07-06 12:52:02.023246+00:00,2026-07-06 12:52:02.048168+00:00,2026-07-06 12:52:02.048168+00:00,2026-07-06 14:12:49.696659+00:00,1.782716,1.782716,4849.456129,4847.648491,4847.648491,1,1,0,0,0,True,1,0,0,4847.648491,4847.648491,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,18b61673-ea17-43c2-85f7-8406a3de98bd,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,2026-07-06 13:12:32.242100+00:00,2026-07-06 13:12:34.445948+00:00,2026-07-06 13:12:34.472922+00:00,2026-07-06 13:12:34.472922+00:00,2026-07-06 14:11:10.724685+00:00,2.203848,2.203848,3518.482585,3516.251763,3516.251763,1,1,0,0,0,True,1,0,0,3516.251763,3516.251763,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,05b23c8f-7aa6-469d-8725-81b48cf9a54e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,2026-07-06 13:13:16.243607+00:00,2026-07-06 13:13:17.407162+00:00,2026-07-06 13:13:17.433781+00:00,2026-07-06 13:13:17.433781+00:00,2026-07-06 13:57:13.197353+00:00,1.163555,1.163555,2636.953746,2635.763572,2635.763572,1,1,0,0,0,True,1,0,0,2635.763572,2635.763572,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,597ea7e9-a0ab-42ce-91d6-6af9fe4655e5,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,2026-07-06 13:31:44.244967+00:00,2026-07-06 13:31:46.665946+00:00,2026-07-06 13:31:46.691668+00:00,2026-07-06 13:31:46.691668+00:00,2026-07-06 15:51:12.708439+00:00,2.420979,2.420979,8368.463472,8366.016771,8366.016771,1,1,0,0,0,True,1,0,0,8366.016771,8366.016771,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,8a9d7389-00d1-4451-9eb3-ef6d3f5945e4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,2026-07-06 13:39:41.309842+00:00,2026-07-06 13:39:42.696907+00:00,2026-07-06 13:39:42.722218+00:00,2026-07-06 13:39:42.722218+00:00,2026-07-06 14:27:29.330709+00:00,1.387065,1.387065,2868.020867,2866.608491,2866.608491,1,1,0,0,0,True,1,0,0,2866.608491,2866.608491,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,f584c7ac-4723-4f9a-bc96-3eb9dc86f700,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2026-07-06 13:39:53.310170+00:00,2026-07-06 13:40:25.705435+00:00,2026-07-06 13:40:25.732912+00:00,2026-07-06 14:27:31.220455+00:00,2026-07-06 15:45:15.721266+00:00,32.395265,2826.589195,7522.411096,7489.988354,4664.500811,2,2,1,1,0,True,2,1,1,4695.756563,4695.756563,31.255752,2794.19393,2794.19393,2794.231791,2794.231791,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,80036530-2f35-496b-8fa0-9027c90a2a0e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,2026-07-06 14:01:19.455782+00:00,2026-07-06 14:27:34.420116+00:00,2026-07-06 14:27:34.445197+00:00,2026-07-06 14:27:34.445197+00:00,2026-07-06 15:17:34.169687+00:00,1574.964334,1574.964334,4574.713905,2999.72449,2999.72449,1,1,0,0,0,True,1,0,0,2999.72449,2999.72449,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,25550110-f436-4ba9-9fd8-c4fbbf191c87,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,2026-07-06 14:16:11.320031+00:00,2026-07-06 14:28:26.945176+00:00,2026-07-06 14:28:26.968140+00:00,2026-07-06 15:45:15.700984+00:00,2026-07-06 19:56:52.502409+00:00,735.625145,5302.411221,20441.182378,19705.534269,15096.801425,2,2,1,1,0,True,2,1,1,15138.719859,15138.719859,41.918434,4566.786076,4566.786076,4566.81441,4566.81441,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,ef7f2ac4-8c87-45bf-8124-60c731cf0c6b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,2026-07-06 14:18:49.469602+00:00,2026-07-06 14:28:30.015320+00:00,2026-07-06 14:28:30.039305+00:00,2026-07-06 14:28:30.039305+00:00,2026-07-06 16:02:08.352376+00:00,580.545718,580.545718,6198.882774,5618.313071,5618.313071,1,1,0,0,0,True,1,0,0,5618.313071,5618.313071,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,46db84b9-0738-4e6e-a5d0-b41b68cc37ff,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,2026-07-06 14:19:07.353434+00:00,2026-07-06 15:45:18.755339+00:00,2026-07-06 15:45:18.778300+00:00,2026-07-06 15:45:18.778300+00:00,2026-07-06 16:13:44.207170+00:00,5171.401905,5171.401905,6876.853736,1705.42887,1705.42887,1,1,0,0,0,True,1,0,0,1705.42887,1705.42887,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,e4b94b77-982f-4893-94d0-0e7bc82ff642,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,2026-07-06 14:25:25.354976+00:00,2026-07-06 15:45:22.201799+00:00,2026-07-06 15:45:22.230508+00:00,2026-07-06 15:45:22.230508+00:00,2026-07-06 17:04:53.553467+00:00,4796.846823,4796.846823,9568.198491,4771.322959,4771.322959,1,1,0,0,0,True,1,0,0,4771.322959,4771.322959,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,a11553ce-6796-432b-b34b-715c0badc41f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_large_wiki_bs8_1gpu.yaml,2026-07-06 15:00:48.357047+00:00,2026-07-06 15:46:01.719031+00:00,2026-07-06 15:46:01.745444+00:00,2026-07-06 16:13:43.980434+00:00,2026-07-06 17:00:17.218794+00:00,2713.361984,4359.12041,7168.861747,4455.47335,2793.23836,2,2,1,1,0,True,2,1,1,2809.686114,2809.686114,16.447754,1645.758426,1645.758426,1645.787236,1645.787236,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,70869eac-655c-495c-97b6-5876c9ad792b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs64_1gpu.yaml,2026-07-06 15:02:52.357151+00:00,2026-07-06 15:46:05.113666+00:00,2026-07-06 15:46:05.137979+00:00,2026-07-06 15:46:05.137979+00:00,2026-07-06 16:40:08.241259+00:00,2592.756515,2592.756515,5835.884108,3243.10328,3243.10328,1,1,0,0,0,True,1,0,0,3243.10328,3243.10328,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG,740d1e8e-4270-4602-b77a-380ad144941f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,2026-07-06 15:03:27.358088+00:00,2026-07-06 16:13:47.036930+00:00,2026-07-06 16:13:47.063721+00:00,2026-07-06 16:13:47.063721+00:00,2026-07-06 17:03:54.438280+00:00,4219.678842,4219.678842,7227.080192,3007.374559,3007.374559,1,1,0,0,0,True,1,0,0,3007.374559,3007.374559,0.0,0.0,0.0,0.0,0.0,aegis_lug_no_thresholds
