experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG,7e201b4f-5758-4c2d-b6ac-7208429910b2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2026-06-30 23:22:22.984758+00:00,2026-06-30 23:22:23.467775+00:00,2026-06-30 23:22:23.486910+00:00,2026-06-30 23:22:23.486910+00:00,2026-07-01 00:11:45.846856+00:00,0.483017,0.483017,2962.862098,2962.359946,2962.359946,1,1,0,0,0,True,1,0,0,2962.359946,2962.359946,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG,22188e9a-00f2-4bf7-9ce6-1f3ad55f5ad4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,2026-06-30 23:32:17.986437+00:00,2026-06-30 23:32:18.794820+00:00,2026-06-30 23:32:18.819355+00:00,2026-06-30 23:32:18.819355+00:00,2026-07-01 00:05:45.211761+00:00,0.808383,0.808383,2007.225324,2006.392406,2006.392406,1,1,0,0,0,True,1,0,0,2006.392406,2006.392406,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG,f32fb9f3-77e7-442c-a03a-57868ae48ba5,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,2026-06-30 23:33:24.987302+00:00,2026-06-30 23:33:26.554605+00:00,2026-06-30 23:33:26.574188+00:00,2026-06-30 23:33:26.574188+00:00,2026-07-01 00:24:55.479931+00:00,1.567303,1.567303,3090.492629,3088.905743,3088.905743,1,1,0,0,0,True,1,0,0,3088.905743,3088.905743,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG,8f248d00-9b9a-4c31-9d60-0d0912416580,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2026-06-30 23:33:24.987744+00:00,2026-06-30 23:33:28.948320+00:00,2026-06-30 23:33:28.968181+00:00,2026-06-30 23:33:28.968181+00:00,2026-06-30 23:50:53.789046+00:00,3.960576,3.960576,1048.801302,1044.820865,1044.820865,1,1,0,0,0,True,1,0,0,1044.820865,1044.820865,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG,756f7cb0-6147-4089-a562-df6efee9f0d9,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,2026-07-01 00:00:02.989653+00:00,2026-07-01 00:00:04.949452+00:00,2026-07-01 00:00:04.974315+00:00,2026-07-01 00:00:04.974315+00:00,2026-07-01 00:51:31.140392+00:00,1.959799,1.959799,3088.150739,3086.166077,3086.166077,1,1,0,0,0,True,1,0,0,3086.166077,3086.166077,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG,8a4f84a7-7bf2-4644-a09e-d0dbbcd3c5ca,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,2026-07-01 00:11:57.990846+00:00,2026-07-01 00:11:59.067459+00:00,2026-07-01 00:11:59.092066+00:00,2026-07-01 00:11:59.092066+00:00,2026-07-01 00:51:34.221901+00:00,1.076613,1.076613,2376.231055,2375.129835,2375.129835,1,1,0,0,0,True,1,0,0,2375.129835,2375.129835,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG,26ee79b0-efbd-4650-b1fd-af8f5dc7e8ea,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,2026-07-01 00:15:13.010422+00:00,2026-07-01 00:15:14.120361+00:00,2026-07-01 00:15:14.145134+00:00,2026-07-01 00:15:14.145134+00:00,2026-07-01 01:30:38.184305+00:00,1.109939,1.109939,4525.173883,4524.039171,4524.039171,1,1,0,0,0,True,1,0,0,4524.039171,4524.039171,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG,a7e73df8-5b2a-4943-92db-facc2b2a3a7c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,2026-07-01 00:23:08.011672+00:00,2026-07-01 00:51:34.245630+00:00,2026-07-01 00:51:34.266874+00:00,2026-07-01 00:51:34.266874+00:00,2026-07-01 02:05:25.174568+00:00,1706.233958,1706.233958,6137.162896,4430.907694,4430.907694,1,1,0,0,0,True,1,0,0,4430.907694,4430.907694,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG,4eee82e1-3d7c-41d6-a7fa-5fe940a3a3f7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,2026-07-01 00:43:40.019837+00:00,2026-07-01 00:52:19.804706+00:00,2026-07-01 00:52:19.826918+00:00,2026-07-01 00:52:19.826918+00:00,2026-07-01 01:41:41.652233+00:00,519.784869,519.784869,3481.632396,2961.825315,2961.825315,1,1,0,0,0,True,1,0,0,2961.825315,2961.825315,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,aegis_lug_thresholded,OR-LUG,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG,52c1443b-cb9b-463b-ac66-46c151c010c6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,2026-07-01 00:44:24.020486+00:00,2026-07-01 00:52:40.169701+00:00,2026-07-01 00:52:40.194367+00:00,2026-07-01 00:52:40.194367+00:00,2026-07-01 01:45:09.893684+00:00,496.149215,496.149215,3645.873198,3149.699317,3149.699317,1,1,0,0,0,True,1,0,0,3149.699317,3149.699317,0.0,0.0,0.0,0.0,0.0,aegis_lug_thresholded
