experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,49111fb5-7e2a-4a75-93fd-f135d4a9d266,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2026-07-06 02:22:23.530839+00:00,2026-07-06 02:22:24.403206+00:00,2026-07-06 02:22:24.424329+00:00,2026-07-06 02:22:24.424329+00:00,2026-07-06 03:11:45.100996+00:00,0.872367,0.872367,2961.570157,2960.676667,2960.676667,1,1,0,0,0,True,1,0,0,2960.676667,2960.676667,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,7bf911e1-34a2-477f-9880-9df04e9dfd5c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,2026-07-06 02:32:18.532092+00:00,2026-07-06 02:32:20.112836+00:00,2026-07-06 02:32:20.133014+00:00,2026-07-06 02:32:20.133014+00:00,2026-07-06 03:06:45.856906+00:00,1.580744,1.580744,2067.324814,2065.723892,2065.723892,1,1,0,0,0,True,1,0,0,2065.723892,2065.723892,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,c4c07980-4cdc-47fa-bacd-a8fbb5c72429,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,2026-07-06 02:33:25.533151+00:00,2026-07-06 02:33:26.899404+00:00,2026-07-06 02:33:26.922205+00:00,2026-07-06 02:33:26.922205+00:00,2026-07-06 03:25:35.655917+00:00,1.366253,1.366253,3130.122766,3128.733712,3128.733712,1,1,0,0,0,True,1,0,0,3128.733712,3128.733712,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,34f3cdde-9d42-450b-82f8-74ce0d5c0f8a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2026-07-06 02:33:25.533612+00:00,2026-07-06 02:33:29.289298+00:00,2026-07-06 02:33:29.308824+00:00,2026-07-06 02:33:29.308824+00:00,2026-07-06 02:51:48.159390+00:00,3.755686,3.755686,1102.625778,1098.850566,1098.850566,1,1,0,0,0,True,1,0,0,1098.850566,1098.850566,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,f7f4eee4-5107-452b-a59f-a90838c249ab,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,2026-07-06 03:00:03.534755+00:00,2026-07-06 03:00:05.224557+00:00,2026-07-06 03:00:05.248326+00:00,2026-07-06 03:00:05.248326+00:00,2026-07-06 03:54:23.437804+00:00,1.689802,1.689802,3259.903049,3258.189478,3258.189478,1,1,0,0,0,True,1,0,0,3258.189478,3258.189478,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,c8714c06-4f0f-42f8-a404-1d662215e848,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,2026-07-06 03:11:58.535984+00:00,2026-07-06 03:12:00.111220+00:00,2026-07-06 03:12:00.134866+00:00,2026-07-06 03:12:00.134866+00:00,2026-07-06 03:51:43.630058+00:00,1.575236,1.575236,2385.094074,2383.495192,2383.495192,1,1,0,0,0,True,1,0,0,2383.495192,2383.495192,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,ea80245f-a615-4788-9eee-d92b9d300280,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,2026-07-06 03:15:13.537031+00:00,2026-07-06 03:15:15.634390+00:00,2026-07-06 03:15:15.659724+00:00,2026-07-06 03:15:15.659724+00:00,2026-07-06 05:07:43.398348+00:00,2.097359,2.097359,6749.861317,6747.738624,6747.738624,1,1,0,0,0,True,1,0,0,6747.738624,6747.738624,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,d9e7a0bd-b444-4f26-9688-3dbfdc806750,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,2026-07-06 03:23:08.537918+00:00,2026-07-06 03:23:09.096573+00:00,2026-07-06 03:23:09.119888+00:00,2026-07-06 03:23:09.119888+00:00,2026-07-06 04:44:05.932644+00:00,0.558655,0.558655,4857.394726,4856.812756,4856.812756,1,1,0,0,0,True,1,0,0,4856.812756,4856.812756,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,a7cd2f9c-0909-4990-83bf-1af68202e107,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,2026-07-06 03:43:40.539438+00:00,2026-07-06 03:43:41.606621+00:00,2026-07-06 03:43:41.634215+00:00,2026-07-06 03:43:41.634215+00:00,2026-07-06 04:42:02.772628+00:00,1.067183,1.067183,3502.23319,3501.138413,3501.138413,1,1,0,0,0,True,1,0,0,3501.138413,3501.138413,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,3964e237-edef-4c3f-91fd-523d2a68dcff,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,2026-07-06 03:44:24.541068+00:00,2026-07-06 03:44:26.362869+00:00,2026-07-06 03:44:26.388296+00:00,2026-07-06 03:44:26.388296+00:00,2026-07-06 05:08:50.579731+00:00,1.821801,1.821801,5066.038663,5064.191435,5064.191435,1,1,0,0,0,True,1,0,0,5064.191435,5064.191435,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,0acaf00f-2007-4b35-9ced-f9ace078b729,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,2026-07-06 04:02:52.542117+00:00,2026-07-06 04:02:54.183029+00:00,2026-07-06 04:02:54.206646+00:00,2026-07-06 04:02:54.206646+00:00,2026-07-06 06:17:14.571955+00:00,1.640912,1.640912,8062.029838,8060.365309,8060.365309,1,1,0,0,0,True,1,0,0,8060.365309,8060.365309,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,50a33968-cfd8-4f5a-8455-7ae3b1c1a705,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,2026-07-06 04:10:49.761968+00:00,2026-07-06 04:10:51.187774+00:00,2026-07-06 04:10:51.215410+00:00,2026-07-06 04:10:51.215410+00:00,2026-07-06 05:06:44.679519+00:00,1.425806,1.425806,3354.917551,3353.464109,3353.464109,1,1,0,0,0,True,1,0,0,3353.464109,3353.464109,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,23859f07-cad2-4452-8098-6e9e59d202ed,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2026-07-06 04:11:01.695631+00:00,2026-07-06 04:11:02.332971+00:00,2026-07-06 04:11:02.357762+00:00,2026-07-06 05:08:50.798114+00:00,2026-07-06 06:33:25.792957+00:00,0.63734,3439.585618,8544.097326,8543.435195,5074.994843,2,2,1,1,0,True,2,1,1,5104.457097,5104.457097,29.462254,3438.948278,3438.948278,3438.978098,3438.978098,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,14666777-31d9-4917-a55b-dd8137a82cf3,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,2026-07-06 04:32:27.696626+00:00,2026-07-06 05:08:53.962384+00:00,2026-07-06 05:08:53.989460+00:00,2026-07-06 05:08:53.989460+00:00,2026-07-06 05:58:44.889293+00:00,2186.265758,2186.265758,5177.192667,2990.899833,2990.899833,1,1,0,0,0,True,1,0,0,2990.899833,2990.899833,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,17b2b036-5f8a-42e6-9c5b-c6771be3a431,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,2026-07-06 04:47:20.043159+00:00,2026-07-06 05:09:47.266024+00:00,2026-07-06 05:09:47.295167+00:00,2026-07-06 06:17:15.618545+00:00,2026-07-06 10:25:44.545947+00:00,1347.222865,5351.188038,20304.502788,18957.25078,14908.927402,2,2,1,1,0,True,2,1,1,14953.252248,14953.252248,44.324846,4003.965173,4003.965173,4003.998532,4003.998532,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,460e20e2-1ed9-486e-b6bc-1478d896d3e6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,2026-07-06 04:49:58.003827+00:00,2026-07-06 05:09:50.426115+00:00,2026-07-06 05:09:50.451788+00:00,2026-07-06 05:09:50.451788+00:00,2026-07-06 06:33:12.489482+00:00,1192.422288,1192.422288,6194.485655,5002.037694,5002.037694,1,1,0,0,0,True,1,0,0,5002.037694,5002.037694,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,a49cc894-fbcf-4069-ac95-d1529e342a7d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,2026-07-06 04:50:16.068391+00:00,2026-07-06 06:17:18.328579+00:00,2026-07-06 06:17:18.357427+00:00,2026-07-06 06:17:18.357427+00:00,2026-07-06 07:34:27.677503+00:00,5222.260188,5222.260188,9851.609112,4629.320076,4629.320076,1,1,0,0,0,True,1,0,0,4629.320076,4629.320076,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,8663140a-8077-4c97-9353-9aed841885b6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,2026-07-06 04:56:34.007913+00:00,2026-07-06 06:17:21.330217+00:00,2026-07-06 06:17:21.357928+00:00,2026-07-06 06:17:21.357928+00:00,2026-07-06 07:09:58.742730+00:00,4847.322304,4847.322304,8004.734817,3157.384802,3157.384802,1,1,0,0,0,True,1,0,0,3157.384802,3157.384802,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,aa219211-5ea8-4ff2-9add-0c4b037e9f9b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_large_wiki_bs8_1gpu.yaml,2026-07-06 05:31:57.009157+00:00,2026-07-06 06:17:57.833596+00:00,2026-07-06 06:17:57.862189+00:00,2026-07-06 06:17:57.862189+00:00,2026-07-06 07:16:49.579932+00:00,2760.824439,2760.824439,6292.570775,3531.717743,3531.717743,1,1,0,0,0,True,1,0,0,3531.717743,3531.717743,0.0,0.0,0.0,0.0,0.0,aegis_magm_no_thresholds
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,aegis_magm_no_thresholds,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM,75474942-f32d-464f-9f7e-5296bc4f1679,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs64_1gpu.yaml,2026-07-06 05:34:01.009824+00:00,2026-07-06 06:18:01.284914+00:00,2026-07-06 06:18:01.311978+00:00,2026-07-06 07:10:00.545100+00:00,2026-07-06 07:57:45.912041+00:00,2640.27509,5746.652563,8624.902217,5984.600063,2865.366941,2,2,1,1,0,True,2,1,1,2878.191906,2878.191906,12.824965,3106.377473,3106.377473,3106.408157,3106.408157,aegis_magm_no_thresholds
