experiment_name,run_label,policy,estimator,trace_csv,run_dir,task_id,task_file,submitted_at,first_dispatched_at,first_launched_at,final_successful_launch_at,completed_at,initial_queue_wait_s,total_queue_wait_s,jct_s,execution_span_s,successful_attempt_runtime_s,dispatch_count,launch_count,recovered_dispatch_count,maximum_recovery_count,recovery_stopped_count,completed_successfully,attempt_count,failed_attempt_count,recovered_attempt_count,total_attempt_runtime_s,total_execution_time_s,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,configuration_label
final_representative_evaluation__venus__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM,36484f9f-16c1-4e62-bc32-3762d9db005a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2026-06-21 17:56:03.323803+00:00,2026-06-21 17:56:04.071845+00:00,2026-06-21 17:56:04.094507+00:00,2026-06-21 17:56:04.094507+00:00,2026-06-21 18:45:08.180473+00:00,0.748042,0.748042,2944.85667,2944.085966,2944.085966,1,1,0,0,0,True,1,0,0,2944.085966,2944.085966,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__venus__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM,6af42679-9d68-413e-ab59-bdfb08c9ffcb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,2026-06-21 18:05:58.325131+00:00,2026-06-21 18:05:59.693872+00:00,2026-06-21 18:05:59.717305+00:00,2026-06-21 18:05:59.717305+00:00,2026-06-21 18:39:00.957177+00:00,1.368741,1.368741,1982.632046,1981.239872,1981.239872,1,1,0,0,0,True,1,0,0,1981.239872,1981.239872,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__venus__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM,23e501d8-e444-49cb-a760-0dc4e1b99265,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,2026-06-21 18:07:05.326300+00:00,2026-06-21 18:07:07.059314+00:00,2026-06-21 18:07:07.078568+00:00,2026-06-21 18:07:07.078568+00:00,2026-06-21 18:58:12.614359+00:00,1.733014,1.733014,3067.288059,3065.535791,3065.535791,1,1,0,0,0,True,1,0,0,3065.535791,3065.535791,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__venus__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM,5c44e45c-06f0-4e72-8bdb-87c44db2bd00,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,2026-06-21 18:07:05.326628+00:00,2026-06-21 18:07:09.550679+00:00,2026-06-21 18:07:09.568814+00:00,2026-06-21 18:07:09.568814+00:00,2026-06-21 18:25:01.330177+00:00,4.224051,4.224051,1076.003549,1071.761363,1071.761363,1,1,0,0,0,True,1,0,0,1071.761363,1071.761363,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__venus__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM,49d177f1-599f-497f-a16e-e17e9965f95e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,2026-06-21 18:33:43.327688+00:00,2026-06-21 18:33:44.934597+00:00,2026-06-21 18:33:44.968882+00:00,2026-06-21 18:33:44.968882+00:00,2026-06-21 19:25:00.195482+00:00,1.606909,1.606909,3076.867794,3075.2266,3075.2266,1,1,0,0,0,True,1,0,0,3075.2266,3075.2266,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__venus__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM,9c627b5f-6106-4340-a4b7-a907a3c241a0,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,2026-06-21 18:45:38.328548+00:00,2026-06-21 18:45:39.418707+00:00,2026-06-21 18:45:39.445554+00:00,2026-06-21 18:45:39.445554+00:00,2026-06-21 19:25:14.875594+00:00,1.090159,1.090159,2376.547046,2375.43004,2375.43004,1,1,0,0,0,True,1,0,0,2375.43004,2375.43004,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__venus__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM,4a29dc5b-af14-4505-9e5d-e2742366c3a5,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,2026-06-21 18:48:53.330063+00:00,2026-06-21 18:48:54.278951+00:00,2026-06-21 18:48:54.300727+00:00,2026-06-21 18:48:54.300727+00:00,2026-06-21 19:51:01.378164+00:00,0.948888,0.948888,3728.048101,3727.077437,3727.077437,1,1,0,0,0,True,1,0,0,3727.077437,3727.077437,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__venus__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM,eb8b662e-7f41-4422-a4b6-137e8a45af48,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,2026-06-21 18:56:48.331362+00:00,2026-06-21 19:25:16.186110+00:00,2026-06-21 19:25:16.212706+00:00,2026-06-21 19:25:16.212706+00:00,2026-06-21 20:39:21.857496+00:00,1707.854748,1707.854748,6153.526134,4445.64479,4445.64479,1,1,0,0,0,True,1,0,0,4445.64479,4445.64479,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__venus__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM,2584f95f-c4ca-4a1c-9402-2678ce371ff6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,2026-06-21 19:17:20.332080+00:00,2026-06-21 19:26:01.780911+00:00,2026-06-21 19:26:01.809581+00:00,2026-06-21 19:26:01.809581+00:00,2026-06-21 20:15:19.829763+00:00,521.448831,521.448831,3479.497683,2958.020182,2958.020182,1,1,0,0,0,True,1,0,0,2958.020182,2958.020182,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
final_representative_evaluation__venus__rep01__aegis_estimator_free,aegis_magm_thresholded,OR-MAGM,,evaluation/experiments/traces/representative/venus_seed42_60jobs.execution.csv,/home/ehyo/AEGIS/evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM,2aabeff8-5491-47f1-a524-b116543bae15,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,2026-06-21 19:18:04.351207+00:00,2026-06-21 19:26:04.660972+00:00,2026-06-21 19:26:04.685647+00:00,2026-06-21 19:26:04.685647+00:00,2026-06-21 20:17:51.353300+00:00,480.309765,480.309765,3587.002093,3106.667653,3106.667653,1,1,0,0,0,True,1,0,0,3106.667653,3106.667653,0.0,0.0,0.0,0.0,0.0,aegis_magm_thresholded
