experiment_name,run_label,task_file,jct_s,solo_runtime_s,normalized_jct
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,2955.993532,2945.98,1.003399049552271
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,2009.959977,2042.09,0.98426610825184
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,3125.636398,3038.08,1.0288196485938488
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,1107.591574,1150.33,0.9628468126537603
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,3099.362796,2091.71,1.4817363764575395
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/llama3_width_8layer_wiki_bs1_1gpu.yaml,2605.978255,2359.07,1.1046633864192243
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,4570.744774,2999.0,1.524089621207069
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,4849.456129,3516.79,1.37894390310482
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,3518.482585,1951.05,1.8033789933625486
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,2636.953746,1699.31,1.551779102106149
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,8368.463472,6582.08,1.2714010574165004
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,2868.020867,2673.42,1.0727909819631782
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,7522.411096,3981.23,1.8894691077882966
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,4574.713905,1870.75,2.4453903006815447
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,20441.182378,14448.63,1.4147488293353767
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,6198.882774,2191.55,2.828538146061007
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,6876.853736,1670.26,4.117235481901021
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,9568.198491,2618.8,3.6536575878264848
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_large_wiki_bs8_1gpu.yaml,7168.861747,2725.48,2.630311632079487
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs64_1gpu.yaml,5835.884108,2809.21,2.077411125547752
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,7227.080192,1880.22,3.8437417919179673
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,8817.041943,1951.05,4.519126594910433
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_50e_1gpu.yaml,8755.867222,1924.56,4.549542348380929
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,10806.727905,2673.42,4.04228587539556
runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,aegis_lug_no_thresholds,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,12787.94655,2983.56,4.286136880102965
