trace_name,configuration_label,run_label,task_id,task_file,workload,failed_attempt_count,recovered_attempt_count,recovery_stopped_count,failed_attempt_runtime_s,total_recovery_queue_wait_s,max_recovery_queue_wait_s,total_recovery_gap_s,max_recovery_gap_s,successful_attempt_runtime_s,recovery_overhead_s,jct_s
venus,aegis_lug_no_thresholds,aegis_lug_no_thresholds,f584c7ac-4723-4f9a-bc96-3eb9dc86f700,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,gpt2_large_wiki_bs8_2gpu.yaml,1,1,0,31.255752,2794.19393,2794.19393,2794.231791,2794.231791,4664.500811,2825.487543,7522.411096
venus,aegis_lug_no_thresholds,aegis_lug_no_thresholds,25550110-f436-4ba9-9fd8-c4fbbf191c87,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,gpt2_xl_wiki_bs2_1gpu.yaml,1,1,0,41.918434,4566.786076,4566.786076,4566.81441,4566.81441,15096.801425,4608.732844,20441.182378
venus,aegis_lug_no_thresholds,aegis_lug_no_thresholds,a11553ce-6796-432b-b34b-715c0badc41f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_large_wiki_bs8_1gpu.yaml,bert_large_wiki_bs8_1gpu.yaml,1,1,0,16.447754,1645.758426,1645.758426,1645.787236,1645.787236,2793.23836,1662.23499,7168.861747
venus,aegis_lug_no_thresholds,aegis_lug_no_thresholds,7933b6f1-23c7-418d-9d77-4fa5030be20f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,resnet50_imagenet_bs64_1gpu.yaml,1,1,0,9.923599,2777.923836,2777.923836,2777.957991,2777.957991,1974.135642,2787.8815900000004,8817.041943
venus,aegis_lug_no_thresholds,aegis_lug_no_thresholds,07507cb6-1dfa-4d44-be82-45d0e9389ae2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,vgg16_imagenet_bs128_1gpu.yaml,1,1,0,11.669499,1916.223756,1916.223756,1916.25367,1916.25367,3106.619424,1927.9231690000001,10806.727905
venus,aegis_lug_no_thresholds,aegis_lug_no_thresholds,ddedf176-a317-4e21-bd39-86c339075046,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,bert_base_wiki_bs32_1gpu.yaml,1,1,0,15.690552,3193.606401,3193.606401,3193.638506,3193.638506,1186.429366,3209.329058,12783.302126
venus,aegis_lug_thresholded,aegis_lug_thresholded,623b1144-71bf-4498-8f00-8b886c382a40,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,gpt2_large_wiki_bs8_2gpu.yaml,1,1,0,27.26935,1155.661311,1155.661311,1155.68878,1155.68878,5286.952849,1182.95813,8552.195332
venus,aegis_lug_thresholded,aegis_lug_thresholded,f56517a4-a85b-4799-94ff-8bd36d10a714,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,gpt2_xl_wiki_bs2_1gpu.yaml,1,1,0,49.433498,4970.634431,4970.634431,4970.663973,4970.663973,16667.495095,5020.097471,22832.985264
venus,aegis_lug_thresholded,aegis_lug_thresholded,613a0535-70e8-4a05-bc5c-8b4b17be324a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs64_1gpu.yaml,vgg16_imagenet_bs64_1gpu.yaml,1,1,0,11.020072,565.83828,565.83828,565.866563,565.866563,3633.710101,576.8866350000001,7648.746616
venus,aegis_lug_thresholded,aegis_lug_thresholded,f724eba5-5f8a-432c-a724-d8c466162372,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,mobilenet_imagenet_bs128_1gpu.yaml,1,1,0,10.257733,4048.491335,4048.491335,4048.514446,4048.514446,2230.673456,4058.772179,10196.878602
venus,aegis_lug_thresholded,aegis_lug_thresholded,a7df4484-8582-43c3-8049-637560dbc8ee,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,bert_base_wiki_bs32_1gpu.yaml,1,1,0,13.232711,2471.206994,2471.206994,2471.236263,2471.236263,1054.568304,2484.468974,12402.796545
venus,aegis_magm_no_thresholds,aegis_magm_no_thresholds,23859f07-cad2-4452-8098-6e9e59d202ed,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,gpt2_large_wiki_bs8_2gpu.yaml,1,1,0,29.462254,3438.948278,3438.948278,3438.978098,3438.978098,5074.994843,3468.440352,8544.097326
venus,aegis_magm_no_thresholds,aegis_magm_no_thresholds,17b2b036-5f8a-42e6-9c5b-c6771be3a431,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,gpt2_xl_wiki_bs2_1gpu.yaml,1,1,0,44.324846,4003.965173,4003.965173,4003.998532,4003.998532,14908.927402,4048.323378,20304.502788
