workload_id,task_path,num_gpus,gpu_count,gpu_memory_requirement_mib,solo_runtime_s,profile_peak_memory_mib,horus_mib,faketensor_mib,gpumemnet_mib,lucid_class,lucid_ss
efficientnet_cifar100_bs128_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_20e_1gpu.yaml,1,1,538.0,515.45,538,2948.3796,233.36,8000.0,tiny,0
efficientnet_cifar100_bs128_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,1,1,538.0,1055.31,538,2948.3796,233.36,8000.0,medium,1
efficientnet_cifar100_bs32_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,1,1,396.0,2099.92,396,1348.8069,64.12,8000.0,tiny,0
efficientnet_cifar100_bs32_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,1,1,396.0,5142.06,396,1348.8069,64.12,8000.0,medium,1
efficientnet_cifar100_bs64_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,1,1,502.0,846.22,502,1881.9978,118.49,8000.0,tiny,0
efficientnet_cifar100_bs64_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_50e_1gpu.yaml,1,1,502.0,1962.76,502,1881.9978,118.49,8000.0,tiny,0
efficientnet_imagenet_bs32_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,1,1,3440.0,3209.4,3438,3864.9053,2730.01,8000.0,jumbo,2
efficientnet_imagenet_bs64_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,1,1,6350.0,3192.0,6348,6909.6362,5454.978798,16000.0,jumbo,2
inception_imagenet_bs32_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/inception_imagenet_bs32_1gpu.yaml,1,1,4864.0,8284.12,4862,5990.3652,1590.304115,8000.0,jumbo,2
inception_imagenet_bs64_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/inception_imagenet_bs64_1gpu.yaml,1,1,9210.0,8039.49,9210,11089.8086,3158.379311,16000.0,jumbo,2
mnist_bs32_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/mnist_bs32_1gpu.yaml,1,1,808.0,234.51,808,1114.0823,37.17192078,8000.0,tiny,0
mobilenet_cifar100_bs128_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_20e_1gpu.yaml,1,1,338.0,318.05,338,2948.3796,49.12693024,8000.0,tiny,0
mobilenet_cifar100_bs128_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,1,1,338.0,766.7,338,2948.3796,49.12693024,8000.0,medium,1
mobilenet_cifar100_bs32_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,1,1,344.0,1213.75,344,1348.8069,15.16733551,8000.0,tiny,0
mobilenet_cifar100_bs32_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,1,1,344.0,3177.82,344,1348.8069,15.16733551,8000.0,tiny,0
mobilenet_cifar100_bs64_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,1,1,424.0,664.05,424,1881.9978,25.9091568,8000.0,tiny,0
mobilenet_cifar100_bs64_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,1,1,424.0,1466.25,424,1881.9978,25.9091568,8000.0,medium,1
mobilenet_imagenet_bs32_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,1,1,3034.0,3212.37,3032,3617.0674,2425.279457,8000.0,medium,1
mobilenet_imagenet_bs64_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,1,1,5778.0,2553.39,5776,6420.7646,4845.542152,16000.0,medium,1
resnet18_cifar100_bs128_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_20e_1gpu.yaml,1,1,514.0,179.84,514,6397.9595,93.28115082,8000.0,tiny,0
resnet18_cifar100_bs128_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,1,1,514.0,447.96,514,6397.9595,93.28115082,8000.0,medium,1
resnet18_cifar100_bs32_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,1,1,494.0,680.58,494,2231.6129,53.99452972,8000.0,tiny,0
resnet18_cifar100_bs32_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,1,1,494.0,1747.2,494,2231.6129,53.99452972,8000.0,tiny,0
resnet18_cifar100_bs64_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,1,1,514.0,325.68,514,3620.3953,66.75673676,8000.0,tiny,0
resnet18_cifar100_bs64_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,1,1,514.0,817.87,514,3620.3953,66.75673676,8000.0,tiny,0
resnet34_cifar100_bs128_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,1,1,684.0,275.78,684,11409.6445,145.3094711,8000.0,tiny,0
resnet34_cifar100_bs128_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,1,1,684.0,674.86,684,11409.6445,145.3094711,8000.0,medium,1
resnet34_cifar100_bs32_20e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,1,1,686.0,1044.05,686,3513.4539,94.27285004,8000.0,tiny,0
resnet34_cifar100_bs32_50e_1gpu,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,1,1,686.0,2666.51,686,3513.4539,94.27285004,8000.0,jumbo,2
