pair_id,spec_a,spec_b,spec_a_name,spec_b_name,mem_a_mib,mem_b_mib,total_mem_mib,runtime_a_s,runtime_b_s,runtime_ratio,capacity_mib,guard_mib,usable_capacity_mib
efficientnet_imagenet_bs32_1gpu__PLUS__mobilenet_imagenet_bs32_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,3438,3032,6470,3204.07,3207.93,0.9987967318488871,11264,512,10752
efficientnet_imagenet_bs64_1gpu__PLUS__mobilenet_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,6348,344,6692,3186.77,3173.83,0.9959394622140914,11264,512,10752
efficientnet_imagenet_bs32_1gpu__PLUS__efficientnet_imagenet_bs64_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,3438,6348,9786,3204.07,3186.77,0.9946006173398209,11264,512,10752
efficientnet_imagenet_bs64_1gpu__PLUS__mobilenet_imagenet_bs32_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,6348,3032,9380,3186.77,3207.93,0.9934038460938986,11264,512,10752
resnet18_cifar100_bs32_20e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,resnet34_cifar100_bs128_50e_1gpu.yaml,494,684,1178,677.32,671.28,0.9910825016240477,11264,512,10752
efficientnet_imagenet_bs32_1gpu__PLUS__mobilenet_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,3438,344,3782,3204.07,3173.83,0.9905620039512245,11264,512,10752
mobilenet_cifar100_bs32_50e_1gpu__PLUS__mobilenet_imagenet_bs32_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,344,3032,3376,3173.83,3207.93,0.9893700922401674,11264,512,10752
efficientnet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,resnet34_cifar100_bs64_20e_1gpu.yaml,538,688,1226,511.71,520.3,0.9834902940611187,11264,512,10752
mobilenet_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,resnet34_cifar100_bs128_50e_1gpu.yaml,424,684,1108,660.12,671.28,0.9833750446907401,11264,512,10752
resnet50_imagenet_bs32_1gpu__PLUS__resnet50_imagenet_bs64_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs64_1gpu.yaml,resnet50_imagenet_bs32_1gpu.yaml,resnet50_imagenet_bs64_1gpu.yaml,3560,6728,10288,5600.61,5461.19,0.9751062830655947,11264,512,10752
