pair_id,spec_a,spec_b,spec_a_name,spec_b_name,mem_a_mib,mem_b_mib,total_mem_mib,runtime_a_s,runtime_b_s,runtime_ratio,capacity_mib,guard_mib,usable_capacity_mib
efficientnet_imagenet_bs32_1gpu__PLUS__mobilenet_imagenet_bs32_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,3438,3032,6470,3204.07,3207.93,0.9987967318488872,11264,512,10752
resnet18_cifar100_bs32_20e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,resnet34_cifar100_bs128_50e_1gpu.yaml,494,684,1178,677.32,671.28,0.9910825016240477,11264,512,10752
mobilenet_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,resnet34_cifar100_bs128_50e_1gpu.yaml,424,684,1108,660.12,671.28,0.98337504469074,11264,512,10752
mobilenet_cifar100_bs64_50e_1gpu__PLUS__resnet34_cifar100_bs64_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu.yaml,resnet34_cifar100_bs64_50e_1gpu.yaml,424,688,1112,1462.26,1504.8,0.9717304625199362,11264,512,10752
efficientnet_cifar100_bs32_50e_1gpu__PLUS__resnet50_imagenet_bs64_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs64_1gpu.yaml,efficientnet_cifar100_bs32_50e_1gpu.yaml,resnet50_imagenet_bs64_1gpu.yaml,396,6728,7124,5138.29,5461.19,0.9408736923637524,11264,512,10752
efficientnet_cifar100_bs32_50e_1gpu__PLUS__resnet50_imagenet_bs32_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,efficientnet_cifar100_bs32_50e_1gpu.yaml,resnet50_imagenet_bs32_1gpu.yaml,396,3560,3956,5138.29,5600.61,0.9174518489950202,11264,512,10752
mobilenet_cifar100_bs128_50e_1gpu__PLUS__resnet18_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,338,494,832,762.79,677.32,0.8879508121501332,11264,512,10752
mobilenet_cifar100_bs128_50e_1gpu__PLUS__mobilenet_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,338,424,762,762.79,660.12,0.8654020110384247,11264,512,10752
resnet18_cifar100_bs128_50e_1gpu__PLUS__resnet34_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs128_50e_1gpu.yaml,resnet34_cifar100_bs64_20e_1gpu.yaml,514,688,1202,444.68,520.3,0.8546607726311745,11264,512,10752
mobilenet_cifar100_bs64_50e_1gpu__PLUS__resnet18_cifar100_bs32_50e_1gpu,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu.yaml,resnet18_cifar100_bs32_50e_1gpu.yaml,424,494,918,1462.26,1743.93,0.8384854896698835,11264,512,10752
