spec_name,spec_path,spec_key,peak_memory_mib,memory_fraction,horus_gpu_util_mean,horus_gpu_util_p95,horus_gpu_util_max,avg_smact,avg_smocc,avg_drama,amp_enabled,representative_spec_path,lucid_mean_normalized_speed,lucid_std_normalized_speed,lucid_min_normalized_speed,lucid_max_normalized_speed,lucid_num_pair_observations,lucid_class,lucid_ss,lucid_label_source,lucid_label_usable
efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,538,0.04776278409090909,27.76271186440678,35.0,37.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_20e_1gpu.yaml,1.0,0.0,1.0,1.0,2.0,tiny,0.0,insufficient_pairwise,False
efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu.yaml,538,0.04776278409090909,20.573033707865168,39.0,41.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,0.935382732392295,0.0010151677288517,0.9343675646634432,0.9363979001211468,2.0,medium,1.0,insufficient_pairwise,False
efficientnet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu.yaml,396,0.03515625,15.429378531073446,17.0,20.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,1.0,0.0,1.0,1.0,3.0,tiny,0.0,measured_pairwise,True
efficientnet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,efficientnet_cifar100_bs32_50e_1gpu.yaml,396,0.03515625,15.71186440677966,16.0,25.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,0.9394188634999032,0.0709024557906961,0.8399316061600226,1.0,3.0,medium,1.0,measured_pairwise,True
efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu.yaml,502,0.04456676136363636,26.519553072625698,31.0,33.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,0.9664463164558588,0.0529005846823276,0.8750545454545454,1.0,4.0,tiny,0.0,measured_pairwise,True
efficientnet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs64_50e_1gpu.yaml,502,0.04456676136363636,27.84357541899441,34.0,36.0,,,,0,,,,,,,,,,
efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,3438,0.30522017045454547,80.97752808988764,87.0,87.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,0.7456893725584959,0.1291903509281109,0.5879200123306373,0.915568903341582,4.0,jumbo,2.0,measured_pairwise,True
efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,6348,0.5635653409090909,82.72625698324022,88.0,88.0,,,,0,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,0.8055070508044895,0.1110275776139175,0.6913333044081915,0.9414220131991752,4.0,jumbo,2.0,measured_pairwise,True
inception_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/inception_imagenet_bs32_1gpu.yaml,inception_imagenet_bs32_1gpu.yaml,4862,0.431640625,86.29608938547486,90.0,92.0,,,,0,,,,,,,,,,
inception_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/inception_imagenet_bs64_1gpu.yaml,inception_imagenet_bs64_1gpu.yaml,9210,0.8176491477272727,86.41011235955057,93.0,93.0,,,,0,,,,,,,,,,
