spec_key,spec_path,normalized_speed,partner_spec_key,pair_id,pairwise_source_csv,pair_time_s,partner_pair_time_s,partner_runtime_ratio,valid_for_label
efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,0.6592071992741473,mobilenet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs32_1gpu__PLUS__mobilenet_imagenet_bs32_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,4860.49,4304.07,0.8855218301035492,True
mobilenet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,0.745324773992988,efficientnet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs32_1gpu__PLUS__mobilenet_imagenet_bs32_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,4304.07,4860.49,1.1292776372131494,True
efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,0.9414220131991752,mobilenet_cifar100_bs32_50e_1gpu.yaml,efficientnet_imagenet_bs64_1gpu__PLUS__mobilenet_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,3385.06,3111.84,0.9192865119082084,True
mobilenet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,1.0,efficientnet_imagenet_bs64_1gpu.yaml,efficientnet_imagenet_bs64_1gpu__PLUS__mobilenet_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,3111.84,3385.06,1.0878001439662708,True
efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,0.5879200123306373,efficientnet_imagenet_bs64_1gpu.yaml,efficientnet_imagenet_bs32_1gpu__PLUS__efficientnet_imagenet_bs64_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,5449.84,4609.6,0.8458229966384334,True
efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,0.6913333044081915,efficientnet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs32_1gpu__PLUS__efficientnet_imagenet_bs64_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,4609.6,5449.84,1.182280458174245,True
efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,0.7009251031558202,mobilenet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs64_1gpu__PLUS__mobilenet_imagenet_bs32_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,4546.52,4549.48,1.0006510473944905,True
mobilenet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,0.7051201455990576,efficientnet_imagenet_bs64_1gpu.yaml,efficientnet_imagenet_bs64_1gpu__PLUS__mobilenet_imagenet_bs32_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,4549.48,4546.52,0.9993493761924441,True
resnet18_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,1.0,resnet34_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,641.65,723.74,1.127935790540014,True
resnet34_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,0.927515406085058,resnet18_cifar100_bs32_20e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,723.74,641.65,0.8865752894685937,True
