spec_key,representative_spec_path,lucid_mean_normalized_speed,lucid_std_normalized_speed,lucid_min_normalized_speed,lucid_max_normalized_speed,lucid_num_pair_observations,lucid_class,lucid_ss,lucid_label_source,lucid_label_usable
efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_20e_1gpu.yaml,1.0,0.0,1.0,1.0,2,tiny,0,insufficient_pairwise,False
efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,0.935382732392295,0.0010151677288517957,0.9343675646634432,0.9363979001211468,2,medium,1,insufficient_pairwise,False
efficientnet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,1.0,0.0,1.0,1.0,3,tiny,0,measured_pairwise,True
efficientnet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,0.9394188634999031,0.0709024557906961,0.8399316061600226,1.0,3,medium,1,measured_pairwise,True
efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,0.9664463164558587,0.052900584682327605,0.8750545454545454,1.0,4,tiny,0,measured_pairwise,True
efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,0.7456893725584959,0.1291903509281109,0.5879200123306373,0.915568903341582,4,jumbo,2,measured_pairwise,True
efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,0.8055070508044895,0.11102757761391753,0.6913333044081915,0.9414220131991752,4,jumbo,2,measured_pairwise,True
mnist_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mnist_bs32_1gpu.yaml,0.9638966303521664,0.0,0.9638966303521664,0.9638966303521664,1,tiny,0,insufficient_pairwise,False
mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_20e_1gpu.yaml,0.9634931891380788,0.0365068108619212,0.9269863782761576,1.0,2,tiny,0,insufficient_pairwise,False
mobilenet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs128_50e_1gpu.yaml,0.8795741106939352,0.11169305932334833,0.7678810513705869,0.9912671700172836,2,medium,1,insufficient_pairwise,False
mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,0.9550319572990511,0.05105147845756657,0.8758841372919517,1.0,4,tiny,0,measured_pairwise,True
mobilenet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,0.9969011533045059,0.006197693390988234,0.9845057665225294,1.0,5,tiny,0,measured_pairwise,True
mobilenet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_20e_1gpu.yaml,0.9962602916872626,0.00528874621519274,0.9887808750617876,1.0,3,tiny,0,measured_pairwise,True
mobilenet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,0.9366344133770382,0.06660932167257526,0.8445876869227704,1.0,3,medium,1,measured_pairwise,True
mobilenet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,0.8626112298980114,0.1381221403981774,0.7051201455990576,1.0,4,medium,1,measured_pairwise,True
mobilenet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,0.9264066321342166,0.03907807846398542,0.8873285536702311,0.965484710598202,2,medium,1,insufficient_pairwise,False
resnet18_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,0.9280405909150521,0.022821146244422663,0.9052194446706294,0.9508617371594748,2,medium,1,insufficient_pairwise,False
resnet18_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,0.9790990570586988,0.03593342904034176,0.9078748073185444,1.0,5,tiny,0,measured_pairwise,True
resnet18_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,0.9671076219785473,0.056971269914917945,0.8684304879141892,1.0,4,tiny,0,measured_pairwise,True
resnet18_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,0.9861852622688746,0.013814737731125404,0.9723705245377492,1.0,2,tiny,0,insufficient_pairwise,False
resnet18_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,0.9931498891510273,0.013700221697945424,0.9657494457551364,1.0,5,tiny,0,measured_pairwise,True
resnet34_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,0.9717263405614389,0.03998499263593115,0.9151790216843168,1.0,3,tiny,0,measured_pairwise,True
resnet34_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,0.9270882772849389,0.04765250827990894,0.8672083920058908,1.0,4,medium,1,measured_pairwise,True
resnet34_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,0.9935930066677979,0.009060856864434263,0.9807790200033936,1.0,3,tiny,0,measured_pairwise,True
resnet34_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,0.7991521864286546,0.10823459815699894,0.6932506872709097,1.0,5,jumbo,2,measured_pairwise,True
resnet34_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_20e_1gpu.yaml,0.9876928556699098,0.012307144330090223,0.9753857113398195,1.0,2,tiny,0,insufficient_pairwise,False
resnet34_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_50e_1gpu.yaml,1.0,0.0,1.0,1.0,3,tiny,0,measured_pairwise,True
resnet50_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,0.928738678084486,0.0,0.928738678084486,0.928738678084486,1,medium,1,insufficient_pairwise,False
resnet50_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs64_1gpu.yaml,0.8077081384990328,0.1304923521450576,0.6772157863539752,0.9382004906440904,2,jumbo,2,insufficient_pairwise,False
unet_voc_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/unet_voc_1gpu.yaml,0.7642334208589043,0.14236502787145883,0.6218683929874456,0.9065984487303632,2,jumbo,2,insufficient_pairwise,False
xception_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/xception_imagenet_bs32_1gpu.yaml,0.6725768421766861,0.0,0.6725768421766861,0.6725768421766861,1,jumbo,2,insufficient_pairwise,False
