pair_id,spec_a,spec_b,spec_a_name,spec_b_name,mem_a_mib,mem_b_mib,total_mem_mib,capacity_mib,guard_mib,usable_capacity_mib
efficientnet_cifar100_bs128_20e_1gpu__PLUS__efficientnet_imagenet_bs128_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs128_maxbatches1200.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,efficientnet_imagenet_bs128_maxbatches1200.yaml,860.000,12732.000,13592.000,40960.000,2048.000,38912.000
efficientnet_cifar100_bs128_20e_1gpu__PLUS__efficientnet_imagenet_bs64_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs64_maxbatches1200.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,efficientnet_imagenet_bs64_maxbatches1200.yaml,860.000,6724.000,7584.000,40960.000,2048.000,38912.000
efficientnet_cifar100_bs128_20e_1gpu__PLUS__llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000.yaml,860.000,28712.000,29572.000,40960.000,2048.000,38912.000
efficientnet_cifar100_bs128_20e_1gpu__PLUS__mobilenet_cifar100_bs128_20e_1gpu,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_cifar100_bs128_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu.yaml,860.000,634.000,1494.000,40960.000,2048.000,38912.000
efficientnet_cifar100_bs128_20e_1gpu__PLUS__mobilenet_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,860.000,602.000,1462.000,40960.000,2048.000,38912.000
efficientnet_cifar100_bs128_20e_1gpu__PLUS__mobilenet_imagenet_bs128_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_imagenet_bs128_maxbatches1200.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,mobilenet_imagenet_bs128_maxbatches1200.yaml,860.000,11602.000,12462.000,40960.000,2048.000,38912.000
efficientnet_cifar100_bs128_20e_1gpu__PLUS__mobilenet_imagenet_bs64_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_imagenet_bs64_maxbatches1200.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,mobilenet_imagenet_bs64_maxbatches1200.yaml,860.000,6164.000,7024.000,40960.000,2048.000,38912.000
efficientnet_cifar100_bs128_20e_1gpu__PLUS__resnet18_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/resnet18_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs64_20e_1gpu.yaml,860.000,798.000,1658.000,40960.000,2048.000,38912.000
efficientnet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/resnet34_cifar100_bs128_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,resnet34_cifar100_bs128_20e_1gpu.yaml,860.000,1076.000,1936.000,40960.000,2048.000,38912.000
efficientnet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/resnet34_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,resnet34_cifar100_bs64_20e_1gpu.yaml,860.000,1018.000,1878.000,40960.000,2048.000,38912.000
