pair_id,spec_a,spec_b,spec_a_name,spec_b_name,solo_time_a_s,solo_time_b_s,solo_ratio_min_over_max
mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu,evaluation/workloads/training/specs/yaml_lucid_calibration/mobilenet_cifar100_bs32_15e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet18_cifar100_bs32_25e_1gpu.yaml,mobilenet_cifar100_bs32_15e_1gpu.yaml,resnet18_cifar100_bs32_25e_1gpu.yaml,577.085,573.08,0.9930599478413059
resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet18_cifar100_bs32_25e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet34_cifar100_bs32_15e_1gpu.yaml,resnet18_cifar100_bs32_25e_1gpu.yaml,resnet34_cifar100_bs32_15e_1gpu.yaml,573.08,554.083,0.9668510504641584
mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu,evaluation/workloads/training/specs/yaml_lucid_calibration/mobilenet_cifar100_bs32_15e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet34_cifar100_bs32_15e_1gpu.yaml,mobilenet_cifar100_bs32_15e_1gpu.yaml,resnet34_cifar100_bs32_15e_1gpu.yaml,577.085,554.083,0.960141053744249
efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_10e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet34_cifar100_bs32_15e_1gpu.yaml,efficientnet_cifar100_bs32_10e_1gpu.yaml,resnet34_cifar100_bs32_15e_1gpu.yaml,526.082,554.083,0.9494642499408934
mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu.yaml,resnet34_cifar100_bs128_20e_1gpu.yaml,211.042,194.036,0.9194188834450014
efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_10e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet18_cifar100_bs32_25e_1gpu.yaml,efficientnet_cifar100_bs32_10e_1gpu.yaml,resnet18_cifar100_bs32_25e_1gpu.yaml,526.082,573.08,0.9179905074335171
mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet18_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs64_20e_1gpu.yaml,211.042,230.04,0.917414362719527
efficientnet_cifar100_bs32_10e_1gpu__PLUS__mobilenet_cifar100_bs32_15e_1gpu,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_10e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/mobilenet_cifar100_bs32_15e_1gpu.yaml,efficientnet_cifar100_bs32_10e_1gpu.yaml,mobilenet_cifar100_bs32_15e_1gpu.yaml,526.082,577.085,0.9116196054307424
mobilenet_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,resnet34_cifar100_bs64_20e_1gpu.yaml,423.063,380.053,0.898336654351716
efficientnet_cifar100_bs32_12e_1gpu__PLUS__efficientnet_cifar100_bs64_25e_1gpu,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_12e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs64_25e_1gpu.yaml,efficientnet_cifar100_bs32_12e_1gpu.yaml,efficientnet_cifar100_bs64_25e_1gpu.yaml,659.091,747.108,0.8821897235741019
efficientnet_cifar100_bs32_12e_1gpu__PLUS__mobilenet_cifar100_bs32_15e_1gpu,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_12e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/mobilenet_cifar100_bs32_15e_1gpu.yaml,efficientnet_cifar100_bs32_12e_1gpu.yaml,mobilenet_cifar100_bs32_15e_1gpu.yaml,659.091,577.085,0.8755771206100523
efficientnet_cifar100_bs32_12e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_12e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet18_cifar100_bs32_25e_1gpu.yaml,efficientnet_cifar100_bs32_12e_1gpu.yaml,resnet18_cifar100_bs32_25e_1gpu.yaml,659.091,573.08,0.8695005697240594
resnet18_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs64_20e_1gpu.yaml,resnet34_cifar100_bs128_20e_1gpu.yaml,230.04,194.036,0.8434880890279952
efficientnet_cifar100_bs32_12e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_12e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet34_cifar100_bs32_15e_1gpu.yaml,efficientnet_cifar100_bs32_12e_1gpu.yaml,resnet34_cifar100_bs32_15e_1gpu.yaml,659.091,554.083,0.840677539216891
mobilenet_cifar100_bs64_20e_1gpu__PLUS__efficientnet_cifar100_bs32_10e_1gpu,evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_10e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs32_10e_1gpu.yaml,423.063,526.082,0.8041769153858144
