spec_name,spec_path,spec_key,peak_memory_mib,memory_fraction,horus_gpu_util_mean,horus_gpu_util_p95,horus_gpu_util_max,avg_smact,avg_smocc,avg_drama,amp_enabled,representative_spec_path,lucid_mean_normalized_speed,lucid_std_normalized_speed,lucid_min_normalized_speed,lucid_max_normalized_speed,lucid_num_pair_observations,lucid_class,lucid_ss,lucid_label_source,lucid_label_usable,lucid_final_ss,lucid_final_class,lucid_final_label_source,lucid_pred_proba_ss0,lucid_pred_proba_ss1,lucid_pred_proba_ss2
efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml,efficientnet_cifar100_bs128_20e_1gpu.yaml,860,0.02099609375,37.25185185185185,44.0,56.0,0.2262148148148148,0.1439111111111111,0.0202148148148148,0,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs128_20e_1gpu.yaml,0.9449735024175924,0.1081991724516368,0.5746950285048734,1.0,15,medium,1,measured_pairwise,True,1,medium,measured_pairwise,0.2,0.755,0.045
mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu.yaml,634,0.015478515625,32.61538461538461,40.0,46.0,0.1577538461538461,0.0900307692307692,0.0050692307692307,0,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_cifar100_bs128_20e_1gpu.yaml,0.892846710477721,0.1453444110220535,0.4860473011202896,1.0,17,medium,1,measured_pairwise,True,1,medium,measured_pairwise,0.355,0.645,0.0
mobilenet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,602,0.014697265625,30.96923076923077,39.0,46.0,0.1186384615384615,0.0619923076923077,0.0030384615384615,0,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_cifar100_bs64_20e_1gpu.yaml,0.9991472740276172,0.0019067532404272,0.994883644165704,1.0,6,tiny,0,measured_pairwise,True,0,tiny,measured_pairwise,0.71,0.29,0.0
resnet18_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs64_20e_1gpu.yaml,798,0.019482421875,34.338345864661655,42.39999999999999,60.0,0.1665187969924812,0.0620977443609022,0.0492406015037594,0,evaluation/workloads/training/specs/yaml_threshold_short/resnet18_cifar100_bs64_20e_1gpu.yaml,0.905337623229263,0.1383434299826166,0.5217185801389611,1.0,14,medium,1,measured_pairwise,True,1,medium,measured_pairwise,0.345,0.655,0.0
resnet34_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,resnet34_cifar100_bs128_20e_1gpu.yaml,1076,0.02626953125,36.4765625,50.0,65.0,0.20171875,0.079375,0.0693828125,0,evaluation/workloads/training/specs/yaml_threshold_short/resnet34_cifar100_bs128_20e_1gpu.yaml,0.8165087610222757,0.1786543362784118,0.4288341558804358,1.0,16,jumbo,2,measured_pairwise,True,2,jumbo,measured_pairwise,0.25,0.065,0.685
resnet34_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_20e_1gpu.yaml,resnet34_cifar100_bs64_20e_1gpu.yaml,1018,0.024853515625,36.30827067669173,45.0,74.0,0.1799924812030075,0.0722556390977443,0.0601278195488721,0,evaluation/workloads/training/specs/yaml_threshold_short/resnet34_cifar100_bs64_20e_1gpu.yaml,0.9885680054960706,0.02556271682919,0.9314080329764238,1.0,6,tiny,0,measured_pairwise,True,0,tiny,measured_pairwise,0.75,0.14,0.11
efficientnet_cifar100_bs32_10e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_10e_1gpu.yaml,efficientnet_cifar100_bs32_10e_1gpu.yaml,668,0.01630859375,36.83076923076923,40.0,42.0,0.159576923076923,0.0876538461538461,0.0082461538461538,0,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_10e_1gpu.yaml,0.9824505479633672,0.0108687022669507,0.9709388274481184,1.0,4,tiny,0,measured_pairwise,True,0,tiny,measured_pairwise,0.855,0.14,0.005
efficientnet_cifar100_bs32_12e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_12e_1gpu.yaml,efficientnet_cifar100_bs32_12e_1gpu.yaml,668,0.01630859375,34.93129770992366,40.0,42.0,0.1524656488549618,0.0842977099236641,0.0079618320610687,0,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_12e_1gpu.yaml,0.9985975609756098,0.0028048780487804,0.9929878048780488,1.0,5,tiny,0,measured_pairwise,True,0,tiny,measured_pairwise,0.865,0.13,0.005
efficientnet_cifar100_bs64_25e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs64_25e_1gpu.yaml,efficientnet_cifar100_bs64_25e_1gpu.yaml,724,0.01767578125,36.4436090225564,40.39999999999999,62.0,0.1862706766917293,0.1108045112781954,0.0108345864661654,0,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs64_25e_1gpu.yaml,1.0,0.0,1.0,1.0,2,tiny,0,insufficient_pairwise,False,0,tiny,low_coverage_pairwise,0.685,0.305,0.01
mobilenet_cifar100_bs32_15e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/mobilenet_cifar100_bs32_15e_1gpu.yaml,mobilenet_cifar100_bs32_15e_1gpu.yaml,592,0.014453125,29.54615384615385,39.0,44.0,0.0877846153846153,0.0436615384615384,0.0019,0,evaluation/workloads/training/specs/yaml_lucid_calibration/mobilenet_cifar100_bs32_15e_1gpu.yaml,0.9496063968051712,0.0438093010191174,0.8911548642764283,1.0,5,medium,1,measured_pairwise,True,1,medium,measured_pairwise,0.26,0.74,0.0
