spec_key,representative_spec_path,lucid_mean_normalized_speed,lucid_std_normalized_speed,lucid_min_normalized_speed,lucid_max_normalized_speed,lucid_num_pair_observations,lucid_class,lucid_ss,lucid_label_source,lucid_label_usable
efficientnet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs128_20e_1gpu.yaml,0.9449735024175924,0.10819917245163684,0.5746950285048734,1.0,15,medium,1,measured_pairwise,True
efficientnet_cifar100_bs32_10e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_10e_1gpu.yaml,0.9824505479633672,0.010868702266950706,0.9709388274481184,1.0,4,tiny,0,measured_pairwise,True
efficientnet_cifar100_bs32_12e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_12e_1gpu.yaml,0.9985975609756098,0.0028048780487804677,0.9929878048780488,1.0,5,tiny,0,measured_pairwise,True
efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_cifar100_bs64_20e_1gpu.yaml,1.0,0.0,1.0,1.0,1,tiny,0,insufficient_pairwise,False
efficientnet_cifar100_bs64_25e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs64_25e_1gpu.yaml,1.0,0.0,1.0,1.0,2,tiny,0,insufficient_pairwise,False
efficientnet_imagenet_bs128_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs128_maxbatches1200.yaml,0.8337394703101354,0.1565364134766358,0.4903057419835943,0.9818832036469386,13,jumbo,2,measured_pairwise,True
efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs32_maxbatches1200.yaml,0.9968587605677499,0.003141239432250087,0.9937175211354998,1.0,2,tiny,0,insufficient_pairwise,False
efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs64_maxbatches1200.yaml,0.8078461033396475,0.15720152897227624,0.403916890346953,0.983717692633618,21,jumbo,2,measured_pairwise,True
llama3_width_8layer_wiki_bs1_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000.yaml,0.8956322007620303,0.1046568176920318,0.6565757500056776,0.9798346099098488,9,medium,1,measured_pairwise,True
mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_cifar100_bs128_20e_1gpu.yaml,0.892846710477721,0.14534441102205356,0.4860473011202896,1.0,17,medium,1,measured_pairwise,True
mobilenet_cifar100_bs32_15e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/mobilenet_cifar100_bs32_15e_1gpu.yaml,0.9496063968051713,0.04380930101911746,0.8911548642764283,1.0,5,medium,1,measured_pairwise,True
mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_cifar100_bs32_20e_1gpu.yaml,1.0,0.0,1.0,1.0,1,tiny,0,insufficient_pairwise,False
mobilenet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_cifar100_bs64_20e_1gpu.yaml,0.9991472740276173,0.0019067532404272653,0.994883644165704,1.0,6,tiny,0,measured_pairwise,True
