run_id,pair_id,spec_a,spec_b,spec_a_key,spec_b_key,solo_time_a_s,solo_time_b_s,pair_time_a_s,pair_time_b_s,normalized_speed_a,normalized_speed_b,return_code_a,return_code_b,run_dir
20260531-021031-2c7396b5,efficientnet_imagenet_bs64_maxbatches1200__PLUS__llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000.yaml,efficientnet_imagenet_bs64_1gpu.yaml,llama3_width_8layer_wiki_bs1_1gpu.yaml,162.52,289.11,204.71,328.22,0.7939035709051829,0.8808421180915239,0.0,0.0,evaluation/lucid/results/pairwise_runs/efficientnet_imagenet_bs64_maxbatches1200__PLUS__llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000/20260531-021031-2c7396b5
20260531-021652-168d9da5,efficientnet_imagenet_bs64_maxbatches1200__PLUS__mobilenet_imagenet_bs64_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_imagenet_bs64_maxbatches1200.yaml,efficientnet_imagenet_bs64_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,162.52,154.04,188.79,173.98,0.8608506806504582,0.8853891251868031,0.0,0.0,evaluation/lucid/results/pairwise_runs/efficientnet_imagenet_bs64_maxbatches1200__PLUS__mobilenet_imagenet_bs64_maxbatches1200/20260531-021652-168d9da5
20260531-022009-d76b3a56,efficientnet_imagenet_bs64_maxbatches1200__PLUS__resnet50_imagenet_bs64_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/resnet50_imagenet_bs64_maxbatches1200.yaml,efficientnet_imagenet_bs64_1gpu.yaml,resnet50_imagenet_bs64_1gpu.yaml,162.52,175.52,212.56,212.4,0.7645841174256681,0.8263653483992467,0.0,0.0,evaluation/lucid/results/pairwise_runs/efficientnet_imagenet_bs64_maxbatches1200__PLUS__resnet50_imagenet_bs64_maxbatches1200/20260531-022009-d76b3a56
20260531-022351-27c74e55,efficientnet_imagenet_bs64_maxbatches1200__PLUS__vgg16_imagenet_bs64_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/vgg16_imagenet_bs64_maxbatches1200.yaml,efficientnet_imagenet_bs64_1gpu.yaml,vgg16_imagenet_bs64_1gpu.yaml,162.52,227.42,285.44,258.49,0.5693665919282511,0.8798019265735617,0.0,0.0,evaluation/lucid/results/pairwise_runs/efficientnet_imagenet_bs64_maxbatches1200__PLUS__vgg16_imagenet_bs64_maxbatches1200/20260531-022351-27c74e55
20260531-022845-30e9a4dd,efficientnet_imagenet_bs64_maxbatches1200__PLUS__xception_imagenet_bs32_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/xception_imagenet_bs32_maxbatches1200.yaml,efficientnet_imagenet_bs64_1gpu.yaml,xception_imagenet_bs32_1gpu.yaml,162.52,151.31,206.53,194.06,0.7869074710695784,0.7797073070184479,0.0,0.0,evaluation/lucid/results/pairwise_runs/efficientnet_imagenet_bs64_maxbatches1200__PLUS__xception_imagenet_bs32_maxbatches1200/20260531-022845-30e9a4dd
20260531-023221-6d957f23,llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000__PLUS__mobilenet_imagenet_bs64_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000.yaml,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_imagenet_bs64_maxbatches1200.yaml,llama3_width_8layer_wiki_bs1_1gpu.yaml,mobilenet_imagenet_bs64_1gpu.yaml,289.11,154.04,316.69,177.03,0.9129116801919859,0.870135005366322,0.0,0.0,evaluation/lucid/results/pairwise_runs/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000__PLUS__mobilenet_imagenet_bs64_maxbatches1200/20260531-023221-6d957f23
20260531-023829-5351f1a0,llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000__PLUS__resnet50_imagenet_bs64_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000.yaml,evaluation/workloads/training/specs/yaml_threshold_short/resnet50_imagenet_bs64_maxbatches1200.yaml,llama3_width_8layer_wiki_bs1_1gpu.yaml,resnet50_imagenet_bs64_1gpu.yaml,289.11,175.52,340.34,208.14,0.8494740553564084,0.8432785625060056,0.0,0.0,evaluation/lucid/results/pairwise_runs/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000__PLUS__resnet50_imagenet_bs64_maxbatches1200/20260531-023829-5351f1a0
20260531-024513-9af9a89e,llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000__PLUS__xception_imagenet_bs32_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000.yaml,evaluation/workloads/training/specs/yaml_threshold_short/xception_imagenet_bs32_maxbatches1200.yaml,llama3_width_8layer_wiki_bs1_1gpu.yaml,xception_imagenet_bs32_1gpu.yaml,289.11,151.31,338.04,178.26,0.8552538161164359,0.8488163356894425,0.0,0.0,evaluation/lucid/results/pairwise_runs/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000__PLUS__xception_imagenet_bs32_maxbatches1200/20260531-024513-9af9a89e
20260531-025147-35bf05cc,mobilenet_imagenet_bs64_maxbatches1200__PLUS__resnet50_imagenet_bs64_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/resnet50_imagenet_bs64_maxbatches1200.yaml,mobilenet_imagenet_bs64_1gpu.yaml,resnet50_imagenet_bs64_1gpu.yaml,154.04,175.52,187.07,209.45,0.8234350777783718,0.8380042969682503,0.0,0.0,evaluation/lucid/results/pairwise_runs/mobilenet_imagenet_bs64_maxbatches1200__PLUS__resnet50_imagenet_bs64_maxbatches1200/20260531-025147-35bf05cc
20260531-025526-d218a672,mobilenet_imagenet_bs64_maxbatches1200__PLUS__vgg16_imagenet_bs64_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/vgg16_imagenet_bs64_maxbatches1200.yaml,mobilenet_imagenet_bs64_1gpu.yaml,vgg16_imagenet_bs64_1gpu.yaml,154.04,227.42,250.15,250.97,0.6157905256845893,0.9061640833565764,0.0,0.0,evaluation/lucid/results/pairwise_runs/mobilenet_imagenet_bs64_maxbatches1200__PLUS__vgg16_imagenet_bs64_maxbatches1200/20260531-025526-d218a672
20260531-025947-91e01235,mobilenet_imagenet_bs64_maxbatches1200__PLUS__xception_imagenet_bs32_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/xception_imagenet_bs32_maxbatches1200.yaml,mobilenet_imagenet_bs64_1gpu.yaml,xception_imagenet_bs32_1gpu.yaml,154.04,151.31,183.39,182.91,0.8399585582638094,0.8272374391777377,0.0,0.0,evaluation/lucid/results/pairwise_runs/mobilenet_imagenet_bs64_maxbatches1200__PLUS__xception_imagenet_bs32_maxbatches1200/20260531-025947-91e01235
20260531-030259-a03d05fe,resnet50_imagenet_bs64_maxbatches1200__PLUS__vgg16_imagenet_bs64_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/resnet50_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/vgg16_imagenet_bs64_maxbatches1200.yaml,resnet50_imagenet_bs64_1gpu.yaml,vgg16_imagenet_bs64_1gpu.yaml,175.52,227.42,322.18,264.26,0.5447886274753244,0.8605918413683493,0.0,0.0,evaluation/lucid/results/pairwise_runs/resnet50_imagenet_bs64_maxbatches1200__PLUS__vgg16_imagenet_bs64_maxbatches1200/20260531-030259-a03d05fe
20260531-030831-c8f4500c,resnet50_imagenet_bs64_maxbatches1200__PLUS__xception_imagenet_bs32_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/resnet50_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/xception_imagenet_bs32_maxbatches1200.yaml,resnet50_imagenet_bs64_1gpu.yaml,xception_imagenet_bs32_1gpu.yaml,175.52,151.31,230.74,206.96,0.760683019849181,0.7311074603788171,0.0,0.0,evaluation/lucid/results/pairwise_runs/resnet50_imagenet_bs64_maxbatches1200__PLUS__xception_imagenet_bs32_maxbatches1200/20260531-030831-c8f4500c
20260531-031230-49e4cdd6,vgg16_imagenet_bs64_maxbatches1200__PLUS__xception_imagenet_bs32_maxbatches1200,evaluation/workloads/training/specs/yaml_threshold_short/vgg16_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/xception_imagenet_bs32_maxbatches1200.yaml,vgg16_imagenet_bs64_1gpu.yaml,xception_imagenet_bs32_1gpu.yaml,227.42,151.31,268.64,286.28,0.8465604526503872,0.5285384937823111,0.0,0.0,evaluation/lucid/results/pairwise_runs/vgg16_imagenet_bs64_maxbatches1200__PLUS__xception_imagenet_bs32_maxbatches1200/20260531-031230-49e4cdd6
20260531-180309-e269d676,efficientnet_imagenet_bs64_maxbatches1200__PLUS__mobilenet_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_cifar100_bs64_20e_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,162.52,421.96,167.38,412.29,0.970964272911937,1.023454364646244,0.0,0.0,evaluation/lucid/results/pairwise_runs/efficientnet_imagenet_bs64_maxbatches1200__PLUS__mobilenet_cifar100_bs64_20e_1gpu/20260531-180309-e269d676
20260531-181010-cef92ee4,efficientnet_imagenet_bs64_maxbatches1200__PLUS__resnet18_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/resnet18_cifar100_bs32_20e_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,162.52,467.68,165.21,452.2,0.9837176926336179,1.034232640424591,0.0,0.0,evaluation/lucid/results/pairwise_runs/efficientnet_imagenet_bs64_maxbatches1200__PLUS__resnet18_cifar100_bs32_20e_1gpu/20260531-181010-cef92ee4
20260531-181750-8272ff15,efficientnet_imagenet_bs64_maxbatches1200__PLUS__resnet34_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/resnet34_cifar100_bs64_20e_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,resnet34_cifar100_bs64_20e_1gpu.yaml,162.52,370.57,167.37,414.57,0.9710222859532772,0.8938659333767518,0.0,0.0,evaluation/lucid/results/pairwise_runs/efficientnet_imagenet_bs64_maxbatches1200__PLUS__resnet34_cifar100_bs64_20e_1gpu/20260531-181750-8272ff15
20260531-182453-3aabbcb6,efficientnet_imagenet_bs64_maxbatches1200__PLUS__unet_voc_1gpu,evaluation/workloads/training/specs/yaml_threshold_short/efficientnet_imagenet_bs64_maxbatches1200.yaml,evaluation/workloads/training/specs/yaml_threshold_short/unet_voc_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,unet_voc_1gpu.yaml,162.52,1839.7,203.43,1891.93,0.7988988841370496,0.9723932703641255,0.0,0.0,evaluation/lucid/results/pairwise_runs/efficientnet_imagenet_bs64_maxbatches1200__PLUS__unet_voc_1gpu/20260531-182453-3aabbcb6
20260531-185633-c2cb109d,llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000__PLUS__mobilenet_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_threshold_short/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000.yaml,evaluation/workloads/training/specs/yaml_threshold_short/mobilenet_cifar100_bs64_20e_1gpu.yaml,llama3_width_8layer_wiki_bs1_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,289.11,421.96,295.06,462.93,0.9798346099098488,0.9114984986931068,0.0,0.0,evaluation/lucid/results/pairwise_runs/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000__PLUS__mobilenet_cifar100_bs64_20e_1gpu/20260531-185633-c2cb109d
20260531-190424-98172024,llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000__PLUS__resnet18_cifar100_bs32_20e_1gpu,evaluation/workloads/training/specs/yaml_threshold_short/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000.yaml,evaluation/workloads/training/specs/yaml_threshold_short/resnet18_cifar100_bs32_20e_1gpu.yaml,llama3_width_8layer_wiki_bs1_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu.yaml,289.11,467.68,309.53,468.93,0.9340290117274579,0.9973343569402683,0.0,0.0,evaluation/lucid/results/pairwise_runs/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000__PLUS__resnet18_cifar100_bs32_20e_1gpu/20260531-190424-98172024
20260531-191222-8128d5ab,llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000__PLUS__resnet34_cifar100_bs64_20e_1gpu,evaluation/workloads/training/specs/yaml_threshold_short/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000.yaml,evaluation/workloads/training/specs/yaml_threshold_short/resnet34_cifar100_bs64_20e_1gpu.yaml,llama3_width_8layer_wiki_bs1_1gpu.yaml,resnet34_cifar100_bs64_20e_1gpu.yaml,289.11,370.57,311.72,424.2,0.9274669575259848,0.8735737859500236,0.0,0.0,evaluation/lucid/results/pairwise_runs/llama3_width_8layer_wiki_bs1_1gpu_maxsteps2000__PLUS__resnet34_cifar100_bs64_20e_1gpu/20260531-191222-8128d5ab
