run_id,pair_id,status,gpu_id,spec_a,spec_b,return_code_a,return_code_b,elapsed_seconds,run_dir,metadata_path,out_a,err_a,out_b,err_b
20260602-194114-09b4a552,mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu,started,0,evaluation/workloads/training/specs/yaml_lucid_calibration/mobilenet_cifar100_bs32_15e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet18_cifar100_bs32_25e_1gpu.yaml,,,,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu/20260602-194114-09b4a552,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu/20260602-194114-09b4a552/metadata.json,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu/20260602-194114-09b4a552/out_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu/20260602-194114-09b4a552/err_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu/20260602-194114-09b4a552/out_b.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu/20260602-194114-09b4a552/err_b.log
20260602-194114-09b4a552,mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu,finished,0,evaluation/workloads/training/specs/yaml_lucid_calibration/mobilenet_cifar100_bs32_15e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet18_cifar100_bs32_25e_1gpu.yaml,0,0,574.084,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu/20260602-194114-09b4a552,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu/20260602-194114-09b4a552/metadata.json,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu/20260602-194114-09b4a552/out_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu/20260602-194114-09b4a552/err_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu/20260602-194114-09b4a552/out_b.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet18_cifar100_bs32_25e_1gpu/20260602-194114-09b4a552/err_b.log
20260602-195048-500f385c,resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu,started,0,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet18_cifar100_bs32_25e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet34_cifar100_bs32_15e_1gpu.yaml,,,,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-195048-500f385c,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-195048-500f385c/metadata.json,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-195048-500f385c/out_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-195048-500f385c/err_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-195048-500f385c/out_b.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-195048-500f385c/err_b.log
20260602-195048-500f385c,resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu,finished,0,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet18_cifar100_bs32_25e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet34_cifar100_bs32_15e_1gpu.yaml,0,0,556.077,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-195048-500f385c,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-195048-500f385c/metadata.json,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-195048-500f385c/out_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-195048-500f385c/err_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-195048-500f385c/out_b.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/resnet18_cifar100_bs32_25e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-195048-500f385c/err_b.log
20260602-200005-6d0b0f23,mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu,started,0,evaluation/workloads/training/specs/yaml_lucid_calibration/mobilenet_cifar100_bs32_15e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet34_cifar100_bs32_15e_1gpu.yaml,,,,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200005-6d0b0f23,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200005-6d0b0f23/metadata.json,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200005-6d0b0f23/out_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200005-6d0b0f23/err_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200005-6d0b0f23/out_b.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200005-6d0b0f23/err_b.log
20260602-200005-6d0b0f23,mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu,finished,0,evaluation/workloads/training/specs/yaml_lucid_calibration/mobilenet_cifar100_bs32_15e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet34_cifar100_bs32_15e_1gpu.yaml,0,0,563.084,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200005-6d0b0f23,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200005-6d0b0f23/metadata.json,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200005-6d0b0f23/out_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200005-6d0b0f23/err_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200005-6d0b0f23/out_b.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs32_15e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200005-6d0b0f23/err_b.log
20260602-200928-8ad4da80,efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu,started,0,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_10e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet34_cifar100_bs32_15e_1gpu.yaml,,,,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200928-8ad4da80,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200928-8ad4da80/metadata.json,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200928-8ad4da80/out_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200928-8ad4da80/err_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200928-8ad4da80/out_b.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200928-8ad4da80/err_b.log
20260602-200928-8ad4da80,efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu,finished,0,evaluation/workloads/training/specs/yaml_lucid_calibration/efficientnet_cifar100_bs32_10e_1gpu.yaml,evaluation/workloads/training/specs/yaml_lucid_calibration/resnet34_cifar100_bs32_15e_1gpu.yaml,0,0,577.090,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200928-8ad4da80,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200928-8ad4da80/metadata.json,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200928-8ad4da80/out_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200928-8ad4da80/err_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200928-8ad4da80/out_b.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/efficientnet_cifar100_bs32_10e_1gpu__PLUS__resnet34_cifar100_bs32_15e_1gpu/20260602-200928-8ad4da80/err_b.log
20260602-201906-333592aa,mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,started,0,evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,,,,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu/20260602-201906-333592aa,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu/20260602-201906-333592aa/metadata.json,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu/20260602-201906-333592aa/out_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu/20260602-201906-333592aa/err_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu/20260602-201906-333592aa/out_b.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu/20260602-201906-333592aa/err_b.log
20260602-201906-333592aa,mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,finished,0,evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,0,0,211.042,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu/20260602-201906-333592aa,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu/20260602-201906-333592aa/metadata.json,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu/20260602-201906-333592aa/out_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu/20260602-201906-333592aa/err_a.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu/20260602-201906-333592aa/out_b.log,evaluation/lucid/results/tiny_medium_calibration/pairwise_runs/mobilenet_cifar100_bs128_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu/20260602-201906-333592aa/err_b.log
