risk_component,summary_window_seconds,total_n,weighted_mean_abs_error,weighted_median_abs_error,weighted_p95_abs_error,weighted_mean_abs_relative_error
mean,5.0,147,0.0488233027105798,0.0212252485994397,0.190386252931323,0.2162076165115813
mean,10.0,147,0.0243614025315645,0.0120041647145326,0.0965815795644889,0.1116513390184677
mean,20.0,147,0.0126828631331906,0.0063372106119363,0.0477453017867112,0.0643888934227334
mean,30.0,147,0.0080063749565781,0.0038094869358751,0.0304810659480195,0.0450750037150374
mean,40.0,147,0.0071446230105883,0.0044942970389246,0.0217750484820607,0.0395238441721752
mean,60.0,147,0.0044313198017613,0.002791843514908,0.0143863830262422,0.0280401988695489
mean,120.0,147,0.0022862311868662,0.0015146732775785,0.0070947528321128,0.0178214636338054
mean,200.0,147,0.0,0.0,0.0,0.0
median,5.0,147,0.0614860544217686,0.0140499999999999,0.2535333333333331,0.2113331498891357
median,10.0,147,0.0148282312925169,0.0053333333333333,0.0421666666666666,0.088890471316993
median,20.0,147,0.0066914965986393,0.0031666666666666,0.0238999999999999,0.0600851330584514
median,30.0,147,0.0047380952380951,0.0021666666666666,0.0174999999999998,0.0479142756080081
median,40.0,147,0.0046741496598638,0.002,0.0194999999999999,0.0406010425940217
median,60.0,147,0.0039959183673469,0.0018333333333333,0.0161666666666665,0.0345492689969079
median,120.0,147,0.0019714285714285,0.001,0.0050999999999999,0.0191742103622832
median,200.0,147,0.0,0.0,0.0,0.0
p95,5.0,147,0.0165417188574032,0.00645,0.0711999999999997,0.0754718466374585
p95,10.0,147,0.0084132840647879,0.0031666666666666,0.0341933333333332,0.0456162054186867
p95,20.0,147,0.0058857641049833,0.0023833333333332,0.0246233333333331,0.0307041511249285
p95,30.0,147,0.0031972789115645,0.0016666666666666,0.0099833333333333,0.0214097277108456
p95,40.0,147,0.0031650542360845,0.0016499999999999,0.0104133333333333,0.0216806053289296
p95,60.0,147,0.0026153418343693,0.0015333333333332,0.0100166666666666,0.0189571955317234
p95,120.0,147,0.0017598720021778,0.0010166666666666,0.0059966666666665,0.0146034426008441
p95,200.0,147,0.0,0.0,0.0,0.0
ewma,5.0,147,0.0380023792645349,0.0200662321300439,0.1036048166647185,0.1907145665321433
ewma,10.0,147,0.0209619390677143,0.0121632018700042,0.0605632900953925,0.1130062896030858
ewma,20.0,147,0.0109607378030603,0.0062789666634946,0.0358873651151425,0.0596906605211635
ewma,30.0,147,0.0094399373529322,0.0040225936202158,0.0321858461344831,0.0561234441327151
ewma,40.0,147,0.008631076588331,0.0044158516828073,0.0295394828911304,0.0495729451966999
ewma,60.0,147,0.006878242517897,0.002839110382212,0.0291861391090566,0.0417664682574961
ewma,120.0,147,0.0059503025610233,0.0027121558046692,0.0260679585118417,0.0405819487677599
ewma,200.0,147,0.0,0.0,0.0,0.0
risk,5.0,147,0.0388346471178929,0.0179210279116056,0.1304018937923721,0.159383294458632
risk,10.0,147,0.0158541548103447,0.010112898608322,0.0481319000888966,0.0750112895754344
risk,20.0,147,0.0080100550944683,0.0055691303728435,0.0236803763594116,0.0438969862444471
risk,30.0,147,0.0054590177613787,0.0032013714325246,0.0162673007403072,0.0330984486456935
risk,40.0,147,0.0051651765359495,0.0033507483477472,0.0161390533588397,0.0303329345463863
risk,60.0,147,0.0038285147025917,0.0022135936263661,0.0130327124842855,0.0258172619684573
risk,120.0,147,0.0027405437297307,0.001683257218485,0.0099060031270855,0.0204887168987973
risk,200.0,147,0.0,0.0,0.0,0.0
