anchor,workload_id,gpu_memory_peak_200s_mib,gpu_memory_peak_full_mib,underestimate_mib,abs_error_mib
launch,bert_base_wiki_bs32_1gpu,19868.0,19868.0,0.0,0.0
launch,bert_large_wiki_bs8_1gpu,12620.0,12620.0,0.0,0.0
launch,dlrm_criteo_bs32768_1gpu,1364.0,1364.0,0.0,0.0
launch,efficientnet_cifar100_bs128_20e_1gpu,860.0,860.0,0.0,0.0
launch,efficientnet_cifar100_bs128_50e_1gpu,860.0,860.0,0.0,0.0
launch,efficientnet_cifar100_bs32_20e_1gpu,668.0,668.0,0.0,0.0
launch,efficientnet_cifar100_bs32_50e_1gpu,668.0,668.0,0.0,0.0
launch,efficientnet_cifar100_bs64_20e_1gpu,724.0,724.0,0.0,0.0
launch,efficientnet_cifar100_bs64_50e_1gpu,724.0,724.0,0.0,0.0
launch,efficientnet_imagenet_bs128_1gpu,12732.0,12732.0,0.0,0.0
launch,efficientnet_imagenet_bs32_1gpu,3760.0,3760.0,0.0,0.0
launch,efficientnet_imagenet_bs64_1gpu,6724.0,6724.0,0.0,0.0
launch,gpt2_xl_wiki_bs2_1gpu,40182.0,40182.0,0.0,0.0
launch,inception_imagenet_bs128_1gpu,17964.0,17964.0,0.0,0.0
launch,inception_imagenet_bs32_1gpu,5246.0,5246.0,0.0,0.0
launch,inception_imagenet_bs64_1gpu,9408.0,9408.0,0.0,0.0
launch,llama3_width_8layer_wiki_bs1_1gpu,28712.0,28712.0,0.0,0.0
launch,maskrcnn_coco_bs8_1gpu,29854.0,29936.0,82.0,82.0
launch,mnist_bs32_1gpu,1098.0,1098.0,0.0,0.0
launch,mobilenet_cifar100_bs128_20e_1gpu,634.0,634.0,0.0,0.0
launch,mobilenet_cifar100_bs128_50e_1gpu,634.0,634.0,0.0,0.0
launch,mobilenet_cifar100_bs32_20e_1gpu,592.0,592.0,0.0,0.0
launch,mobilenet_cifar100_bs32_50e_1gpu,592.0,592.0,0.0,0.0
launch,mobilenet_cifar100_bs64_20e_1gpu,602.0,602.0,0.0,0.0
launch,mobilenet_cifar100_bs64_50e_1gpu,602.0,602.0,0.0,0.0
launch,mobilenet_imagenet_bs128_1gpu,11598.0,11602.0,4.0,4.0
launch,mobilenet_imagenet_bs32_1gpu,3354.0,3356.0,2.0,2.0
launch,mobilenet_imagenet_bs64_1gpu,6162.0,6164.0,2.0,2.0
launch,resnet18_cifar100_bs128_20e_1gpu,852.0,852.0,0.0,0.0
launch,resnet18_cifar100_bs128_50e_1gpu,852.0,852.0,0.0,0.0
launch,resnet18_cifar100_bs32_20e_1gpu,790.0,790.0,0.0,0.0
launch,resnet18_cifar100_bs32_50e_1gpu,790.0,790.0,0.0,0.0
launch,resnet18_cifar100_bs64_20e_1gpu,798.0,798.0,0.0,0.0
launch,resnet18_cifar100_bs64_50e_1gpu,798.0,798.0,0.0,0.0
launch,resnet34_cifar100_bs128_20e_1gpu,1076.0,1076.0,0.0,0.0
launch,resnet34_cifar100_bs128_50e_1gpu,1076.0,1076.0,0.0,0.0
launch,resnet34_cifar100_bs32_20e_1gpu,1004.0,1004.0,0.0,0.0
launch,resnet34_cifar100_bs32_50e_1gpu,1004.0,1004.0,0.0,0.0
