workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,gpu_memory_peak_mib_peak_200s,gpu_memory_peak_mib_peak_full,gputl_max_200s,gputl_max_full,gputl_mean_200s,gputl_mean_full,gputl_median_200s,gputl_median_full,horus_oracle_util_full,horus_profile_util_200s,horus_oracle_util_median_full,horus_profile_util_median_200s,horus_oracle_util_max_full,horus_profile_util_max_200s,horus_oracle_memory_full_mib,horus_profile_memory_200s_mib,horus_oracle_util_source,horus_abs_error_200s_vs_full_util,horus_relative_error_200s_vs_full_util
dlrm_criteo_bs32768_1gpu,2026-05-01_16-29-10_19efbd5e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,1,single,1470.27,1471.7,0,1468.0,5.0,1364.0,1364.0,72.0,92.0,10.477611940298509,13.668012108980829,0.0,0.0,13.668012108980829,10.477611940298509,0.0,0.0,92.0,72.0,1364.0,1364.0,gputl_mean_full,3.19040016868232,0.23342093519115384
efficientnet_cifar100_bs128_20e_1gpu,2026-04-30_18-01-13_c258c405,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml,1,single,269.74,273.26,0,866.0,0.2279,860.0,860.0,56.0,56.0,37.25185185185185,36.75,38.0,38.0,36.75,37.25185185185185,38.0,38.0,56.0,56.0,860.0,860.0,gputl_mean_full,0.5018518518518533,0.013655832703451791
efficientnet_cifar100_bs128_50e_1gpu,2026-04-30_18-05-52_f1dab574,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_50e_1gpu.yaml,1,single,679.85,683.36,0,866.0,0.2279,860.0,860.0,57.0,57.0,36.22222222222222,36.28913043478261,38.0,38.0,36.28913043478261,36.22222222222222,38.0,38.0,57.0,57.0,860.0,860.0,gputl_mean_full,0.06690821256038504,0.0018437535360796213
efficientnet_cifar100_bs32_20e_1gpu,2026-04-30_18-17-21_efe2443f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_20e_1gpu.yaml,1,single,1050.35,1053.86,0,666.0,0.0626,668.0,668.0,42.0,53.0,36.83076923076923,37.24853801169591,37.0,38.0,37.24853801169591,36.83076923076923,38.0,37.0,53.0,42.0,668.0,668.0,gputl_mean_full,0.4177687809266857,0.011215709480879698
efficientnet_cifar100_bs32_50e_1gpu,2026-04-30_18-35-01_e176053f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,1,single,2615.28,2618.8,0,666.0,0.0626,668.0,668.0,42.0,53.0,34.93129770992366,37.26143024618992,37.0,38.0,37.26143024618992,34.93129770992366,38.0,37.0,53.0,42.0,668.0,668.0,gputl_mean_full,2.3301325362662553,0.06253470467641316
efficientnet_cifar100_bs64_20e_1gpu,2026-04-30_19-18-46_69110578,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,1,single,537.32,540.85,0,720.0,0.1157,724.0,724.0,58.0,58.0,37.18796992481203,36.48179271708683,38.0,38.0,36.48179271708683,37.18796992481203,38.0,38.0,58.0,58.0,724.0,724.0,gputl_mean_full,0.7061772077251973,0.019356976593818753
efficientnet_cifar100_bs64_50e_1gpu,2026-04-30_19-27-52_64926164,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,1,single,1370.48,1374.02,0,720.0,0.1157,724.0,724.0,62.0,62.0,36.4436090225564,36.45534729878721,38.0,37.0,36.45534729878721,36.4436090225564,37.0,38.0,62.0,62.0,724.0,724.0,gputl_mean_full,0.011738276230808253,0.00032199051992569443
efficientnet_imagenet_bs128_1gpu,2026-04-30_19-50-52_0b82eaa7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,1,single,1642.04,1646.54,0,12666.0,10.6493,12732.0,12732.0,86.0,86.0,75.63432835820896,76.69015356820235,81.5,82.0,76.69015356820235,75.63432835820896,82.0,81.5,86.0,86.0,12732.0,12732.0,gputl_mean_full,1.0558252099933867,0.013767415513836683
efficientnet_imagenet_bs32_1gpu,2026-04-30_20-18-24_82342dc2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,1,single,2187.12,2191.55,0,3752.0,2.666,3760.0,3760.0,100.0,100.0,62.696296296296296,63.09010840108401,65.0,64.0,63.09010840108401,62.696296296296296,64.0,65.0,100.0,100.0,3760.0,3760.0,gputl_mean_full,0.3938121047877132,0.006242057824407649
efficientnet_imagenet_bs64_1gpu,2026-04-30_20-55-01_cbad426a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,1,single,1694.95,1699.31,0,6692.0,5.3271,6724.0,6724.0,83.0,84.0,77.58518518518518,75.83641160949868,78.0,78.0,75.83641160949868,77.58518518518518,78.0,78.0,84.0,83.0,6724.0,6724.0,gputl_mean_full,1.7487735756864993,0.023059814389575644
gpt2_large_wiki_bs8_2gpu,2026-05-03_22-30-47_60bba3e7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2,gpu_a,3943.9,3981.23,0,28356.0,-2.0,28330.0,28330.0,100.0,100.0,95.01069518716578,96.53835616438356,99.0,99.0,96.53835616438356,95.01069518716578,99.0,99.0,100.0,100.0,28330.0,28330.0,gputl_mean_full,1.5276609772177778,0.015824393929149857
gpt2_large_wiki_bs8_2gpu,2026-05-03_22-30-47_60bba3e7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2,gpu_b,3943.9,3981.23,0,28356.0,-2.0,16458.0,16458.0,100.0,100.0,91.02139037433156,92.06301369863014,98.0,98.0,92.06301369863014,91.02139037433156,98.0,98.0,100.0,100.0,16458.0,16458.0,gputl_mean_full,1.041623324298584,0.011314243173793504
inception_imagenet_bs128_1gpu,2026-05-01_01-24-22_a8c790c1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,1,single,2978.89,2983.56,0,17830.0,11.9588,17964.0,17964.0,100.0,100.0,76.32835820895522,78.90409590409591,75.0,75.0,78.90409590409591,76.32835820895522,75.0,75.0,100.0,100.0,17964.0,17964.0,gputl_mean_full,2.5757376951406883,0.032643903534125426
inception_imagenet_bs32_1gpu,2026-05-01_02-14-11_813e5ea8,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs32_1gpu.yaml,1,single,3354.87,3359.46,0,5230.0,2.9989,5246.0,5246.0,100.0,100.0,75.45185185185186,77.54203539823008,78.0,79.0,77.54203539823008,75.45185185185186,79.0,78.0,100.0,100.0,5246.0,5246.0,gputl_mean_full,2.0901835463782277,0.026955489827468943
inception_imagenet_bs64_1gpu,2026-05-01_03-10-16_4e930f6d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,1,single,3078.71,3083.32,0,9332.0,5.984,9408.0,9408.0,86.0,86.0,78.96268656716418,78.39039767216295,83.0,82.0,78.39039767216295,78.96268656716418,82.0,83.0,86.0,86.0,9408.0,9408.0,gputl_mean_full,0.5722888950012361,0.007300497407789787
maskrcnn_coco_bs8_1gpu,2026-05-02_01-18-52_9c1b6ef1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,1,single,6564.68,6582.08,0,28606.0,1.0,29854.0,29936.0,100.0,100.0,84.67424242424242,80.7973811164714,84.5,84.0,80.7973811164714,84.67424242424242,84.0,84.5,100.0,100.0,29936.0,29854.0,gputl_mean_full,3.876861307771023,0.04798251198491734
mnist_bs32_1gpu,2026-05-01_17-54-59_06784923,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mnist_bs32_1gpu.yaml,1,single,139.54,140.45,0,1776.0,0.0363,1098.0,1098.0,20.0,20.0,16.285714285714285,16.285714285714285,19.0,19.0,16.285714285714285,16.285714285714285,19.0,19.0,20.0,20.0,1098.0,1098.0,gputl_mean_full,0.0,0.0
mobilenet_cifar100_bs128_20e_1gpu,2026-05-01_04-01-49_ab92b1b5,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,1,single,195.16,198.4,0,632.0,0.048,634.0,634.0,46.0,46.0,32.61538461538461,32.61538461538461,36.0,36.0,32.61538461538461,32.61538461538461,36.0,36.0,46.0,46.0,634.0,634.0,gputl_mean_full,0.0,0.0
mobilenet_cifar100_bs128_50e_1gpu,2026-05-01_04-05-13_1121d682,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_50e_1gpu.yaml,1,single,572.07,575.3,0,632.0,0.048,634.0,634.0,48.0,55.0,31.99236641221374,31.681818181818183,33.0,32.0,31.681818181818183,31.99236641221374,32.0,33.0,55.0,48.0,634.0,634.0,gputl_mean_full,0.31054823039555757,0.009802096224823911
mobilenet_cifar100_bs32_20e_1gpu,2026-05-01_04-14-54_00788871,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,1,single,900.11,903.35,0,590.0,0.0148,592.0,592.0,42.0,43.0,24.348837209302324,25.90721649484536,23.0,24.0,25.90721649484536,24.348837209302324,24.0,23.0,43.0,42.0,592.0,592.0,gputl_mean_full,1.5583792855430367,0.06015232419326485
mobilenet_cifar100_bs32_50e_1gpu,2026-05-01_04-30-03_5aebaa38,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,1,single,2038.8,2042.09,0,590.0,0.0148,592.0,592.0,44.0,44.0,29.54615384615385,28.466970387243737,33.0,30.0,28.466970387243737,29.54615384615385,30.0,33.0,44.0,44.0,592.0,592.0,gputl_mean_full,1.0791834589101121,0.03791002148207884
mobilenet_cifar100_bs64_20e_1gpu,2026-05-01_05-04-11_a5c47ecb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,1,single,414.75,418.09,0,598.0,0.0253,602.0,602.0,46.0,46.0,30.96923076923077,30.125925925925927,33.0,27.0,30.125925925925927,30.96923076923077,27.0,33.0,46.0,46.0,602.0,602.0,gputl_mean_full,0.8433048433048427,0.02799266138336704
mobilenet_cifar100_bs64_50e_1gpu,2026-05-01_05-11-15_2f594179,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_50e_1gpu.yaml,1,single,966.53,969.78,0,598.0,0.0253,602.0,602.0,47.0,48.0,28.523076923076925,31.73217115689382,26.0,36.0,31.73217115689382,28.523076923076925,36.0,26.0,48.0,47.0,602.0,602.0,gputl_mean_full,3.209094233816895,0.1011306228606333
