workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,drama_aegis_profile_risk_full,drama_ewma_full,drama_max_full,drama_mean_full,drama_median_full,drama_mode_full,drama_p95_full,drama_profile_stat_score_full,gpu_memory_peak_mib_peak_full,smact_aegis_profile_risk_full,smact_ewma_full,smact_max_full,smact_mean_full,smact_median_full,smact_mode_full,smact_p95_full,smact_profile_stat_score_full,smocc_aegis_profile_risk_full,smocc_ewma_full,smocc_max_full,smocc_mean_full,smocc_median_full,smocc_mode_full,smocc_p95_full,smocc_profile_stat_score_full,coarse_resource_label
dlrm_criteo_bs32768_1gpu,2026-05-01_16-29-10_19efbd5e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,1,single,1470.27,1471.7,0,1468.0,5.0,0.0395433301174543,0.0200138855555892,0.148,0.023159434914228,0.0,0.0,0.115,0.042789858728557,1364.0,0.20885551506154082,0.1032131803268899,0.822,0.1192088799192734,0.0,0.0,0.613,0.23530221997981834,0.0697373434172089,0.0345492727606621,0.269,0.0399001009081735,0.0,0.0,0.2045,0.07722502522704339,light
efficientnet_cifar100_bs128_20e_1gpu,2026-04-30_18-01-13_c258c405,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml,1,single,269.74,273.26,0,866.0,0.2279,0.021340223637522877,0.0173391554196568,0.029,0.0200217391304347,0.021,0.021,0.027,0.022755434782608677,860.0,0.2302097954679026,0.193637007958567,0.317,0.2246521739130434,0.236,0.238,0.26655,0.2539130434782608,0.14753771059231507,0.121960624977956,0.183,0.1421902173913043,0.155,0.152,0.171,0.15804755434782608,light
efficientnet_cifar100_bs128_50e_1gpu,2026-04-30_18-05-52_f1dab574,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_50e_1gpu.yaml,1,single,679.85,683.36,0,866.0,0.2279,0.020863651294452702,0.0174350399604195,0.028,0.0200195652173913,0.021,0.022,0.025,0.022754891304347824,860.0,0.2276993871536541,0.1932258094841818,0.345,0.2245217391304347,0.236,0.234,0.2570499999999999,0.2598804347826087,0.14600297227130854,0.1221118890852342,0.182,0.1419,0.155,0.158,0.165,0.159225,light
efficientnet_cifar100_bs32_20e_1gpu,2026-04-30_18-17-21_efe2443f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_20e_1gpu.yaml,1,single,1050.35,1053.86,0,666.0,0.0626,0.008358844310908324,0.0071429795828146,0.012,0.0082923976608187,0.009,0.009,0.009,0.009573099415204674,668.0,0.1586816742317953,0.1393597378628537,0.198,0.1593669590643275,0.163,0.163,0.173,0.17084173976608188,0.08851502830687738,0.076551341297685,0.112,0.0875087719298245,0.092,0.092,0.098,0.09587719298245612,light
efficientnet_cifar100_bs32_50e_1gpu,2026-04-30_18-35-01_e176053f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,1,single,2615.28,2618.8,0,666.0,0.0626,0.008353579589465825,0.0071493711128458,0.012,0.0082649472450175,0.009,0.009,0.009,0.009566236811254375,668.0,0.15833282050091246,0.1384737204561703,0.185,0.1598575615474795,0.164,0.165,0.171,0.1684643903868699,0.08827661315651217,0.0761586214419925,0.104,0.0879478311840562,0.092,0.093,0.097,0.09423695779601404,light
efficientnet_cifar100_bs64_20e_1gpu,2026-04-30_19-18-46_69110578,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,1,single,537.32,540.85,0,720.0,0.1157,0.0116431210970569,0.0095248653406086,0.016,0.011047619047619,0.011,0.011,0.015,0.01226190476190475,724.0,0.18750645189859658,0.1607204854655348,0.238,0.1863053221288515,0.195,0.198,0.208,0.20432633053221289,0.11330870154123847,0.0953496521033293,0.145,0.1108851540616246,0.119,0.122,0.128,0.12422128851540615,light
efficientnet_cifar100_bs64_50e_1gpu,2026-04-30_19-27-52_64926164,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,1,single,1370.48,1374.02,0,720.0,0.1157,0.010899224302488625,0.009629973284927,0.016,0.0109669239250275,0.011,0.011,0.012,0.012241730981256875,724.0,0.18797803870841368,0.1625648560464441,0.253,0.1883472987872106,0.194,0.194,0.207,0.20733682469680265,0.11377612558659855,0.0963624957311792,0.133,0.111742006615215,0.119,0.121,0.128,0.12118550165380375,light
efficientnet_imagenet_bs128_1gpu,2026-04-30_19-50-52_0b82eaa7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,1,single,1642.04,1646.54,0,12666.0,10.6493,0.34850987874159123,0.2899591174957237,0.414,0.3480803974706413,0.357,0.356,0.399,0.3687700993676603,12732.0,0.6107879886971822,0.5075421986911678,0.727,0.609609756097561,0.625,0.607,0.701,0.6421524390243902,0.3799283672849175,0.3151262966012781,0.462,0.3775871725383921,0.389,0.389,0.438,0.40439679313459803,light
efficientnet_imagenet_bs32_1gpu,2026-04-30_20-18-24_82342dc2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,1,single,2187.12,2191.55,0,3752.0,2.666,0.21565737095812795,0.1856233862715362,0.259,0.2200060975609756,0.225,0.224,0.232,0.2320015243902439,3760.0,0.4531924444092749,0.3921471489108125,0.544,0.4626226287262873,0.472,0.471,0.486,0.4874056571815718,0.2561234478074597,0.2221015148070746,0.307,0.2613922764227642,0.266,0.267,0.275,0.27534806910569104,light
efficientnet_imagenet_bs64_1gpu,2026-04-30_20-55-01_cbad426a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,1,single,1694.95,1699.31,0,6692.0,5.3271,0.3246845288297404,0.3076237793471059,0.351,0.3191143359718557,0.329,0.339,0.343,0.3345285839929639,6724.0,0.6029252236301859,0.5725035330431708,0.654,0.5919973614775725,0.607,0.63,0.6402000000000001,0.6207493403693931,0.3651968300547767,0.3460951478356416,0.4,0.3576921723834653,0.366,0.378,0.391,0.3754230430958663,light
gpt2_large_wiki_bs8_2gpu,2026-05-03_22-30-47_60bba3e7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2,gpu_a,3943.9,3981.23,0,28356.0,-2.0,0.21447167265429865,0.1849483344528111,0.26,0.2139383561643835,0.211,0.214,0.248,0.2247345890410959,28330.0,0.8560876711444252,0.7280764380023583,0.965,0.8417742465753425,0.8925000000000001,0.962,0.962,0.9153185616438356,0.26631662835751185,0.2325632257588145,0.324,0.2687032876712329,0.27,0.271,0.294,0.28342582191780824,light
gpt2_large_wiki_bs8_2gpu,2026-05-03_22-30-47_60bba3e7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2,gpu_b,3943.9,3981.23,0,28356.0,-2.0,0.16118699192813551,0.1394364608632271,0.19,0.161311506849315,0.16,0.145,0.184,0.16407787671232876,16458.0,0.8411639619958045,0.688736669901026,0.965,0.7969191780821917,0.917,0.962,0.962,0.910229794520548,0.2500807800030225,0.2039250378203091,0.303,0.2358980821917808,0.2675,0.271,0.293,0.2693495205479452,light
inception_imagenet_bs128_1gpu,2026-05-01_01-24-22_a8c790c1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,1,single,2978.89,2983.56,0,17830.0,11.9588,0.35925477047584836,0.3112168841011957,0.433,0.3618021978021978,0.366,0.367,0.398,0.38195054945054946,17964.0,0.6494083061407008,0.5574469108764892,0.786,0.6551863136863136,0.663,0.661,0.722,0.6912965784215784,0.3011828325381801,0.2590050564264467,0.364,0.3037262737262737,0.307,0.306,0.335,0.3201815684315684,light
inception_imagenet_bs32_1gpu,2026-05-01_02-14-11_813e5ea8,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs32_1gpu.yaml,1,single,3354.87,3359.46,0,5230.0,2.9989,0.28710425773743775,0.2482953495338218,0.317,0.2921216814159292,0.297,0.297,0.311,0.3007804203539823,5246.0,0.594976501018788,0.5141436146946207,0.656,0.604762389380531,0.616,0.636,0.645,0.6281905973451327,0.25977809289741377,0.2244079468108941,0.287,0.263704424778761,0.268,0.264,0.283,0.27067610619469024,light
inception_imagenet_bs64_1gpu,2026-05-01_03-10-16_4e930f6d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,1,single,3078.71,3083.32,0,9332.0,5.984,0.3201899424698295,0.2751186447580766,0.375,0.3246411251212415,0.329,0.329,0.352,0.33941028128031037,9408.0,0.6154952738362999,0.5289718809902042,0.725,0.6240092143549952,0.631,0.631,0.678,0.6527523035887488,0.27844667135657164,0.239599003564017,0.331,0.2821876818622696,0.285,0.286,0.307,0.2960469204655674,light
maskrcnn_coco_bs8_1gpu,2026-05-02_01-18-52_9c1b6ef1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,1,single,6564.68,6582.08,0,28606.0,1.0,0.388878114407311,0.2848726689777392,0.538,0.3696397886515047,0.398,0.414,0.503,0.42990994716287617,29936.0,0.6662609452332209,0.5142852236160903,0.874,0.654758557316793,0.705,0.781,0.791,0.7536896393291983,0.32261935441550715,0.2460964849719303,0.415,0.3159809326900988,0.341,0.319,0.3873999999999996,0.3477452331725247,light
mnist_bs32_1gpu,2026-05-01_17-54-59_06784923,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mnist_bs32_1gpu.yaml,1,single,139.54,140.45,0,1776.0,0.0363,0.013316487332911676,0.011540674606372,0.015,0.0127252747252747,0.014,0.014,0.015,0.013931318681318675,1098.0,0.08447436252306578,0.0708205270153401,0.098,0.079076923076923,0.091,0.092,0.097,0.09001923076923075,0.031617918867370504,0.0266914556892623,0.036,0.0297802197802197,0.034,0.034,0.036,0.033445054945054925,light
