workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,gpu_memory_peak_mib_peak_200s,gpu_memory_peak_mib_peak_full,gputl_max_200s,gputl_max_full,gputl_mean_200s,gputl_mean_full,gputl_median_200s,gputl_median_full,horus_oracle_util_full,horus_profile_util_200s,horus_oracle_util_median_full,horus_profile_util_median_200s,horus_oracle_util_max_full,horus_profile_util_max_200s,horus_oracle_memory_full_mib,horus_profile_memory_200s_mib,horus_oracle_util_source,horus_abs_error_200s_vs_full_util,horus_relative_error_200s_vs_full_util
dlrm_criteo_bs32768_1gpu,2026-05-01_16-29-10_19efbd5e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,1,single,1470.27,1471.7,0,1468.0,5.0,1364.0,1364.0,72.0,92.0,10.477611940298509,13.668012108980829,0.0,0.0,13.668012108980829,10.477611940298509,0.0,0.0,92.0,72.0,1364.0,1364.0,gputl_mean_full,3.19040016868232,0.23342093519115384
efficientnet_cifar100_bs128_20e_1gpu,2026-04-30_18-01-13_c258c405,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml,1,single,269.74,273.26,0,866.0,0.2279,860.0,860.0,56.0,56.0,36.97037037037037,36.55135135135135,38.0,38.0,36.55135135135135,36.97037037037037,38.0,38.0,56.0,56.0,860.0,860.0,gputl_mean_full,0.41901901901901795,0.011463844797178102
efficientnet_cifar100_bs128_50e_1gpu,2026-04-30_18-05-52_f1dab574,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_50e_1gpu.yaml,1,single,679.85,683.36,0,866.0,0.2279,860.0,860.0,57.0,57.0,35.925925925925924,36.21041214750542,38.0,38.0,36.21041214750542,35.925925925925924,38.0,38.0,57.0,57.0,860.0,860.0,gputl_mean_full,0.284486221579499,0.007856475657350329
efficientnet_cifar100_bs32_20e_1gpu,2026-04-30_18-17-21_efe2443f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_20e_1gpu.yaml,1,single,1050.35,1053.86,0,666.0,0.0626,668.0,668.0,42.0,53.0,36.261538461538464,37.1399416909621,37.0,38.0,37.1399416909621,36.261538461538464,38.0,37.0,53.0,42.0,668.0,668.0,gputl_mean_full,0.8784032294236326,0.023651174165343118
efficientnet_cifar100_bs32_50e_1gpu,2026-04-30_18-35-01_e176053f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,1,single,2615.28,2618.8,0,666.0,0.0626,668.0,668.0,42.0,53.0,35.70992366412214,37.31943628890194,38.0,38.0,37.31943628890194,35.70992366412214,38.0,38.0,53.0,42.0,668.0,668.0,gputl_mean_full,1.6095126247798035,0.04312799937062395
efficientnet_cifar100_bs64_20e_1gpu,2026-04-30_19-18-46_69110578,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,1,single,537.32,540.85,0,720.0,0.1157,724.0,724.0,58.0,58.0,36.62406015037594,36.27855153203343,38.0,38.0,36.27855153203343,36.62406015037594,38.0,38.0,58.0,58.0,724.0,724.0,gputl_mean_full,0.3455086183425067,0.009523771036928738
efficientnet_cifar100_bs64_50e_1gpu,2026-04-30_19-27-52_64926164,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,1,single,1370.48,1374.02,0,720.0,0.1157,724.0,724.0,62.0,62.0,36.1578947368421,36.41519823788546,38.0,37.0,36.41519823788546,36.1578947368421,37.0,38.0,62.0,62.0,724.0,724.0,gputl_mean_full,0.25730350104336,0.007065827278009099
efficientnet_imagenet_bs128_1gpu,2026-04-30_19-50-52_0b82eaa7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,1,single,1642.04,1646.54,0,12666.0,10.6493,12732.0,12732.0,86.0,86.0,77.27611940298507,76.88858695652173,82.0,82.0,76.88858695652173,77.27611940298507,82.0,82.0,86.0,86.0,12732.0,12732.0,gputl_mean_full,0.3875324464633394,0.005040181668086549
efficientnet_imagenet_bs32_1gpu,2026-04-30_20-18-24_82342dc2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,1,single,2187.12,2191.55,0,3752.0,2.666,3760.0,3760.0,81.0,81.0,63.4,63.15071283095723,65.0,64.0,63.15071283095723,63.4,64.0,65.0,81.0,81.0,3760.0,3760.0,gputl_mean_full,0.24928716904276627,0.003947495726771317
efficientnet_imagenet_bs64_1gpu,2026-04-30_20-55-01_cbad426a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,1,single,1694.95,1699.31,0,6692.0,5.3271,6724.0,6724.0,83.0,84.0,76.46666666666667,75.70324846356453,78.0,78.0,75.70324846356453,76.46666666666667,78.0,78.0,84.0,83.0,6724.0,6724.0,gputl_mean_full,0.7634182031021339,0.010084351974269136
