workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,gpu_memory_peak_mib_peak_200s,gpu_memory_peak_mib_peak_full,gputl_max_200s,gputl_max_full,gputl_mean_200s,gputl_mean_full,gputl_median_200s,gputl_median_full,horus_oracle_util_full,horus_profile_util_200s,horus_oracle_util_median_full,horus_profile_util_median_200s,horus_oracle_util_max_full,horus_profile_util_max_200s,horus_oracle_memory_full_mib,horus_profile_memory_200s_mib,horus_oracle_util_source,horus_abs_error_200s_vs_full_util,horus_relative_error_200s_vs_full_util
dlrm_criteo_bs32768_1gpu,2026-05-01_16-29-10_19efbd5e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,1,single,1470.27,1471.7,0,1468.0,5.0,1364.0,1364.0,72.0,92.0,10.477611940298509,13.626760563380282,0.0,0.0,13.626760563380282,10.477611940298509,0.0,0.0,92.0,72.0,1364.0,1364.0,gputl_mean_full,3.149148623081773,0.23110031239153064
efficientnet_cifar100_bs128_20e_1gpu,2026-04-30_18-01-13_c258c405,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml,1,single,269.74,273.26,0,866.0,0.2279,860.0,860.0,56.0,56.0,36.13333333333333,35.96808510638298,38.0,38.0,35.96808510638298,36.13333333333333,38.0,38.0,56.0,56.0,860.0,860.0,gputl_mean_full,0.16524822695035368,0.004594301488711401
efficientnet_cifar100_bs128_50e_1gpu,2026-04-30_18-05-52_f1dab574,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_50e_1gpu.yaml,1,single,679.85,683.36,0,866.0,0.2279,860.0,860.0,57.0,57.0,35.08148148148148,35.97629310344828,38.0,38.0,35.97629310344828,35.08148148148148,38.0,38.0,57.0,57.0,860.0,860.0,gputl_mean_full,0.8948116219667952,0.024872257388881144
efficientnet_cifar100_bs32_20e_1gpu,2026-04-30_18-17-21_efe2443f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_20e_1gpu.yaml,1,single,1050.35,1053.86,0,666.0,0.0626,668.0,668.0,42.0,53.0,35.40769230769231,36.97822931785196,37.0,38.0,36.97822931785196,35.40769230769231,38.0,37.0,53.0,42.0,668.0,668.0,gputl_mean_full,1.5705370101596543,0.042471936572729484
efficientnet_cifar100_bs32_50e_1gpu,2026-04-30_18-35-01_e176053f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,1,single,2615.28,2618.8,0,666.0,0.0626,668.0,668.0,42.0,53.0,34.93129770992366,37.26143024618992,37.0,38.0,37.26143024618992,34.93129770992366,38.0,37.0,53.0,42.0,668.0,668.0,gputl_mean_full,2.3301325362662553,0.06253470467641316
efficientnet_cifar100_bs64_20e_1gpu,2026-04-30_19-18-46_69110578,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,1,single,537.32,540.85,0,720.0,0.1157,724.0,724.0,58.0,58.0,35.766917293233085,35.97790055248619,38.0,37.0,35.97790055248619,35.766917293233085,37.0,38.0,58.0,58.0,724.0,724.0,gputl_mean_full,0.2109832592531049,0.005864245995824936
efficientnet_cifar100_bs64_50e_1gpu,2026-04-30_19-27-52_64926164,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,1,single,1370.48,1374.02,0,720.0,0.1157,724.0,724.0,62.0,62.0,35.31818181818182,36.29527991218441,38.0,37.0,36.29527991218441,35.31818181818182,37.0,38.0,62.0,62.0,724.0,724.0,gputl_mean_full,0.9770980940025922,0.026920803376269817
efficientnet_imagenet_bs128_1gpu,2026-04-30_19-50-52_0b82eaa7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,1,single,1642.04,1646.54,0,12666.0,10.6493,12732.0,12732.0,86.0,86.0,75.63432835820896,76.69015356820235,81.5,82.0,76.69015356820235,75.63432835820896,82.0,81.5,86.0,86.0,12732.0,12732.0,gputl_mean_full,1.0558252099933867,0.013767415513836683
efficientnet_imagenet_bs32_1gpu,2026-04-30_20-18-24_82342dc2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,1,single,2187.12,2191.55,0,3752.0,2.666,3760.0,3760.0,100.0,100.0,62.696296296296296,63.09010840108401,65.0,64.0,63.09010840108401,62.696296296296296,64.0,65.0,100.0,100.0,3760.0,3760.0,gputl_mean_full,0.3938121047877132,0.006242057824407649
efficientnet_imagenet_bs64_1gpu,2026-04-30_20-55-01_cbad426a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,1,single,1694.95,1699.31,0,6692.0,5.3271,6724.0,6724.0,83.0,84.0,74.17910447761194,75.43832020997375,78.0,78.0,75.43832020997375,74.17910447761194,78.0,78.0,84.0,83.0,6724.0,6724.0,gputl_mean_full,1.2592157323618096,0.016691990607120222
