workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,drama_profile_stat_score_200s,gpu_memory_peak_mib_peak_200s,smact_profile_stat_score_200s,smocc_profile_stat_score_200s,smact_profile_stat_score_200s_normalized,smocc_profile_stat_score_200s_normalized,drama_profile_stat_score_200s_normalized,gpu_memory_peak_mib_peak_200s_normalized,lucid_style_pressure_score_200s,lucid_style_ss_200s,lucid_style_class_200s
dlrm_criteo_bs32768_1gpu,2026-05-01_16-29-10_19efbd5e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,1,single,1470.27,1471.7,0,1468.0,5.0,0.03790298507462685,1364.0,0.20178358208955222,0.0666847014925373,0.24226234043836017,0.1379202568327307,0.07797490365351056,0.045689019896831246,0.24226234043836017,1,Medium
efficientnet_cifar100_bs128_20e_1gpu,2026-04-30_18-01-13_c258c405,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml,1,single,269.74,273.26,0,866.0,0.2279,0.02265,860.0,0.25255370370370367,0.15857777777777776,0.30321719295518124,0.32797759230462187,0.046596107516985626,0.028806860052254305,0.32797759230462187,1,Medium
efficientnet_cifar100_bs128_50e_1gpu,2026-04-30_18-05-52_f1dab574,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_50e_1gpu.yaml,1,single,679.85,683.36,0,866.0,0.2279,0.022294444444444426,860.0,0.26012037037037034,0.15827222222222223,0.3123017693959446,0.3273456287544273,0.045864650347231584,0.028806860052254305,0.3273456287544273,1,Medium
efficientnet_cifar100_bs32_20e_1gpu,2026-04-30_18-17-21_efe2443f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_20e_1gpu.yaml,1,single,1050.35,1053.86,0,666.0,0.0626,0.00872884615384615,668.0,0.16448076923076924,0.09192499999999998,0.19747640367125371,0.19012336151444872,0.017957185601935613,0.02237556106384404,0.19747640367125371,0,Tiny
efficientnet_cifar100_bs32_50e_1gpu,2026-04-30_18-35-01_e176053f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,1,single,2615.28,2618.8,0,666.0,0.0626,0.009240458015267175,668.0,0.16386641221374046,0.09232442748091603,0.1967388036778902,0.19094947514352686,0.019009685438656995,0.02237556106384404,0.1967388036778902,0,Tiny
efficientnet_cifar100_bs64_20e_1gpu,2026-04-30_19-18-46_69110578,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,1,single,537.32,540.85,0,720.0,0.1157,0.01190413533834585,724.0,0.19732894736842105,0.12060526315789473,0.23691408453882784,0.24944115363517705,0.024489464464561204,0.024251356602130368,0.24944115363517705,1,Medium
efficientnet_cifar100_bs64_50e_1gpu,2026-04-30_19-27-52_64926164,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,1,single,1370.48,1374.02,0,720.0,0.1157,0.011880681818181799,724.0,0.19769507575757575,0.1199962121212121,0.2373536600461066,0.24818148727207712,0.024441215336648805,0.024251356602130368,0.24818148727207712,1,Medium
efficientnet_imagenet_bs128_1gpu,2026-04-30_19-50-52_0b82eaa7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,1,single,1642.04,1646.54,0,12666.0,10.6493,0.37044216417910447,12732.0,0.4875186567164179,0.30497574626865676,0.5853172471240422,0.6307643629151443,0.7620822477224898,0.42647551416895557,0.7620822477224898,2,Jumbo
efficientnet_imagenet_bs32_1gpu,2026-04-30_20-18-24_82342dc2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,1,single,2187.12,2191.55,0,3752.0,2.666,0.2325185185185185,3760.0,0.48557962962962964,0.2740648148148148,0.5829892418653675,0.5668330037033179,0.47834251163704644,0.12594627185636767,0.5829892418653675,1,Medium
efficientnet_imagenet_bs64_1gpu,2026-04-30_20-55-01_cbad426a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,1,single,1694.95,1699.31,0,6692.0,5.3271,0.3301231343283582,6724.0,0.4567462686567164,0.27642537313432836,0.548371769820977,0.5717152151012707,0.6791370004860251,0.2252294499899511,0.6791370004860251,2,Jumbo
gpt2_large_wiki_bs8_2gpu,2026-05-03_22-30-47_60bba3e7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2,gpu_a,3943.9,3981.23,0,28356.0,-2.0,0.1595108108108108,28330.0,0.6050540540540541,0.19681486486486485,0.7264308112133709,0.4070612314834929,0.3281493549961189,0.9489515642794936,0.9489515642794936,2,Jumbo
gpt2_large_wiki_bs8_2gpu,2026-05-03_22-30-47_60bba3e7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,2,gpu_b,3943.9,3981.23,0,28356.0,-2.0,0.11687702702702703,16458.0,0.5801986486486486,0.17475945945945945,0.6965892917810048,0.3614452639530102,0.2404421420581451,0.5512829101627923,0.6965892917810048,2,Jumbo
inception_imagenet_bs128_1gpu,2026-05-01_01-24-22_a8c790c1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,1,single,2978.89,2983.56,0,17830.0,11.9588,0.37192537313432833,17964.0,0.5105746268656717,0.3123880597014925,0.6129983559218645,0.6460948382640639,0.7651335397290138,0.6017284116031353,0.7651335397290138,2,Jumbo
inception_imagenet_bs32_1gpu,2026-05-01_02-14-11_813e5ea8,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs32_1gpu.yaml,1,single,3354.87,3359.46,0,5230.0,2.9989,0.29901666666666665,5246.0,0.46099999999999997,0.26742777777777776,0.5534788201575229,0.553105989376667,0.6151440507448411,0.17572184631875126,0.6151440507448411,1,Medium
inception_imagenet_bs64_1gpu,2026-05-01_03-10-16_4e930f6d,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,1,single,3078.71,3083.32,0,9332.0,5.984,0.33501305970149253,9408.0,0.4902276119402985,0.29357649253731344,0.588569631812053,0.6071879208356324,0.689196668849672,0.3151336504321029,0.689196668849672,2,Jumbo
maskrcnn_coco_bs8_1gpu,2026-05-02_01-18-52_9c1b6ef1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,1,single,6564.68,6582.08,0,28606.0,1.0,0.3183091603053435,29854.0,0.5419274809160305,0.25964312977099235,0.6506407434888137,0.5370054351503216,0.6548330179792141,1.0,1.0,2,Jumbo
mnist_bs32_1gpu,2026-05-01_17-54-59_06784923,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mnist_bs32_1gpu.yaml,1,single,139.54,140.45,0,1776.0,0.0363,0.01382978723404255,1098.0,0.08938829787234043,0.03320744680851063,0.10732002091599176,0.06868111410983187,0.028450960392692362,0.036778991089971194,0.10732002091599176,0,Tiny
mobilenet_cifar100_bs128_20e_1gpu,2026-05-01_04-01-49_ab92b1b5,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,1,single,195.16,198.4,0,632.0,0.048,0.006244274809160301,634.0,0.17621374045801524,0.10232442748091602,0.21156306543220446,0.21163191860444053,0.012845867566147385,0.021236685201313058,0.21163191860444053,0,Tiny
mobilenet_cifar100_bs128_50e_1gpu,2026-05-01_04-05-13_1121d682,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_50e_1gpu.yaml,1,single,572.07,575.3,0,632.0,0.048,0.004839694656488525,634.0,0.1699770992366412,0.09546946564885495,0.20407532394640862,0.19745418255260808,0.009956332563493164,0.021236685201313058,0.20407532394640862,0,Tiny
mobilenet_cifar100_bs32_20e_1gpu,2026-05-01_04-14-54_00788871,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,1,single,900.11,903.35,0,590.0,0.0148,0.0021705426356589,592.0,0.07908139534883721,0.04012015503875968,0.09494550410864434,0.08297828382322373,0.004465290861870352,0.019829838547598313,0.09494550410864434,0,Tiny
mobilenet_cifar100_bs32_50e_1gpu,2026-05-01_04-30-03_5aebaa38,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,1,single,2038.8,2042.09,0,590.0,0.0148,0.00221153846153845,592.0,0.10095576923076922,0.0511653846153846,0.12120798273739981,0.10582251744635933,0.004549628429659806,0.019829838547598313,0.12120798273739981,0,Tiny
mobilenet_cifar100_bs64_20e_1gpu,2026-05-01_05-04-11_a5c47ecb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,1,single,414.75,418.09,0,598.0,0.0253,0.003726923076923075,602.0,0.12129807692307693,0.06389615384615382,0.14563105532052295,0.1321528589292917,0.00766711295363543,0.020164802036578014,0.14563105532052295,0,Tiny
mobilenet_cifar100_bs64_50e_1gpu,2026-05-01_05-11-15_2f594179,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_50e_1gpu.yaml,1,single,966.53,969.78,0,598.0,0.0253,0.00292884615384615,602.0,0.11320192307692307,0.06102115384615383,0.1359107740220782,0.12620665643427903,0.006025290520323401,0.020164802036578014,0.1359107740220782,0,Tiny
mobilenet_imagenet_bs128_1gpu,2026-05-01_05-27-30_eff95151,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,1,single,1548.6,1552.79,0,11336.0,9.4591,0.24959814814814815,11598.0,0.4149259259259259,0.22456666666666664,0.49816206493329557,0.46445873865391757,0.5134791234945527,0.38849065451865744,0.5134791234945527,1,Medium
mobilenet_imagenet_bs32_1gpu,2026-05-01_05-53-28_be74790b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,1,single,1666.15,1670.26,0,3352.0,2.3684,0.24707777777777779,3354.0,0.4900925925925926,0.24013888888888887,0.5884075269329495,0.49666589922110704,0.5082941588693694,0.11234675420379178,0.5884075269329495,1,Medium
mobilenet_imagenet_bs64_1gpu,2026-05-01_06-21-24_05adeecb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,1,single,1536.12,1540.34,0,6032.0,4.732,0.23044444444444442,6162.0,0.40642777777777783,0.21309999999999998,0.4879591473398881,0.44074287015207,0.4740756781468147,0.20640450190929188,0.4879591473398881,1,Medium
resnet18_cifar100_bs128_20e_1gpu,2026-05-01_06-47-09_276041f2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_20e_1gpu.yaml,1,single,124.92,128.09,0,858.0,0.0911,0.07995277777777778,852.0,0.22798333333333332,0.08604444444444442,0.2737178879585957,0.1779609357347948,0.16448071653929328,0.028538889261070545,0.2737178879585957,1,Medium
resnet18_cifar100_bs128_50e_1gpu,2026-05-01_06-49-23_0a98d914,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_50e_1gpu.yaml,1,single,303.77,306.79,0,858.0,0.0911,0.08077962962962962,852.0,0.22024074074074074,0.08335555555555554,0.2644220940039134,0.17239965649308248,0.16618173542624723,0.028538889261070545,0.2644220940039134,1,Medium
resnet18_cifar100_bs32_20e_1gpu,2026-05-01_06-54-35_a2b2e9d4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_20e_1gpu.yaml,1,single,460.29,463.31,0,788.0,0.0527,0.05332196969696967,790.0,0.18344128787878788,0.06679166666666665,0.22024049367316278,0.13814148694935244,0.10969519792571517,0.026462115629396397,0.22024049367316278,0,Tiny
resnet18_cifar100_bs32_50e_1gpu,2026-05-01_07-02-24_fabbfa65,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,1,single,1147.33,1150.33,0,788.0,0.0527,0.05728030303030302,790.0,0.19793560606060606,0.07257575757575757,0.23764244188630912,0.15010440026935817,0.11783837344836721,0.026462115629396397,0.23764244188630912,1,Medium
resnet18_cifar100_bs64_20e_1gpu,2026-05-01_07-21-40_dc196945,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_20e_1gpu.yaml,1,single,239.16,242.17,0,796.0,0.0652,0.059415413533834574,798.0,0.187093984962406,0.0702875939849624,0.22462593938299744,0.14537191885976394,0.1222307725028132,0.026730086420580158,0.22462593938299744,0,Tiny
resnet18_cifar100_bs64_50e_1gpu,2026-05-01_07-25-48_cbc5774e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_50e_1gpu.yaml,1,single,600.67,603.72,0,796.0,0.0652,0.05801503759398495,798.0,0.1871654135338346,0.07050000000000001,0.22471169686985173,0.14581122639944127,0.11934988650469254,0.026730086420580158,0.22471169686985173,0,Tiny
resnet34_cifar100_bs128_20e_1gpu,2026-05-01_07-35-57_67ce5665,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,1,single,188.74,192.12,0,1074.0,0.1419,0.07619360902255637,1076.0,0.17353383458646615,0.08934774436090226,0.20834555753650333,0.1847929671104528,0.15674726702526282,0.03604207141421585,0.20834555753650333,0,Tiny
resnet34_cifar100_bs128_50e_1gpu,2026-05-01_07-39-14_9b62aa8c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_50e_1gpu.yaml,1,single,483.65,487.07,0,1074.0,0.1419,0.07792537313432835,1076.0,0.24865298507462685,0.0941436567164179,0.29853397138340704,0.19471208572409773,0.1603098924886705,0.03604207141421585,0.29853397138340704,1,Medium
resnet34_cifar100_bs32_20e_1gpu,2026-05-01_07-47-27_b77f0300,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_20e_1gpu.yaml,1,single,743.21,746.49,0,1002.0,0.0921,0.0640151515151515,1004.0,0.2074431818181818,0.08255492424242422,0.24905728312895833,0.1707437553063949,0.1316934606055684,0.033630334293562,0.24905728312895833,1,Medium
resnet34_cifar100_bs32_50e_1gpu,2026-05-01_07-59-59_0fe794d3,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_50e_1gpu.yaml,1,single,1921.1,1924.56,0,1002.0,0.0921,0.06257954545454546,1004.0,0.1968276515151515,0.0806875,0.23631222632317167,0.16688146567524706,0.1287400983825205,0.033630334293562,0.23631222632317167,0,Tiny
resnet34_cifar100_bs64_20e_1gpu,2026-05-01_08-32-08_973a2d99,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_20e_1gpu.yaml,1,single,370.15,373.51,0,1016.0,0.1082,0.0712706766917293,1018.0,0.1932481203007519,0.07936466165413533,0.23201462390828465,0.16414551274561962,0.14661969597952054,0.034099283178133585,0.23201462390828465,0,Tiny
resnet34_cifar100_bs64_50e_1gpu,2026-05-01_08-38-27_f49c74be,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_50e_1gpu.yaml,1,single,1002.53,1005.9,0,1016.0,0.1082,0.06387593984962404,1018.0,0.19411090225563907,0.07732894736842105,0.2330504840784455,0.1599351581839336,0.13140707112501496,0.034099283178133585,0.2330504840784455,0,Tiny
resnet50_imagenet_bs128_1gpu,2026-05-01_08-55-19_6c435383,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,1,single,1866.64,1870.75,0,13236.0,10.416,0.39398120300751877,13238.0,0.5551954887218045,0.28854699248120297,0.6665703775586197,0.5967856857809158,0.8105073066229442,0.44342466671132846,0.8105073066229442,2,Jumbo
resnet50_imagenet_bs32_1gpu,2026-05-01_09-26-35_d06673fa,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,1,single,2087.6,2091.71,0,3934.0,2.6099,0.43467910447761193,3944.0,0.5030018656716418,0.3259514925373134,0.6039064623621978,0.6741473315403405,0.894231977378624,0.13210960005359415,0.894231977378624,2,Jumbo
resnet50_imagenet_bs64_1gpu,2026-05-01_10-01-33_6458f79c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,1,single,1946.88,1951.05,0,7106.0,5.2119,0.4860921052631579,7118.0,0.7071390977443609,0.3582105263157895,0.8489946063054321,0.7408668957630439,1.0,0.23842701145575132,1.0,2,Jumbo
unet_voc_1gpu,2026-05-01_10-34-10_3eeb5b93,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,1,single,1878.16,1880.22,0,9910.0,3.3243,0.30578358208955225,5636.0,0.5279850746268657,0.27372947761194033,0.6339014233519726,0.5661394444294386,0.6290651067538091,0.1887854223889596,0.6339014233519726,1,Medium
vgg16_imagenet_bs128_1gpu,2026-05-01_18-44-19_d39016c2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,1,single,2668.29,2673.42,0,21864.0,9.6625,0.4225582706766917,21668.0,0.6313609022556391,0.32493796992481205,0.7580149398569205,0.6720511191273987,0.8692967157899621,0.7257988879212166,0.8692967157899621,2,Jumbo
vgg16_imagenet_bs32_1gpu,2026-05-01_17-03-19_86ae23e6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,1,single,3032.79,3038.08,0,6684.0,3.0482,0.43927443609022554,6680.0,0.6122481203007519,0.4225733082706767,0.735068041795491,0.8739848556399508,0.9036856005970587,0.2237556106384404,0.9036856005970587,2,Jumbo
vgg16_imagenet_bs64_1gpu,2026-05-01_17-57-24_8fde35fb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs64_1gpu.yaml,1,single,2803.88,2809.21,0,11760.0,5.253,0.42690977443609024,11776.0,0.8329135338345864,0.4270921052631579,1.0,0.8833308319707847,0.8782487306700284,0.39445300462249616,1.0,2,Jumbo
