workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,drama_aegis_profile_risk_full,drama_ewma_full,drama_max_full,drama_mean_full,drama_median_full,drama_mode_full,drama_p95_full,drama_profile_stat_score_full,gpu_memory_peak_mib_peak_full,smact_aegis_profile_risk_full,smact_ewma_full,smact_max_full,smact_mean_full,smact_median_full,smact_mode_full,smact_p95_full,smact_profile_stat_score_full,smocc_aegis_profile_risk_full,smocc_ewma_full,smocc_max_full,smocc_mean_full,smocc_median_full,smocc_mode_full,smocc_p95_full,smocc_profile_stat_score_full,coarse_resource_label
dlrm_criteo_bs32768_1gpu,2026-05-01_16-29-10_19efbd5e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,1,single,1470.27,1471.7,0,1468.0,5.0,0.039521019165009025,0.0199945394366961,0.148,0.02308953722334,0.0,0.0,0.115,0.042772384305835,1364.0,0.20866559187329203,0.1031132729257639,0.822,0.1188490945674044,0.0,0.0,0.6126999999999998,0.2352122736418511,0.06966137311074172,0.0345158143745566,0.269,0.0397796780684104,0.0,0.0,0.2043499999999999,0.07719491951710261,light
efficientnet_cifar100_bs128_20e_1gpu,2026-04-30_18-01-13_c258c405,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml,1,single,269.74,273.26,0,866.0,0.2279,0.02117145654563525,0.01709008150169,0.029,0.019595744680851,0.021,0.021,0.027,0.02264893617021275,860.0,0.2285416061823263,0.1923440843037733,0.317,0.2198723404255319,0.236,0.238,0.26595,0.25271808510638294,0.1465818276518471,0.1211624169903672,0.183,0.1391648936170212,0.155,0.152,0.171,0.1572912234042553,light
efficientnet_cifar100_bs128_50e_1gpu,2026-04-30_18-05-52_f1dab574,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_50e_1gpu.yaml,1,single,679.85,683.36,0,866.0,0.2279,0.02077500477858005,0.0172530363556996,0.028,0.0198469827586206,0.021,0.022,0.025,0.02271174568965515,860.0,0.2270742552895637,0.1927108142617031,0.345,0.2225862068965517,0.236,0.234,0.257,0.2593965517241379,0.14561588939364228,0.1217868334366381,0.182,0.140676724137931,0.155,0.158,0.165,0.15891918103448274,light
efficientnet_cifar100_bs32_20e_1gpu,2026-04-30_18-17-21_efe2443f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_20e_1gpu.yaml,1,single,1050.35,1053.86,0,666.0,0.0626,0.008339778363511574,0.0071268928444672,0.012,0.0082322206095791,0.009,0.009,0.009,0.009558055152394775,668.0,0.15794149955329045,0.1375555482857308,0.198,0.158210449927431,0.163,0.163,0.173,0.17055261248185777,0.08810990196520532,0.07556587781728,0.112,0.0868737300435413,0.092,0.092,0.098,0.09571843251088533,light
efficientnet_cifar100_bs32_50e_1gpu,2026-04-30_18-35-01_e176053f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,1,single,2615.28,2618.8,0,666.0,0.0626,0.008353579589465825,0.0071493711128458,0.012,0.0082649472450175,0.009,0.009,0.009,0.009566236811254375,668.0,0.15833282050091246,0.1384737204561703,0.185,0.1598575615474795,0.164,0.165,0.171,0.1684643903868699,0.08827661315651217,0.0761586214419925,0.104,0.0879478311840562,0.092,0.093,0.097,0.09423695779601404,light
efficientnet_cifar100_bs64_20e_1gpu,2026-04-30_19-18-46_69110578,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,1,single,537.32,540.85,0,720.0,0.1157,0.0115946645078529,0.0094836304071023,0.016,0.0108950276243093,0.011,0.011,0.015,0.012223756906077325,724.0,0.18652211926820061,0.1593564328739075,0.238,0.183732044198895,0.195,0.198,0.208,0.20368301104972375,0.1127568312035702,0.0946737336540599,0.145,0.1093535911602209,0.119,0.122,0.128,0.12383839779005522,light
efficientnet_cifar100_bs64_50e_1gpu,2026-04-30_19-27-52_64926164,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,1,single,1370.48,1374.02,0,720.0,0.1157,0.010850064206165825,0.0094814862428851,0.016,0.0109187705817782,0.011,0.011,0.012,0.012229692645444549,724.0,0.18771551388347246,0.1623417481793344,0.253,0.1875203073545554,0.194,0.194,0.207,0.20713007683863885,0.11362051951305666,0.0962307059336756,0.133,0.111251372118551,0.119,0.121,0.128,0.12106284302963775,light
efficientnet_imagenet_bs128_1gpu,2026-04-30_19-50-52_0b82eaa7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,1,single,1642.04,1646.54,0,12666.0,10.6493,0.34850987874159123,0.2899591174957237,0.414,0.3480803974706413,0.357,0.356,0.399,0.3687700993676603,12732.0,0.6107879886971822,0.5075421986911678,0.727,0.609609756097561,0.625,0.607,0.701,0.6421524390243902,0.3799283672849175,0.3151262966012781,0.462,0.3775871725383921,0.389,0.389,0.438,0.40439679313459803,light
efficientnet_imagenet_bs32_1gpu,2026-04-30_20-18-24_82342dc2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,1,single,2187.12,2191.55,0,3752.0,2.666,0.21565737095812795,0.1856233862715362,0.259,0.2200060975609756,0.225,0.224,0.232,0.2320015243902439,3760.0,0.4531924444092749,0.3921471489108125,0.544,0.4626226287262873,0.472,0.471,0.486,0.4874056571815718,0.2561234478074597,0.2221015148070746,0.307,0.2613922764227642,0.266,0.267,0.275,0.27534806910569104,light
efficientnet_imagenet_bs64_1gpu,2026-04-30_20-55-01_cbad426a,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,1,single,1694.95,1699.31,0,6692.0,5.3271,0.3138513322857398,0.2659661340423467,0.351,0.3174391951006124,0.329,0.339,0.343,0.3341097987751531,6724.0,0.5827012971149056,0.4949154246800948,0.654,0.5888897637795275,0.607,0.63,0.64,0.6199724409448819,0.3531478892757745,0.2997770339184962,0.4,0.3558145231846019,0.366,0.378,0.391,0.37495363079615046,light
