workload_id,run_id,spec_path,run_dir,gpu_count,cuda_visible_devices,assigned_gpu_a_index,assigned_gpu_b_index,assigned_gpu_a_uuid,assigned_gpu_b_uuid,elapsed_seconds_index,elapsed_seconds_time_json,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,summary_exists,summary_path,faketensor_path,drama_max_200s,drama_max_full,drama_mean_200s,drama_mean_full,drama_median_200s,drama_median_full,drama_mode_200s,drama_mode_full,fp16a_max_200s,fp16a_max_full,fp16a_mean_200s,fp16a_mean_full,fp16a_median_200s,fp16a_median_full,fp16a_mode_200s,fp16a_mode_full,fp32a_max_200s,fp32a_max_full,fp32a_mean_200s,fp32a_mean_full,fp32a_median_200s,fp32a_median_full,fp32a_mode_200s,fp32a_mode_full,fp64a_max_200s,fp64a_max_full,fp64a_mean_200s,fp64a_mean_full,fp64a_median_200s,fp64a_median_full,fp64a_mode_200s,fp64a_mode_full,gpu_memory_peak_200s_mib,gpu_memory_peak_full_mib,gputl_max_200s,gputl_max_full,gputl_mean_200s,gputl_mean_full,gputl_median_200s,gputl_median_full,gputl_mode_200s,gputl_mode_full,gract_max_200s,gract_max_full,gract_mean_200s,gract_mean_full,gract_median_200s,gract_median_full,gract_mode_200s,gract_mode_full,mcutl_max_200s,mcutl_max_full,mcutl_mean_200s,mcutl_mean_full,mcutl_median_200s,mcutl_median_full,mcutl_mode_200s,mcutl_mode_full,nvlrx_max_200s,nvlrx_max_full,nvlrx_mean_200s,nvlrx_mean_full,nvlrx_median_200s,nvlrx_median_full,nvlrx_mode_200s,nvlrx_mode_full,nvltx_max_200s,nvltx_max_full,nvltx_mean_200s,nvltx_mean_full,nvltx_median_200s,nvltx_median_full,nvltx_mode_200s,nvltx_mode_full,pcirx_max_200s,pcirx_max_full,pcirx_mean_200s,pcirx_mean_full,pcirx_median_200s,pcirx_median_full,pcirx_mode_200s,pcirx_mode_full,pcitx_max_200s,pcitx_max_full,pcitx_mean_200s,pcitx_mean_full,pcitx_median_200s,pcitx_median_full,pcitx_mode_200s,pcitx_mode_full,power_max_200s,power_max_full,power_mean_200s,power_mean_full,power_median_200s,power_median_full,power_mode_200s,power_mode_full,smact_max_200s,smact_max_full,smact_mean_200s,smact_mean_full,smact_median_200s,smact_median_full,smact_mode_200s,smact_mode_full,smocc_max_200s,smocc_max_full,smocc_mean_200s,smocc_mean_full,smocc_median_200s,smocc_median_full,smocc_mode_200s,smocc_mode_full,tenso_max_200s,tenso_max_full,tenso_mean_200s,tenso_mean_full,tenso_median_200s,tenso_median_full,tenso_mode_200s,tenso_mode_full,totec_delta_j,totec_delta_mj
bert_base_wiki_bs32_1gpu,2026-04-30_17-00-08_e18aece2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_base_wiki_bs32_1gpu.yaml,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/bert_base_wiki_bs32_1gpu/2026-04-30_17-00-08_e18aece2,1,0,0,,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,,930.403554,930.4035543089994,886.02,923.45,0,19828.0,,True,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/bert_base_wiki_bs32_1gpu/2026-04-30_17-00-08_e18aece2/artifacts/summary/summary.txt,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/bert_base_wiki_bs32_1gpu/2026-04-30_17-00-08_e18aece2/artifacts/faketensor/faketensor.txt,0.191,0.191,0.14187313432835824,0.1419781512605042,0.135,0.135,0.135,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19868.0,19868.0,100.0,100.0,93.84328358208955,93.67226890756302,100.0,100.0,100.0,100.0,1.0,1.0,0.9291194029850747,0.9344756302521009,1.0,1.0,1.0,1.0,27.0,27.0,18.753731343283583,18.89075630252101,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9374173.0,9686292.0,7926779.947761194,7846885.863865546,8006758.5,7865500.0,,,3769307.0,4894749.0,2750137.0149253733,2749712.043697479,2742272.5,2762745.0,,,305.736,315.379,250.1260746268657,255.70493949579833,263.0455,268.334,252.559,266.509,0.977,0.977,0.8942089552238804,0.8992588235294119,0.956,0.957,0.957,0.957,0.317,0.317,0.26766417910447765,0.27063193277310926,0.2705,0.276,0.304,0.304,0.042,0.043,0.028246268656716415,0.0286,0.029,0.029,0.017,0.032,229044.447,229044447.0
bert_large_wiki_bs8_1gpu,2026-04-30_17-15-38_19bf0934,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/bert_large_wiki_bs8_1gpu.yaml,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/bert_large_wiki_bs8_1gpu/2026-04-30_17-15-38_19bf0934,1,0,0,,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,,2732.96168,2732.9616804550024,2684.94,2725.48,0,12622.0,,True,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/bert_large_wiki_bs8_1gpu/2026-04-30_17-15-38_19bf0934/artifacts/summary/summary.txt,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/bert_large_wiki_bs8_1gpu/2026-04-30_17-15-38_19bf0934/artifacts/faketensor/faketensor.txt,0.205,0.208,0.12248872180451131,0.15550190943807962,0.153,0.157,0.0,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12620.0,12620.0,100.0,100.0,75.18796992481202,96.01091107474086,93.0,100.0,100.0,100.0,1.0,1.0,0.7567744360902254,0.9601936715766503,0.953,0.998,1.0,1.0,27.0,29.0,16.06015037593985,20.085651936715767,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13098457.0,13438828.0,8014531.954887218,9957289.255864702,9357811.0,10030673.0,,9376622.0,22378777.0,22378777.0,2744969.977443609,3148660.140752864,2987262.0,3208839.0,,,307.271,308.69,219.47816541353384,261.0544173486088,259.295,265.809,52.901,261.119,0.965,0.966,0.7255112781954887,0.9207670485542826,0.91,0.955,0.0,0.964,0.343,0.344,0.22857894736842105,0.2896066557555919,0.281,0.292,0.0,0.257,0.032,0.033,0.019263157894736843,0.02443807965084561,0.023,0.025,0.0,0.024,718172.198,718172198.0
dlrm_criteo_bs32768_1gpu,2026-05-01_16-29-10_19efbd5e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/dlrm_criteo_bs32768_1gpu/2026-05-01_16-29-10_19efbd5e,1,0,0,,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,,1477.136001,1477.136000840983,1470.27,1471.7,0,1468.0,5.0,True,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/dlrm_criteo_bs32768_1gpu/2026-05-01_16-29-10_19efbd5e/artifacts/summary/summary.txt,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/dlrm_criteo_bs32768_1gpu/2026-05-01_16-29-10_19efbd5e/artifacts/faketensor/faketensor.txt,0.113,0.148,0.027134328358208955,0.023159434914228054,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364.0,1364.0,72.0,92.0,10.477611940298507,13.668012108980827,0.0,0.0,0.0,0.0,0.666,0.882,0.14967164179104475,0.12789404641775984,0.058499999999999996,0.0,0.0,0.0,16.0,23.0,2.4925373134328357,2.9001009081735623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136117836.0,186705873.0,35289792.395522386,30589121.26337033,16210788.0,696575.0,,139835.0,16919986.0,23083437.0,4789427.731343283,4210321.169525731,2590040.5,811928.0,,,226.973,247.127,76.7319776119403,83.51484056508576,71.17,73.722,72.47,73.722,0.617,0.822,0.13947761194029848,0.11920887991927345,0.054,0.0,0.0,0.0,0.203,0.269,0.046537313432835826,0.03990010090817356,0.0185,0.0,0.0,0.0,0.001,0.001,6.716417910447762e-05,0.00010494450050454088,0.0,0.0,0.0,0.0,134922.316,134922316.0
efficientnet_cifar100_bs128_20e_1gpu,2026-04-30_18-01-13_c258c405,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs128_20e_1gpu/2026-04-30_18-01-13_c258c405,1,0,0,,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,,278.884386,278.8843864329974,269.74,273.26,0,866.0,0.2279,True,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs128_20e_1gpu/2026-04-30_18-01-13_c258c405/artifacts/summary/summary.txt,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs128_20e_1gpu/2026-04-30_18-01-13_c258c405/artifacts/faketensor/faketensor.txt,0.029,0.029,0.020214814814814814,0.020021739130434778,0.021,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,860.0,56.0,56.0,37.25185185185185,36.75,38.0,38.0,38.0,38.0,0.531,0.531,0.36404444444444445,0.36179347826086955,0.38,0.38,0.38,0.385,4.0,4.0,2.8814814814814813,2.8315217391304346,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282054549.0,292258154.0,102844658.46666667,103000048.51630434,99273688.0,99400196.5,,,37422855.0,38109014.0,15707823.125925926,15671674.304347826,15363891.0,15338828.0,,,122.648,122.648,87.70728148148149,87.60009239130433,84.365,84.365,81.765,83.304,0.317,0.317,0.2262148148148148,0.22465217391304346,0.237,0.236,0.237,0.238,0.183,0.183,0.14391111111111113,0.14219021739130433,0.156,0.155,0.156,0.152,0.011,0.011,0.008733333333333336,0.00863586956521739,0.009,0.009,0.009,0.009,25149.574,25149574.0
efficientnet_cifar100_bs128_50e_1gpu,2026-04-30_18-05-52_f1dab574,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_50e_1gpu.yaml,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs128_50e_1gpu/2026-04-30_18-05-52_f1dab574,1,0,0,,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,,689.161879,689.1618789060012,679.85,683.36,0,866.0,0.2279,True,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs128_50e_1gpu/2026-04-30_18-05-52_f1dab574/artifacts/summary/summary.txt,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs128_50e_1gpu/2026-04-30_18-05-52_f1dab574/artifacts/faketensor/faketensor.txt,0.028,0.028,0.019807407407407402,0.020019565217391302,0.021,0.021,0.021,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,860.0,57.0,57.0,36.22222222222222,36.28913043478261,38.0,38.0,38.0,38.0,0.593,0.593,0.36187407407407407,0.3618673913043478,0.381,0.38,0.386,0.386,4.0,4.0,2.7925925925925927,2.784782608695652,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287866202.0,287866202.0,102007690.24444444,102628120.31304348,99131962.0,99635831.5,,,37657486.0,37657486.0,15480820.585185185,15587685.202173913,15332546.0,15393485.5,,,113.886,118.797,84.49084444444445,85.1788391304348,82.538,82.538,77.381,81.239,0.345,0.345,0.2244666666666667,0.22452173913043477,0.237,0.236,0.241,0.234,0.182,0.182,0.14169629629629632,0.1419,0.155,0.155,0.159,0.158,0.011,0.011,0.008614814814814816,0.008602173913043477,0.009,0.009,0.009,0.009,61698.818,61698818.0
efficientnet_cifar100_bs32_20e_1gpu,2026-04-30_18-17-21_efe2443f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_20e_1gpu.yaml,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs32_20e_1gpu/2026-04-30_18-17-21_efe2443f,1,0,0,,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,,1059.454704,1059.4547044970095,1050.35,1053.86,0,666.0,0.0626,True,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs32_20e_1gpu/2026-04-30_18-17-21_efe2443f/artifacts/summary/summary.txt,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs32_20e_1gpu/2026-04-30_18-17-21_efe2443f/artifacts/faketensor/faketensor.txt,0.011,0.012,0.008246153846153847,0.008292397660818714,0.008,0.009,0.008,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,668.0,42.0,53.0,36.83076923076923,37.248538011695906,37.0,38.0,37.0,38.0,0.443,0.473,0.3708846153846154,0.37093713450292404,0.3765,0.378,0.377,0.383,2.0,2.0,1.0,0.966374269005848,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126566912.0,126566912.0,60030932.74615385,60024881.48245614,56557077.5,57932239.0,,,20708956.0,20708956.0,10910677.723076923,10916725.937134502,10460993.5,10633894.5,,,66.04,66.04,60.01106153846154,59.82678070175438,59.971,59.971,59.435,60.259,0.178,0.198,0.15957692307692306,0.1593669590643275,0.163,0.163,0.164,0.163,0.1,0.112,0.08765384615384615,0.08750877192982455,0.092,0.092,0.092,0.092,0.005,0.005,0.003961538461538462,0.00392982456140351,0.004,0.004,0.004,0.004,65530.147,65530147.0
efficientnet_cifar100_bs32_50e_1gpu,2026-04-30_18-35-01_e176053f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs32_50e_1gpu.yaml,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs32_50e_1gpu/2026-04-30_18-35-01_e176053f,1,0,0,,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,,2624.67037,2624.6703697860066,2615.28,2618.8,0,666.0,0.0626,True,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs32_50e_1gpu/2026-04-30_18-35-01_e176053f/artifacts/summary/summary.txt,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs32_50e_1gpu/2026-04-30_18-35-01_e176053f/artifacts/faketensor/faketensor.txt,0.012,0.012,0.007961832061068704,0.008264947245017584,0.008,0.009,0.009,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,668.0,42.0,53.0,34.93129770992366,37.26143024618992,37.0,38.0,38.0,38.0,0.423,0.52,0.35393129770992365,0.37211313012895664,0.378,0.38,0.38,0.385,2.0,2.0,0.916030534351145,0.9431418522860492,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123783042.0,129448760.0,57231524.122137405,59804228.502930835,57852382.0,58210048.0,,,19388160.0,21130341.0,10466316.76335878,10879415.066822978,10682412.0,10641400.0,,11286504.0,64.734,65.263,59.39842748091603,59.64575146541618,59.793,59.901,61.035,60.499,0.174,0.185,0.15246564885496183,0.1598575615474795,0.164,0.164,0.165,0.165,0.099,0.104,0.08429770992366412,0.08794783118405626,0.092,0.092,0.094,0.093,0.005,0.005,0.003732824427480916,0.003906799531066825,0.004,0.004,0.004,0.004,163101.396,163101396.0
efficientnet_cifar100_bs64_20e_1gpu,2026-04-30_19-18-46_69110578,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_20e_1gpu.yaml,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs64_20e_1gpu/2026-04-30_19-18-46_69110578,1,0,0,,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,,546.679694,546.6796941610082,537.32,540.85,0,720.0,0.1157,True,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs64_20e_1gpu/2026-04-30_19-18-46_69110578/artifacts/summary/summary.txt,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs64_20e_1gpu/2026-04-30_19-18-46_69110578/artifacts/faketensor/faketensor.txt,0.015,0.016,0.011052631578947368,0.011047619047619046,0.011,0.011,0.012,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,724.0,58.0,58.0,37.18796992481203,36.48179271708683,38.0,38.0,38.0,38.0,0.414,0.509,0.3626917293233083,0.3602577030812325,0.377,0.376,0.377,0.376,2.0,2.0,1.8270676691729324,1.815126050420168,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186505444.0,186505444.0,74260284.93984963,74061459.26330532,70190721.0,70353735.0,,,26866675.0,26866675.0,12503339.744360901,12460513.282913165,12066041.0,11986081.0,,,80.753,81.239,65.00468421052628,65.1816050420168,64.049,64.198,61.803,64.975,0.218,0.238,0.18781954887218041,0.18630532212885154,0.195,0.195,0.197,0.198,0.136,0.145,0.11203759398496241,0.11088515406162465,0.12,0.119,0.123,0.122,0.007,0.008,0.0061879699248120305,0.006128851540616247,0.006,0.006,0.007,0.007,36675.479,36675479.0
efficientnet_cifar100_bs64_50e_1gpu,2026-04-30_19-27-52_64926164,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs64_50e_1gpu.yaml,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs64_50e_1gpu/2026-04-30_19-27-52_64926164,1,0,0,,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,,1379.431409,1379.4314090979897,1370.48,1374.02,0,720.0,0.1157,True,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs64_50e_1gpu/2026-04-30_19-27-52_64926164/artifacts/summary/summary.txt,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_cifar100_bs64_50e_1gpu/2026-04-30_19-27-52_64926164/artifacts/faketensor/faketensor.txt,0.015,0.016,0.010834586466165412,0.010966923925027563,0.011,0.011,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,724.0,62.0,62.0,36.443609022556394,36.45534729878721,38.0,37.0,38.0,38.0,0.486,0.533,0.36010526315789476,0.3644553472987872,0.374,0.375,0.39,0.375,2.0,2.0,1.8345864661654134,1.8191841234840131,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177930910.0,185251905.0,72644565.26315789,74003343.16427784,69828004.0,70183448.0,,,25648907.0,26684677.0,12227944.714285715,12419354.84674752,11887987.0,11989647.0,,,76.321,84.077,63.842992481203,64.0804829106946,63.373,63.595,61.275,65.263,0.222,0.253,0.18627067669172934,0.1883472987872106,0.194,0.194,0.194,0.194,0.133,0.133,0.11080451127819549,0.111742006615215,0.119,0.119,0.12,0.121,0.007,0.007,0.006090225563909775,0.006168687982359428,0.006,0.006,0.006,0.006,92361.164,92361164.0
efficientnet_imagenet_bs128_1gpu,2026-04-30_19-50-52_0b82eaa7,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_imagenet_bs128_1gpu/2026-04-30_19-50-52_0b82eaa7,1,0,0,,GPU-00f900e0-bb6f-792a-1b8a-597214c7e1a1,,1652.143284,1652.1432840419875,1642.04,1646.54,0,12666.0,10.6493,True,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_imagenet_bs128_1gpu/2026-04-30_19-50-52_0b82eaa7/artifacts/summary/summary.txt,/home/ehyo/AEGIS/evaluation/profiling/solo/runs/efficientnet_imagenet_bs128_1gpu/2026-04-30_19-50-52_0b82eaa7/artifacts/faketensor/faketensor.txt,0.413,0.414,0.3452686567164178,0.34808039747064135,0.3585,0.357,0.365,0.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12732.0,12732.0,86.0,86.0,75.63432835820896,76.69015356820235,81.5,82.0,84.0,84.0,0.873,0.873,0.7380074626865671,0.7414995483288166,0.76,0.76,0.0,0.748,51.0,51.0,43.776119402985074,44.55826558265583,48.0,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704085277.0,1213468591.0,545646116.5522388,574593778.9304427,618235588.0,619289129.0,,,81348224.0,136988698.0,64150643.80597015,67385004.99909666,72255441.0,72473932.0,,,275.309,280.543,197.39418656716416,203.68950948509487,221.92000000000002,228.032,260.593,264.726,0.72,0.727,0.6055746268656715,0.609609756097561,0.6245,0.625,0.0,0.607,0.456,0.462,0.3744029850746269,0.3775871725383921,0.3895,0.389,0.0,0.389,0.024,0.025,0.019865671641791042,0.020009936766034325,0.021,0.021,0.021,0.021,345940.41,345940410.0
