workload_id,run_id,sample_count_200s,derived_anchor_timestamp,gpu_memory_peak_200s_mib,gpu_memory_peak_full_mib,end_to_end_time_s,horus_gpu_util_mean,horus_gpu_util_p95,horus_gpu_util_max
efficientnet_cifar100_bs128_20e_1gpu,2026-06-16_23-04-51_ce7eaebd,177,2026-06-16T23:04:58.741000,538,538,515.45,27.76271186440678,35.0,37.0
efficientnet_cifar100_bs128_50e_1gpu,2026-06-16_13-26-16_7e67708a,178,2026-06-16T13:26:23.259000,538,538,1055.31,20.573033707865168,39.0,41.0
efficientnet_cifar100_bs32_20e_1gpu,2026-06-16_23-13-34_3c593e34,177,2026-06-16T23:13:41.713000,396,396,2099.92,15.429378531073446,17.0,20.0
efficientnet_cifar100_bs32_50e_1gpu,2026-06-16_23-48-42_84763605,177,2026-06-16T23:48:49.163000,396,396,5142.06,15.711864406779661,16.0,25.0
efficientnet_cifar100_bs64_20e_1gpu,2026-06-16_13-27-40_4dd73f4c,179,2026-06-16T13:27:47.778000,502,502,846.22,26.519553072625698,31.0,33.0
efficientnet_cifar100_bs64_50e_1gpu,2026-06-16_13-43-59_d54fe8e2,179,2026-06-16T13:44:07.379000,502,502,1962.76,27.843575418994412,34.0,36.0
efficientnet_imagenet_bs32_1gpu,2026-06-16_13-27-40_96d0b203,178,2026-06-16T13:27:47.875000,3438,3440,3209.4,80.97752808988764,87.0,87.0
efficientnet_imagenet_bs64_1gpu,2026-06-16_13-27-41_cfe55bc9,179,2026-06-16T13:27:48.129000,6348,6350,3192.0,82.72625698324022,88.0,88.0
inception_imagenet_bs32_1gpu,2026-06-16_13-41-55_da1aaa58,179,2026-06-16T13:42:02.964000,4862,4864,8284.12,86.29608938547486,90.0,92.0
inception_imagenet_bs64_1gpu,2026-06-16_14-16-51_5c5057b5,178,2026-06-16T14:16:58.030000,9210,9210,8039.49,86.41011235955057,93.0,93.0
mnist_bs32_1gpu,2026-06-16_14-21-18_48018cb6,178,2026-06-16T14:21:25.956000,808,808,234.51,10.207865168539326,13.0,14.0
