workload_id,run_id,spec_path,run_dir,gpu_count,cuda_visible_devices,assigned_gpu_a_index,assigned_gpu_b_index,assigned_gpu_a_uuid,assigned_gpu_b_uuid,elapsed_seconds_index,elapsed_seconds_time_json,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,summary_exists,summary_path,faketensor_path,dcgm_effective_memory_anchor_timestamp,dcgm_log_start_timestamp,first_dcgm_activity_after_memory_timestamp,first_dcgm_activity_timestamp,first_memory_anchor_timestamp,gpu_memory_peak_200s_mib,gpu_memory_peak_full_mib,memory_to_dcgm_activity_lag_s,memory_to_dcgm_sample_lag_s,nvidia_log_start_timestamp,profile_anchor,profile_anchor_found
efficientnet_cifar100_bs128_20e_1gpu,2026-06-16_23-04-51_ce7eaebd,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_20e_1gpu.yaml,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs128_20e_1gpu/2026-06-16_23-04-51_ce7eaebd,1,0,0,,GPU-ea93b842-ff46-a040-3e86-9292c61a6654,,522.926439,522.9264394729398,511.71,515.45,0,860,0.2279,True,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs128_20e_1gpu/2026-06-16_23-04-51_ce7eaebd/artifacts/summary/summary.txt,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs128_20e_1gpu/2026-06-16_23-04-51_ce7eaebd/artifacts/faketensor/faketensor.txt,,,,,2026-06-16T23:04:58.741000,538.0,538.0,,,2026-06-16T23:04:51.982000,first-memory,True
efficientnet_cifar100_bs128_50e_1gpu,2026-06-16_13-26-16_7e67708a,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs128_50e_1gpu/2026-06-16_13-26-16_7e67708a,1,1,1,,GPU-2bd2c45d-9e92-653b-8ea2-406dc6ad138f,,1063.135933,1063.1359326480888,973.91,1055.31,0,860,0.2279,True,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs128_50e_1gpu/2026-06-16_13-26-16_7e67708a/artifacts/summary/summary.txt,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs128_50e_1gpu/2026-06-16_13-26-16_7e67708a/artifacts/faketensor/faketensor.txt,,,,,2026-06-16T13:26:23.259000,538.0,538.0,,,2026-06-16T13:26:16.352000,first-memory,True
efficientnet_cifar100_bs32_20e_1gpu,2026-06-16_23-13-34_3c593e34,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs32_20e_1gpu/2026-06-16_23-13-34_3c593e34,1,0,0,,GPU-ea93b842-ff46-a040-3e86-9292c61a6654,,2107.335525,2107.335524894763,2096.1,2099.92,0,668,0.0626,True,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs32_20e_1gpu/2026-06-16_23-13-34_3c593e34/artifacts/summary/summary.txt,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs32_20e_1gpu/2026-06-16_23-13-34_3c593e34/artifacts/faketensor/faketensor.txt,,,,,2026-06-16T23:13:41.713000,396.0,396.0,,,2026-06-16T23:13:35.010000,first-memory,True
efficientnet_cifar100_bs32_50e_1gpu,2026-06-16_23-48-42_84763605,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_50e_1gpu.yaml,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs32_50e_1gpu/2026-06-16_23-48-42_84763605,1,0,0,,GPU-ea93b842-ff46-a040-3e86-9292c61a6654,,5149.215772,5149.2157721361145,5138.29,5142.06,0,668,0.0626,True,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs32_50e_1gpu/2026-06-16_23-48-42_84763605/artifacts/summary/summary.txt,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs32_50e_1gpu/2026-06-16_23-48-42_84763605/artifacts/faketensor/faketensor.txt,,,,,2026-06-16T23:48:49.163000,396.0,396.0,,,2026-06-16T23:48:42.459000,first-memory,True
efficientnet_cifar100_bs64_20e_1gpu,2026-06-16_13-27-40_4dd73f4c,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs64_20e_1gpu/2026-06-16_13-27-40_4dd73f4c,1,0,0,,GPU-ea93b842-ff46-a040-3e86-9292c61a6654,,854.150109,854.150109322276,842.24,846.22,0,724,0.1157,True,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs64_20e_1gpu/2026-06-16_13-27-40_4dd73f4c/artifacts/summary/summary.txt,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs64_20e_1gpu/2026-06-16_13-27-40_4dd73f4c/artifacts/faketensor/faketensor.txt,,,,,2026-06-16T13:27:47.778000,502.0,502.0,,,2026-06-16T13:27:40.961000,first-memory,True
efficientnet_cifar100_bs64_50e_1gpu,2026-06-16_13-43-59_d54fe8e2,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_50e_1gpu.yaml,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs64_50e_1gpu/2026-06-16_13-43-59_d54fe8e2,1,1,1,,GPU-2bd2c45d-9e92-653b-8ea2-406dc6ad138f,,1971.628496,1971.628496115096,1958.5,1962.76,0,724,0.1157,True,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs64_50e_1gpu/2026-06-16_13-43-59_d54fe8e2/artifacts/summary/summary.txt,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_cifar100_bs64_50e_1gpu/2026-06-16_13-43-59_d54fe8e2/artifacts/faketensor/faketensor.txt,,,,,2026-06-16T13:44:07.379000,502.0,502.0,,,2026-06-16T13:43:59.541000,first-memory,True
efficientnet_imagenet_bs32_1gpu,2026-06-16_13-27-40_96d0b203,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_imagenet_bs32_1gpu/2026-06-16_13-27-40_96d0b203,1,2,2,,GPU-3b3c2291-7688-7cd4-ec0a-cdb638dd10e7,,3217.8572,3217.8572001829743,3204.07,3209.4,0,3760,2.666,True,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_imagenet_bs32_1gpu/2026-06-16_13-27-40_96d0b203/artifacts/summary/summary.txt,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_imagenet_bs32_1gpu/2026-06-16_13-27-40_96d0b203/artifacts/faketensor/faketensor.txt,,,,,2026-06-16T13:27:47.875000,3438.0,3440.0,,,2026-06-16T13:27:41.147000,first-memory,True
efficientnet_imagenet_bs64_1gpu,2026-06-16_13-27-41_cfe55bc9,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_imagenet_bs64_1gpu/2026-06-16_13-27-41_cfe55bc9,1,3,3,,GPU-a4f5bfcd-5a1a-e006-fcb4-cc25d681f4ea,,3199.84059,3199.8405903740786,3186.77,3192.0,0,6724,5.3271,True,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_imagenet_bs64_1gpu/2026-06-16_13-27-41_cfe55bc9/artifacts/summary/summary.txt,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/efficientnet_imagenet_bs64_1gpu/2026-06-16_13-27-41_cfe55bc9/artifacts/faketensor/faketensor.txt,,,,,2026-06-16T13:27:48.129000,6348.0,6350.0,,,2026-06-16T13:27:41.439000,first-memory,True
inception_imagenet_bs32_1gpu,2026-06-16_13-41-55_da1aaa58,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/inception_imagenet_bs32_1gpu.yaml,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/inception_imagenet_bs32_1gpu/2026-06-16_13-41-55_da1aaa58,1,0,0,,GPU-ea93b842-ff46-a040-3e86-9292c61a6654,,8292.862873,8292.862872725818,8278.1,8284.12,0,5246,2.9989,True,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/inception_imagenet_bs32_1gpu/2026-06-16_13-41-55_da1aaa58/artifacts/summary/summary.txt,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/inception_imagenet_bs32_1gpu/2026-06-16_13-41-55_da1aaa58/artifacts/faketensor/faketensor.txt,,,,,2026-06-16T13:42:02.964000,4862.0,4864.0,,,2026-06-16T13:41:55.153000,first-memory,True
inception_imagenet_bs64_1gpu,2026-06-16_14-16-51_5c5057b5,/data/eyousefzadeh/AEGIS/evaluation/workloads/training/specs/yaml_legacy_11gb/inception_imagenet_bs64_1gpu.yaml,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/inception_imagenet_bs64_1gpu/2026-06-16_14-16-51_5c5057b5,1,1,1,,GPU-2bd2c45d-9e92-653b-8ea2-406dc6ad138f,,8048.908241,8048.908241381403,8033.33,8039.49,0,9408,5.984,True,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/inception_imagenet_bs64_1gpu/2026-06-16_14-16-51_5c5057b5/artifacts/summary/summary.txt,/data/eyousefzadeh/AEGIS/evaluation/profiling/solo/legacy_rtx2080ti/runs/inception_imagenet_bs64_1gpu/2026-06-16_14-16-51_5c5057b5/artifacts/faketensor/faketensor.txt,,,,,2026-06-16T14:16:58.030000,9210.0,9210.0,,,2026-06-16T14:16:51.272000,first-memory,True
