threshold_dir,run_dir,tau_smact,tau_smocc,tau_drama,num_trials,planned_workload_count_sum,admitted_workload_count_sum,admission_fraction,completion_fraction,mean_throughput_gain,median_throughput_gain,mean_slowdown,median_max_slowdown,max_slowdown,p95_max_slowdown,p95_slowdown_mean,failed_started_rows,reject_retry_count,score,manifest,solo_runtime_csv,feasible
smact_0p50_smocc_0p20_drama_0p40,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p20_drama_0p40,0.5,0.2,0.4,5,22,22,1.0,1.0,1.6794997640911453,1.4796693371194731,1.0144143363200602,1.0672932365171777,1.0761765023634515,1.0749095549685836,1.05465090506891,0,1193,1.5606173898079931,,,True
smact_0p40_smocc_0p10_drama_0p30,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p40_smocc_0p10_drama_0p30,0.4,0.1,0.3,5,22,22,1.0,1.0,1.6418287411130563,1.5258921399868584,0.9999617715337454,1.05226486724806,1.075033389394498,1.0744138682785096,1.0457022529252127,0,1307,1.5272351140998515,,,True
smact_0p50_smocc_0p20_drama_0p60,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p20_drama_0p60,0.5,0.2,0.6,5,22,22,1.0,1.0,1.719198257850407,1.5192227890322905,1.0295384416624855,1.0882495900749578,1.1501520854997485,1.1379815053533906,1.0845841656509967,0,1119,1.4947573277697483,,,True
smact_0p50_smocc_0p20_drama_0p20,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p20_drama_0p20,0.5,0.2,0.2,5,22,22,1.0,1.0,1.7166635559729364,1.513923596929302,1.0305237877549107,1.0776429366463949,1.1737114838728997,1.159280482632473,1.0922565734382206,0,1131,1.4625941550034562,,,True
smact_0p50_smocc_0p20_drama_0p30,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p20_drama_0p30,0.5,0.2,0.3,5,22,22,1.0,1.0,1.7080606626466852,1.4807300515135768,1.0256260646834459,1.0812730547932583,1.1694552226736357,1.1533219946944948,1.0794751873899175,0,1123,1.4605609770519279,,,True
smact_0p50_smocc_0p35_drama_0p60,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p35_drama_0p60,0.5,0.35,0.6,5,22,22,1.0,1.0,1.7683989214344098,1.4906312130150174,1.0404319125705714,1.0813152001098256,1.2235046650820725,1.2002032125831437,1.0977486404044476,0,1030,1.445355274812774,,,True
smact_0p40_smocc_0p10_drama_0p10,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p40_smocc_0p10_drama_0p10,0.4,0.1,0.1,5,22,22,1.0,1.0,1.66315683028959,1.5068486188280714,1.0149983566119651,1.071668246280601,1.1588556148375522,1.1418551116747848,1.0758358479922658,0,1256,1.4351717409789058,,,True
smact_0p40_smocc_0p10_drama_0p20,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p40_smocc_0p10_drama_0p20,0.4,0.1,0.2,5,22,22,1.0,1.0,1.650996826316539,1.4841013256048718,1.0037961860390723,1.0545798855928128,1.1536783280581702,1.1372262876560784,1.0625389915850936,0,1266,1.4310720641649197,,,True
smact_0p65_smocc_0p35_drama_0p50,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p65_smocc_0p35_drama_0p50,0.65,0.35,0.5,5,22,22,1.0,1.0,1.7959388883070893,1.5270145679850584,1.045084213843001,1.0789078004236166,1.2590598626250735,1.2308856508321757,1.105229671354249,0,989,1.426412628675694,,,True
smact_0p10_smocc_0p05_drama_0p10,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p10,0.1,0.05,0.1,5,22,22,1.0,1.0,1.31341247824794,1.4677452486536129,0.9673913252696439,0.994719506295792,1.0010071151258508,1.0008378296053981,0.995823031524624,0,1901,1.3120910515034772,,,True
